batch_index,universe_index,symbol,source_symbol,market,asset_class,tradability,returncode,classification,recommended_action,retry_priority,suggested_retry_mode,cache_path,error,note
1,80,ASHR,US.ASHR,US_ETF,ETF,LIKELY_TRADABLE_NEEDS_ACCOUNT_PERMISSION_CHECK,0,success_cached,already_cached,0,none,data_cache_moomoo_batch81_140/US_ETF/US.ASHR.csv,,Do not retry; included in current cache lineage.
17,96,PG,US.PG,US_STOCK,STOCK,LIKELY_TRADABLE_NEEDS_ACCOUNT_PERMISSION_CHECK,0,success_cached,already_cached,0,none,data_cache_moomoo_batch81_140/US_STOCK/US.PG.csv,,Do not retry; included in current cache lineage.
18,97,COST,US.COST,US_STOCK,STOCK,LIKELY_TRADABLE_NEEDS_ACCOUNT_PERMISSION_CHECK,0,success_cached,already_cached,0,none,data_cache_moomoo_batch81_140/US_STOCK/US.COST.csv,,Do not retry; included in current cache lineage.
19,98,NFLX,US.NFLX,US_STOCK,STOCK,LIKELY_TRADABLE_NEEDS_ACCOUNT_PERMISSION_CHECK,0,success_cached,already_cached,0,none,data_cache_moomoo_batch81_140/US_STOCK/US.NFLX.csv,,Do not retry; included in current cache lineage.
20,99,ADBE,US.ADBE,US_STOCK,STOCK,LIKELY_TRADABLE_NEEDS_ACCOUNT_PERMISSION_CHECK,0,success_cached,already_cached,0,none,data_cache_moomoo_batch81_140/US_STOCK/US.ADBE.csv,,Do not retry; included in current cache lineage.
21,100,CRM,US.CRM,US_STOCK,STOCK,LIKELY_TRADABLE_NEEDS_ACCOUNT_PERMISSION_CHECK,0,success_cached,already_cached,0,none,data_cache_moomoo_batch81_140/US_STOCK/US.CRM.csv,,Do not retry; included in current cache lineage.
11,90,BRK-B,US.BRK-B,US_STOCK,STOCK,LIKELY_TRADABLE_NEEDS_ACCOUNT_PERMISSION_CHECK,1,symbol_mapping_required,fix_symbol_then_probe_one,1,single_symbol_probe_after_symbol_fix,,request_history_kline failed: Unknown stock. BRK-B,Normalize symbol mapping before retry; likely class-share symbol format issue.
22,101,ORCL,US.ORCL,US_STOCK,STOCK,LIKELY_TRADABLE_NEEDS_ACCOUNT_PERMISSION_CHECK,1,opend_quota_exhausted,retry_after_quota_release,3,defer_until_quota_released_or_use_shorter_history_window,,request_history_kline failed: Insufficient historical candlestick quota. Request failed. Quota is released on a rolling basis and will be fully released after 30 days.,Retry only after OpenD K-line quota refresh; avoid repeated same-day retries.
23,102,CSCO,US.CSCO,US_STOCK,STOCK,LIKELY_TRADABLE_NEEDS_ACCOUNT_PERMISSION_CHECK,1,opend_quota_exhausted,retry_after_quota_release,3,defer_until_quota_released_or_use_shorter_history_window,,request_history_kline failed: Insufficient historical candlestick quota. Request failed. Quota is released on a rolling basis and will be fully released after 30 days.,Retry only after OpenD K-line quota refresh; avoid repeated same-day retries.
24,103,AVGO,US.AVGO,US_STOCK,STOCK,LIKELY_TRADABLE_NEEDS_ACCOUNT_PERMISSION_CHECK,1,opend_quota_exhausted,retry_after_quota_release,3,defer_until_quota_released_or_use_shorter_history_window,,request_history_kline failed: Insufficient historical candlestick quota. Request failed. Quota is released on a rolling basis and will be fully released after 30 days.,Retry only after OpenD K-line quota refresh; avoid repeated same-day retries.
25,104,AMD,US.AMD,US_STOCK,STOCK,LIKELY_TRADABLE_NEEDS_ACCOUNT_PERMISSION_CHECK,1,opend_quota_exhausted,retry_after_quota_release,3,defer_until_quota_released_or_use_shorter_history_window,,request_history_kline failed: Insufficient historical candlestick quota. Request failed. Quota is released on a rolling basis and will be fully released after 30 days.,Retry only after OpenD K-line quota refresh; avoid repeated same-day retries.
26,105,INTC,US.INTC,US_STOCK,STOCK,LIKELY_TRADABLE_NEEDS_ACCOUNT_PERMISSION_CHECK,1,opend_quota_exhausted,retry_after_quota_release,3,defer_until_quota_released_or_use_shorter_history_window,,request_history_kline failed: Insufficient historical candlestick quota. Request failed. Quota is released on a rolling basis and will be fully released after 30 days.,Retry only after OpenD K-line quota refresh; avoid repeated same-day retries.
27,106,QCOM,US.QCOM,US_STOCK,STOCK,LIKELY_TRADABLE_NEEDS_ACCOUNT_PERMISSION_CHECK,1,opend_quota_exhausted,retry_after_quota_release,3,defer_until_quota_released_or_use_shorter_history_window,,request_history_kline failed: Insufficient historical candlestick quota. Request failed. Quota is released on a rolling basis and will be fully released after 30 days.,Retry only after OpenD K-line quota refresh; avoid repeated same-day retries.
28,107,TXN,US.TXN,US_STOCK,STOCK,LIKELY_TRADABLE_NEEDS_ACCOUNT_PERMISSION_CHECK,1,opend_quota_exhausted,retry_after_quota_release,3,defer_until_quota_released_or_use_shorter_history_window,,request_history_kline failed: Insufficient historical candlestick quota. Request failed. Quota is released on a rolling basis and will be fully released after 30 days.,Retry only after OpenD K-line quota refresh; avoid repeated same-day retries.
29,108,AMAT,US.AMAT,US_STOCK,STOCK,LIKELY_TRADABLE_NEEDS_ACCOUNT_PERMISSION_CHECK,1,opend_quota_exhausted,retry_after_quota_release,3,defer_until_quota_released_or_use_shorter_history_window,,request_history_kline failed: Insufficient historical candlestick quota. Request failed. Quota is released on a rolling basis and will be fully released after 30 days.,Retry only after OpenD K-line quota refresh; avoid repeated same-day retries.
30,109,MU,US.MU,US_STOCK,STOCK,LIKELY_TRADABLE_NEEDS_ACCOUNT_PERMISSION_CHECK,1,opend_quota_exhausted,retry_after_quota_release,3,defer_until_quota_released_or_use_shorter_history_window,,request_history_kline failed: Insufficient historical candlestick quota. Request failed. Quota is released on a rolling basis and will be fully released after 30 days.,Retry only after OpenD K-line quota refresh; avoid repeated same-day retries.
31,110,IBM,US.IBM,US_STOCK,STOCK,LIKELY_TRADABLE_NEEDS_ACCOUNT_PERMISSION_CHECK,1,opend_quota_exhausted,retry_after_quota_release,3,defer_until_quota_released_or_use_shorter_history_window,,request_history_kline failed: Insufficient historical candlestick quota. Request failed. Quota is released on a rolling basis and will be fully released after 30 days.,Retry only after OpenD K-line quota refresh; avoid repeated same-day retries.
32,111,NOW,US.NOW,US_STOCK,STOCK,LIKELY_TRADABLE_NEEDS_ACCOUNT_PERMISSION_CHECK,1,opend_quota_exhausted,retry_after_quota_release,3,defer_until_quota_released_or_use_shorter_history_window,,request_history_kline failed: Insufficient historical candlestick quota. Request failed. Quota is released on a rolling basis and will be fully released after 30 days.,Retry only after OpenD K-line quota refresh; avoid repeated same-day retries.
33,112,PANW,US.PANW,US_STOCK,STOCK,LIKELY_TRADABLE_NEEDS_ACCOUNT_PERMISSION_CHECK,1,opend_quota_exhausted,retry_after_quota_release,3,defer_until_quota_released_or_use_shorter_history_window,,request_history_kline failed: Insufficient historical candlestick quota. Request failed. Quota is released on a rolling basis and will be fully released after 30 days.,Retry only after OpenD K-line quota refresh; avoid repeated same-day retries.
34,113,SHOP,US.SHOP,US_STOCK,STOCK,LIKELY_TRADABLE_NEEDS_ACCOUNT_PERMISSION_CHECK,1,opend_quota_exhausted,retry_after_quota_release,3,defer_until_quota_released_or_use_shorter_history_window,,request_history_kline failed: Insufficient historical candlestick quota. Request failed. Quota is released on a rolling basis and will be fully released after 30 days.,Retry only after OpenD K-line quota refresh; avoid repeated same-day retries.
35,114,PLTR,US.PLTR,US_STOCK,STOCK,LIKELY_TRADABLE_NEEDS_ACCOUNT_PERMISSION_CHECK,1,opend_quota_exhausted,retry_after_quota_release,3,defer_until_quota_released_or_use_shorter_history_window,,request_history_kline failed: Insufficient historical candlestick quota. Request failed. Quota is released on a rolling basis and will be fully released after 30 days.,Retry only after OpenD K-line quota refresh; avoid repeated same-day retries.
36,115,SNOW,US.SNOW,US_STOCK,STOCK,LIKELY_TRADABLE_NEEDS_ACCOUNT_PERMISSION_CHECK,1,opend_quota_exhausted,retry_after_quota_release,3,defer_until_quota_released_or_use_shorter_history_window,,request_history_kline failed: Insufficient historical candlestick quota. Request failed. Quota is released on a rolling basis and will be fully released after 30 days.,Retry only after OpenD K-line quota refresh; avoid repeated same-day retries.
37,116,UBER,US.UBER,US_STOCK,STOCK,LIKELY_TRADABLE_NEEDS_ACCOUNT_PERMISSION_CHECK,1,opend_quota_exhausted,retry_after_quota_release,3,defer_until_quota_released_or_use_shorter_history_window,,request_history_kline failed: Insufficient historical candlestick quota. Request failed. Quota is released on a rolling basis and will be fully released after 30 days.,Retry only after OpenD K-line quota refresh; avoid repeated same-day retries.
38,117,ABNB,US.ABNB,US_STOCK,STOCK,LIKELY_TRADABLE_NEEDS_ACCOUNT_PERMISSION_CHECK,1,opend_quota_exhausted,retry_after_quota_release,3,defer_until_quota_released_or_use_shorter_history_window,,request_history_kline failed: Insufficient historical candlestick quota. Request failed. Quota is released on a rolling basis and will be fully released after 30 days.,Retry only after OpenD K-line quota refresh; avoid repeated same-day retries.
39,118,BKNG,US.BKNG,US_STOCK,STOCK,LIKELY_TRADABLE_NEEDS_ACCOUNT_PERMISSION_CHECK,1,opend_quota_exhausted,retry_after_quota_release,3,defer_until_quota_released_or_use_shorter_history_window,,request_history_kline failed: Insufficient historical candlestick quota. Request failed. Quota is released on a rolling basis and will be fully released after 30 days.,Retry only after OpenD K-line quota refresh; avoid repeated same-day retries.
40,119,DIS,US.DIS,US_STOCK,STOCK,LIKELY_TRADABLE_NEEDS_ACCOUNT_PERMISSION_CHECK,1,opend_quota_exhausted,retry_after_quota_release,3,defer_until_quota_released_or_use_shorter_history_window,,request_history_kline failed: Insufficient historical candlestick quota. Request failed. Quota is released on a rolling basis and will be fully released after 30 days.,Retry only after OpenD K-line quota refresh; avoid repeated same-day retries.
41,120,CMCSA,US.CMCSA,US_STOCK,STOCK,LIKELY_TRADABLE_NEEDS_ACCOUNT_PERMISSION_CHECK,1,opend_quota_exhausted,retry_after_quota_release,3,defer_until_quota_released_or_use_shorter_history_window,,request_history_kline failed: Insufficient historical candlestick quota. Request failed. Quota is released on a rolling basis and will be fully released after 30 days.,Retry only after OpenD K-line quota refresh; avoid repeated same-day retries.
42,121,PEP,US.PEP,US_STOCK,STOCK,LIKELY_TRADABLE_NEEDS_ACCOUNT_PERMISSION_CHECK,1,opend_quota_exhausted,retry_after_quota_release,3,defer_until_quota_released_or_use_shorter_history_window,,request_history_kline failed: Insufficient historical candlestick quota. Request failed. Quota is released on a rolling basis and will be fully released after 30 days.,Retry only after OpenD K-line quota refresh; avoid repeated same-day retries.
43,122,KO,US.KO,US_STOCK,STOCK,LIKELY_TRADABLE_NEEDS_ACCOUNT_PERMISSION_CHECK,1,opend_quota_exhausted,retry_after_quota_release,3,defer_until_quota_released_or_use_shorter_history_window,,request_history_kline failed: Insufficient historical candlestick quota. Request failed. Quota is released on a rolling basis and will be fully released after 30 days.,Retry only after OpenD K-line quota refresh; avoid repeated same-day retries.
44,123,MCD,US.MCD,US_STOCK,STOCK,LIKELY_TRADABLE_NEEDS_ACCOUNT_PERMISSION_CHECK,1,opend_quota_exhausted,retry_after_quota_release,3,defer_until_quota_released_or_use_shorter_history_window,,request_history_kline failed: Insufficient historical candlestick quota. Request failed. Quota is released on a rolling basis and will be fully released after 30 days.,Retry only after OpenD K-line quota refresh; avoid repeated same-day retries.
45,124,NKE,US.NKE,US_STOCK,STOCK,LIKELY_TRADABLE_NEEDS_ACCOUNT_PERMISSION_CHECK,1,opend_quota_exhausted,retry_after_quota_release,3,defer_until_quota_released_or_use_shorter_history_window,,request_history_kline failed: Insufficient historical candlestick quota. Request failed. Quota is released on a rolling basis and will be fully released after 30 days.,Retry only after OpenD K-line quota refresh; avoid repeated same-day retries.
46,125,SBUX,US.SBUX,US_STOCK,STOCK,LIKELY_TRADABLE_NEEDS_ACCOUNT_PERMISSION_CHECK,1,opend_quota_exhausted,retry_after_quota_release,3,defer_until_quota_released_or_use_shorter_history_window,,request_history_kline failed: Insufficient historical candlestick quota. Request failed. Quota is released on a rolling basis and will be fully released after 30 days.,Retry only after OpenD K-line quota refresh; avoid repeated same-day retries.
47,126,WMT,US.WMT,US_STOCK,STOCK,LIKELY_TRADABLE_NEEDS_ACCOUNT_PERMISSION_CHECK,1,opend_quota_exhausted,retry_after_quota_release,3,defer_until_quota_released_or_use_shorter_history_window,,request_history_kline failed: Insufficient historical candlestick quota. Request failed. Quota is released on a rolling basis and will be fully released after 30 days.,Retry only after OpenD K-line quota refresh; avoid repeated same-day retries.
48,127,TGT,US.TGT,US_STOCK,STOCK,LIKELY_TRADABLE_NEEDS_ACCOUNT_PERMISSION_CHECK,1,opend_quota_exhausted,retry_after_quota_release,3,defer_until_quota_released_or_use_shorter_history_window,,request_history_kline failed: Insufficient historical candlestick quota. Request failed. Quota is released on a rolling basis and will be fully released after 30 days.,Retry only after OpenD K-line quota refresh; avoid repeated same-day retries.
49,128,LOW,US.LOW,US_STOCK,STOCK,LIKELY_TRADABLE_NEEDS_ACCOUNT_PERMISSION_CHECK,1,opend_quota_exhausted,retry_after_quota_release,3,defer_until_quota_released_or_use_shorter_history_window,,request_history_kline failed: Insufficient historical candlestick quota. Request failed. Quota is released on a rolling basis and will be fully released after 30 days.,Retry only after OpenD K-line quota refresh; avoid repeated same-day retries.
50,129,CAT,US.CAT,US_STOCK,STOCK,LIKELY_TRADABLE_NEEDS_ACCOUNT_PERMISSION_CHECK,1,opend_quota_exhausted,retry_after_quota_release,3,defer_until_quota_released_or_use_shorter_history_window,,request_history_kline failed: Insufficient historical candlestick quota. Request failed. Quota is released on a rolling basis and will be fully released after 30 days.,Retry only after OpenD K-line quota refresh; avoid repeated same-day retries.
51,130,DE,US.DE,US_STOCK,STOCK,LIKELY_TRADABLE_NEEDS_ACCOUNT_PERMISSION_CHECK,1,opend_quota_exhausted,retry_after_quota_release,3,defer_until_quota_released_or_use_shorter_history_window,,request_history_kline failed: Insufficient historical candlestick quota. Request failed. Quota is released on a rolling basis and will be fully released after 30 days.,Retry only after OpenD K-line quota refresh; avoid repeated same-day retries.
52,131,BA,US.BA,US_STOCK,STOCK,LIKELY_TRADABLE_NEEDS_ACCOUNT_PERMISSION_CHECK,1,opend_quota_exhausted,retry_after_quota_release,3,defer_until_quota_released_or_use_shorter_history_window,,request_history_kline failed: Insufficient historical candlestick quota. Request failed. Quota is released on a rolling basis and will be fully released after 30 days.,Retry only after OpenD K-line quota refresh; avoid repeated same-day retries.
53,132,GE,US.GE,US_STOCK,STOCK,LIKELY_TRADABLE_NEEDS_ACCOUNT_PERMISSION_CHECK,1,opend_quota_exhausted,retry_after_quota_release,3,defer_until_quota_released_or_use_shorter_history_window,,request_history_kline failed: Insufficient historical candlestick quota. Request failed. Quota is released on a rolling basis and will be fully released after 30 days.,Retry only after OpenD K-line quota refresh; avoid repeated same-day retries.
54,133,RTX,US.RTX,US_STOCK,STOCK,LIKELY_TRADABLE_NEEDS_ACCOUNT_PERMISSION_CHECK,1,opend_quota_exhausted,retry_after_quota_release,3,defer_until_quota_released_or_use_shorter_history_window,,request_history_kline failed: Insufficient historical candlestick quota. Request failed. Quota is released on a rolling basis and will be fully released after 30 days.,Retry only after OpenD K-line quota refresh; avoid repeated same-day retries.
55,134,LMT,US.LMT,US_STOCK,STOCK,LIKELY_TRADABLE_NEEDS_ACCOUNT_PERMISSION_CHECK,1,opend_quota_exhausted,retry_after_quota_release,3,defer_until_quota_released_or_use_shorter_history_window,,request_history_kline failed: Insufficient historical candlestick quota. Request failed. Quota is released on a rolling basis and will be fully released after 30 days.,Retry only after OpenD K-line quota refresh; avoid repeated same-day retries.
56,135,XOM,US.XOM,US_STOCK,STOCK,LIKELY_TRADABLE_NEEDS_ACCOUNT_PERMISSION_CHECK,1,opend_quota_exhausted,retry_after_quota_release,3,defer_until_quota_released_or_use_shorter_history_window,,request_history_kline failed: Insufficient historical candlestick quota. Request failed. Quota is released on a rolling basis and will be fully released after 30 days.,Retry only after OpenD K-line quota refresh; avoid repeated same-day retries.
57,136,CVX,US.CVX,US_STOCK,STOCK,LIKELY_TRADABLE_NEEDS_ACCOUNT_PERMISSION_CHECK,1,opend_quota_exhausted,retry_after_quota_release,3,defer_until_quota_released_or_use_shorter_history_window,,request_history_kline failed: Insufficient historical candlestick quota. Request failed. Quota is released on a rolling basis and will be fully released after 30 days.,Retry only after OpenD K-line quota refresh; avoid repeated same-day retries.
58,137,COP,US.COP,US_STOCK,STOCK,LIKELY_TRADABLE_NEEDS_ACCOUNT_PERMISSION_CHECK,1,opend_quota_exhausted,retry_after_quota_release,3,defer_until_quota_released_or_use_shorter_history_window,,request_history_kline failed: Insufficient historical candlestick quota. Request failed. Quota is released on a rolling basis and will be fully released after 30 days.,Retry only after OpenD K-line quota refresh; avoid repeated same-day retries.
59,138,SLB,US.SLB,US_STOCK,STOCK,LIKELY_TRADABLE_NEEDS_ACCOUNT_PERMISSION_CHECK,1,opend_quota_exhausted,retry_after_quota_release,3,defer_until_quota_released_or_use_shorter_history_window,,request_history_kline failed: Insufficient historical candlestick quota. Request failed. Quota is released on a rolling basis and will be fully released after 30 days.,Retry only after OpenD K-line quota refresh; avoid repeated same-day retries.
60,139,NEE,US.NEE,US_STOCK,STOCK,LIKELY_TRADABLE_NEEDS_ACCOUNT_PERMISSION_CHECK,1,opend_quota_exhausted,retry_after_quota_release,3,defer_until_quota_released_or_use_shorter_history_window,,request_history_kline failed: Insufficient historical candlestick quota. Request failed. Quota is released on a rolling basis and will be fully released after 30 days.,Retry only after OpenD K-line quota refresh; avoid repeated same-day retries.
