candidate_rank,recommended_status,shard,symbol,market,asset_class,tradability,currency,timezone,source,source_symbol,yahoo_symbol,prior_attempt_classification,prior_attempt_action,priority_score,priority_reason,notes
11,selected_to_reach_200,shard_01,1024.HK,HK,STOCK,LIKELY_TRADABLE_NEEDS_ACCOUNT_PERMISSION_CHECK,HKD,Asia/Hong_Kong,moomoo_opend,HK.1024,1024.HK,not_attempted_in_batch81_140,not_attempted,127,adds_non_us_market_coverage;adds_stock_behavior_sample;not_yet_attempted_avoids_repeated_quota_failure,"Seed candidate for validation; confirm account permission, liquidity, fees, and data availability before final use."
12,selected_to_reach_200,shard_01,1211.HK,HK,STOCK,LIKELY_TRADABLE_NEEDS_ACCOUNT_PERMISSION_CHECK,HKD,Asia/Hong_Kong,moomoo_opend,HK.1211,1211.HK,not_attempted_in_batch81_140,not_attempted,127,adds_non_us_market_coverage;adds_stock_behavior_sample;not_yet_attempted_avoids_repeated_quota_failure,"Seed candidate for validation; confirm account permission, liquidity, fees, and data availability before final use."
13,selected_to_reach_200,shard_01,1299.HK,HK,STOCK,LIKELY_TRADABLE_NEEDS_ACCOUNT_PERMISSION_CHECK,HKD,Asia/Hong_Kong,moomoo_opend,HK.1299,1299.HK,not_attempted_in_batch81_140,not_attempted,127,adds_non_us_market_coverage;adds_stock_behavior_sample;not_yet_attempted_avoids_repeated_quota_failure,"Seed candidate for validation; confirm account permission, liquidity, fees, and data availability before final use."
14,selected_to_reach_200,shard_01,1398.HK,HK,STOCK,LIKELY_TRADABLE_NEEDS_ACCOUNT_PERMISSION_CHECK,HKD,Asia/Hong_Kong,moomoo_opend,HK.1398,1398.HK,not_attempted_in_batch81_140,not_attempted,127,adds_non_us_market_coverage;adds_stock_behavior_sample;not_yet_attempted_avoids_repeated_quota_failure,"Seed candidate for validation; confirm account permission, liquidity, fees, and data availability before final use."
15,selected_to_reach_200,shard_01,1810.HK,HK,STOCK,LIKELY_TRADABLE_NEEDS_ACCOUNT_PERMISSION_CHECK,HKD,Asia/Hong_Kong,moomoo_opend,HK.1810,1810.HK,not_attempted_in_batch81_140,not_attempted,127,adds_non_us_market_coverage;adds_stock_behavior_sample;not_yet_attempted_avoids_repeated_quota_failure,"Seed candidate for validation; confirm account permission, liquidity, fees, and data availability before final use."
16,selected_to_reach_200,shard_01,2015.HK,HK,STOCK,LIKELY_TRADABLE_NEEDS_ACCOUNT_PERMISSION_CHECK,HKD,Asia/Hong_Kong,moomoo_opend,HK.2015,2015.HK,not_attempted_in_batch81_140,not_attempted,127,adds_non_us_market_coverage;adds_stock_behavior_sample;not_yet_attempted_avoids_repeated_quota_failure,"Seed candidate for validation; confirm account permission, liquidity, fees, and data availability before final use."
17,selected_to_reach_200,shard_01,2020.HK,HK,STOCK,LIKELY_TRADABLE_NEEDS_ACCOUNT_PERMISSION_CHECK,HKD,Asia/Hong_Kong,moomoo_opend,HK.2020,2020.HK,not_attempted_in_batch81_140,not_attempted,127,adds_non_us_market_coverage;adds_stock_behavior_sample;not_yet_attempted_avoids_repeated_quota_failure,"Seed candidate for validation; confirm account permission, liquidity, fees, and data availability before final use."
18,selected_to_reach_200,shard_01,2269.HK,HK,STOCK,LIKELY_TRADABLE_NEEDS_ACCOUNT_PERMISSION_CHECK,HKD,Asia/Hong_Kong,moomoo_opend,HK.2269,2269.HK,not_attempted_in_batch81_140,not_attempted,127,adds_non_us_market_coverage;adds_stock_behavior_sample;not_yet_attempted_avoids_repeated_quota_failure,"Seed candidate for validation; confirm account permission, liquidity, fees, and data availability before final use."
19,selected_to_reach_200,shard_01,2318.HK,HK,STOCK,LIKELY_TRADABLE_NEEDS_ACCOUNT_PERMISSION_CHECK,HKD,Asia/Hong_Kong,moomoo_opend,HK.2318,2318.HK,not_attempted_in_batch81_140,not_attempted,127,adds_non_us_market_coverage;adds_stock_behavior_sample;not_yet_attempted_avoids_repeated_quota_failure,"Seed candidate for validation; confirm account permission, liquidity, fees, and data availability before final use."
20,selected_to_reach_200,shard_01,2333.HK,HK,STOCK,LIKELY_TRADABLE_NEEDS_ACCOUNT_PERMISSION_CHECK,HKD,Asia/Hong_Kong,moomoo_opend,HK.2333,2333.HK,not_attempted_in_batch81_140,not_attempted,127,adds_non_us_market_coverage;adds_stock_behavior_sample;not_yet_attempted_avoids_repeated_quota_failure,"Seed candidate for validation; confirm account permission, liquidity, fees, and data availability before final use."
21,selected_to_reach_200,shard_02,2382.HK,HK,STOCK,LIKELY_TRADABLE_NEEDS_ACCOUNT_PERMISSION_CHECK,HKD,Asia/Hong_Kong,moomoo_opend,HK.2382,2382.HK,not_attempted_in_batch81_140,not_attempted,127,adds_non_us_market_coverage;adds_stock_behavior_sample;not_yet_attempted_avoids_repeated_quota_failure,"Seed candidate for validation; confirm account permission, liquidity, fees, and data availability before final use."
22,selected_to_reach_200,shard_02,3690.HK,HK,STOCK,LIKELY_TRADABLE_NEEDS_ACCOUNT_PERMISSION_CHECK,HKD,Asia/Hong_Kong,moomoo_opend,HK.3690,3690.HK,not_attempted_in_batch81_140,not_attempted,127,adds_non_us_market_coverage;adds_stock_behavior_sample;not_yet_attempted_avoids_repeated_quota_failure,"Seed candidate for validation; confirm account permission, liquidity, fees, and data availability before final use."
23,selected_to_reach_200,shard_02,3988.HK,HK,STOCK,LIKELY_TRADABLE_NEEDS_ACCOUNT_PERMISSION_CHECK,HKD,Asia/Hong_Kong,moomoo_opend,HK.3988,3988.HK,not_attempted_in_batch81_140,not_attempted,127,adds_non_us_market_coverage;adds_stock_behavior_sample;not_yet_attempted_avoids_repeated_quota_failure,"Seed candidate for validation; confirm account permission, liquidity, fees, and data availability before final use."
24,selected_to_reach_200,shard_02,6618.HK,HK,STOCK,LIKELY_TRADABLE_NEEDS_ACCOUNT_PERMISSION_CHECK,HKD,Asia/Hong_Kong,moomoo_opend,HK.6618,6618.HK,not_attempted_in_batch81_140,not_attempted,127,adds_non_us_market_coverage;adds_stock_behavior_sample;not_yet_attempted_avoids_repeated_quota_failure,"Seed candidate for validation; confirm account permission, liquidity, fees, and data availability before final use."
25,selected_to_reach_200,shard_02,9618.HK,HK,STOCK,LIKELY_TRADABLE_NEEDS_ACCOUNT_PERMISSION_CHECK,HKD,Asia/Hong_Kong,moomoo_opend,HK.9618,9618.HK,not_attempted_in_batch81_140,not_attempted,127,adds_non_us_market_coverage;adds_stock_behavior_sample;not_yet_attempted_avoids_repeated_quota_failure,"Seed candidate for validation; confirm account permission, liquidity, fees, and data availability before final use."
26,selected_to_reach_200,shard_02,9888.HK,HK,STOCK,LIKELY_TRADABLE_NEEDS_ACCOUNT_PERMISSION_CHECK,HKD,Asia/Hong_Kong,moomoo_opend,HK.9888,9888.HK,not_attempted_in_batch81_140,not_attempted,127,adds_non_us_market_coverage;adds_stock_behavior_sample;not_yet_attempted_avoids_repeated_quota_failure,"Seed candidate for validation; confirm account permission, liquidity, fees, and data availability before final use."
27,selected_to_reach_200,shard_02,9988.HK,HK,STOCK,LIKELY_TRADABLE_NEEDS_ACCOUNT_PERMISSION_CHECK,HKD,Asia/Hong_Kong,moomoo_opend,HK.9988,9988.HK,not_attempted_in_batch81_140,not_attempted,127,adds_non_us_market_coverage;adds_stock_behavior_sample;not_yet_attempted_avoids_repeated_quota_failure,"Seed candidate for validation; confirm account permission, liquidity, fees, and data availability before final use."
28,selected_to_reach_200,shard_02,9999.HK,HK,STOCK,LIKELY_TRADABLE_NEEDS_ACCOUNT_PERMISSION_CHECK,HKD,Asia/Hong_Kong,moomoo_opend,HK.9999,9999.HK,not_attempted_in_batch81_140,not_attempted,127,adds_non_us_market_coverage;adds_stock_behavior_sample;not_yet_attempted_avoids_repeated_quota_failure,"Seed candidate for validation; confirm account permission, liquidity, fees, and data availability before final use."
29,selected_to_reach_200,shard_02,159869.SZ,CN_ETF,ETF,LIKELY_TRADABLE_NEEDS_ACCOUNT_PERMISSION_CHECK,CNY,Asia/Shanghai,moomoo_opend,SZ.159869,159869.SZ,not_attempted_in_batch81_140,not_attempted,122,adds_non_us_market_coverage;adds_etf_behavior_sample;not_yet_attempted_avoids_repeated_quota_failure,"Seed candidate for validation; confirm account permission, liquidity, fees, and data availability before final use."
30,selected_to_reach_200,shard_02,159901.SZ,CN_ETF,ETF,LIKELY_TRADABLE_NEEDS_ACCOUNT_PERMISSION_CHECK,CNY,Asia/Shanghai,moomoo_opend,SZ.159901,159901.SZ,not_attempted_in_batch81_140,not_attempted,122,adds_non_us_market_coverage;adds_etf_behavior_sample;not_yet_attempted_avoids_repeated_quota_failure,"Seed candidate for validation; confirm account permission, liquidity, fees, and data availability before final use."
31,selected_to_reach_200,shard_02,159915.SZ,CN_ETF,ETF,LIKELY_TRADABLE_NEEDS_ACCOUNT_PERMISSION_CHECK,CNY,Asia/Shanghai,moomoo_opend,SZ.159915,159915.SZ,not_attempted_in_batch81_140,not_attempted,122,adds_non_us_market_coverage;adds_etf_behavior_sample;not_yet_attempted_avoids_repeated_quota_failure,"Seed candidate for validation; confirm account permission, liquidity, fees, and data availability before final use."
32,selected_to_reach_200,shard_02,159919.SZ,CN_ETF,ETF,LIKELY_TRADABLE_NEEDS_ACCOUNT_PERMISSION_CHECK,CNY,Asia/Shanghai,moomoo_opend,SZ.159919,159919.SZ,not_attempted_in_batch81_140,not_attempted,122,adds_non_us_market_coverage;adds_etf_behavior_sample;not_yet_attempted_avoids_repeated_quota_failure,"Seed candidate for validation; confirm account permission, liquidity, fees, and data availability before final use."
33,selected_to_reach_200,shard_02,159920.SZ,CN_ETF,ETF,LIKELY_TRADABLE_NEEDS_ACCOUNT_PERMISSION_CHECK,CNY,Asia/Shanghai,moomoo_opend,SZ.159920,159920.SZ,not_attempted_in_batch81_140,not_attempted,122,adds_non_us_market_coverage;adds_etf_behavior_sample;not_yet_attempted_avoids_repeated_quota_failure,"Seed candidate for validation; confirm account permission, liquidity, fees, and data availability before final use."
34,selected_to_reach_200,shard_02,159922.SZ,CN_ETF,ETF,LIKELY_TRADABLE_NEEDS_ACCOUNT_PERMISSION_CHECK,CNY,Asia/Shanghai,moomoo_opend,SZ.159922,159922.SZ,not_attempted_in_batch81_140,not_attempted,122,adds_non_us_market_coverage;adds_etf_behavior_sample;not_yet_attempted_avoids_repeated_quota_failure,"Seed candidate for validation; confirm account permission, liquidity, fees, and data availability before final use."
35,selected_to_reach_200,shard_02,159928.SZ,CN_ETF,ETF,LIKELY_TRADABLE_NEEDS_ACCOUNT_PERMISSION_CHECK,CNY,Asia/Shanghai,moomoo_opend,SZ.159928,159928.SZ,not_attempted_in_batch81_140,not_attempted,122,adds_non_us_market_coverage;adds_etf_behavior_sample;not_yet_attempted_avoids_repeated_quota_failure,"Seed candidate for validation; confirm account permission, liquidity, fees, and data availability before final use."
36,selected_to_reach_200,shard_02,159934.SZ,CN_ETF,ETF,LIKELY_TRADABLE_NEEDS_ACCOUNT_PERMISSION_CHECK,CNY,Asia/Shanghai,moomoo_opend,SZ.159934,159934.SZ,not_attempted_in_batch81_140,not_attempted,122,adds_non_us_market_coverage;adds_etf_behavior_sample;not_yet_attempted_avoids_repeated_quota_failure,"Seed candidate for validation; confirm account permission, liquidity, fees, and data availability before final use."
37,selected_to_reach_200,shard_02,159949.SZ,CN_ETF,ETF,LIKELY_TRADABLE_NEEDS_ACCOUNT_PERMISSION_CHECK,CNY,Asia/Shanghai,moomoo_opend,SZ.159949,159949.SZ,not_attempted_in_batch81_140,not_attempted,122,adds_non_us_market_coverage;adds_etf_behavior_sample;not_yet_attempted_avoids_repeated_quota_failure,"Seed candidate for validation; confirm account permission, liquidity, fees, and data availability before final use."
38,selected_to_reach_200,shard_02,159995.SZ,CN_ETF,ETF,LIKELY_TRADABLE_NEEDS_ACCOUNT_PERMISSION_CHECK,CNY,Asia/Shanghai,moomoo_opend,SZ.159995,159995.SZ,not_attempted_in_batch81_140,not_attempted,122,adds_non_us_market_coverage;adds_etf_behavior_sample;not_yet_attempted_avoids_repeated_quota_failure,"Seed candidate for validation; confirm account permission, liquidity, fees, and data availability before final use."
39,selected_to_reach_200,shard_02,510050.SS,CN_ETF,ETF,LIKELY_TRADABLE_NEEDS_ACCOUNT_PERMISSION_CHECK,CNY,Asia/Shanghai,moomoo_opend,SH.510050,510050.SS,not_attempted_in_batch81_140,not_attempted,122,adds_non_us_market_coverage;adds_etf_behavior_sample;not_yet_attempted_avoids_repeated_quota_failure,"Seed candidate for validation; confirm account permission, liquidity, fees, and data availability before final use."
40,selected_to_reach_200,shard_02,510180.SS,CN_ETF,ETF,LIKELY_TRADABLE_NEEDS_ACCOUNT_PERMISSION_CHECK,CNY,Asia/Shanghai,moomoo_opend,SH.510180,510180.SS,not_attempted_in_batch81_140,not_attempted,122,adds_non_us_market_coverage;adds_etf_behavior_sample;not_yet_attempted_avoids_repeated_quota_failure,"Seed candidate for validation; confirm account permission, liquidity, fees, and data availability before final use."
41,selected_to_reach_200,shard_03,510300.SS,CN_ETF,ETF,LIKELY_TRADABLE_NEEDS_ACCOUNT_PERMISSION_CHECK,CNY,Asia/Shanghai,moomoo_opend,SH.510300,510300.SS,not_attempted_in_batch81_140,not_attempted,122,adds_non_us_market_coverage;adds_etf_behavior_sample;not_yet_attempted_avoids_repeated_quota_failure,"Seed candidate for validation; confirm account permission, liquidity, fees, and data availability before final use."
42,selected_to_reach_200,shard_03,510500.SS,CN_ETF,ETF,LIKELY_TRADABLE_NEEDS_ACCOUNT_PERMISSION_CHECK,CNY,Asia/Shanghai,moomoo_opend,SH.510500,510500.SS,not_attempted_in_batch81_140,not_attempted,122,adds_non_us_market_coverage;adds_etf_behavior_sample;not_yet_attempted_avoids_repeated_quota_failure,"Seed candidate for validation; confirm account permission, liquidity, fees, and data availability before final use."
43,selected_to_reach_200,shard_03,510880.SS,CN_ETF,ETF,LIKELY_TRADABLE_NEEDS_ACCOUNT_PERMISSION_CHECK,CNY,Asia/Shanghai,moomoo_opend,SH.510880,510880.SS,not_attempted_in_batch81_140,not_attempted,122,adds_non_us_market_coverage;adds_etf_behavior_sample;not_yet_attempted_avoids_repeated_quota_failure,"Seed candidate for validation; confirm account permission, liquidity, fees, and data availability before final use."
44,selected_to_reach_200,shard_03,512100.SS,CN_ETF,ETF,LIKELY_TRADABLE_NEEDS_ACCOUNT_PERMISSION_CHECK,CNY,Asia/Shanghai,moomoo_opend,SH.512100,512100.SS,not_attempted_in_batch81_140,not_attempted,122,adds_non_us_market_coverage;adds_etf_behavior_sample;not_yet_attempted_avoids_repeated_quota_failure,"Seed candidate for validation; confirm account permission, liquidity, fees, and data availability before final use."
45,selected_to_reach_200,shard_03,512480.SS,CN_ETF,ETF,LIKELY_TRADABLE_NEEDS_ACCOUNT_PERMISSION_CHECK,CNY,Asia/Shanghai,moomoo_opend,SH.512480,512480.SS,not_attempted_in_batch81_140,not_attempted,122,adds_non_us_market_coverage;adds_etf_behavior_sample;not_yet_attempted_avoids_repeated_quota_failure,"Seed candidate for validation; confirm account permission, liquidity, fees, and data availability before final use."
46,selected_to_reach_200,shard_03,512660.SS,CN_ETF,ETF,LIKELY_TRADABLE_NEEDS_ACCOUNT_PERMISSION_CHECK,CNY,Asia/Shanghai,moomoo_opend,SH.512660,512660.SS,not_attempted_in_batch81_140,not_attempted,122,adds_non_us_market_coverage;adds_etf_behavior_sample;not_yet_attempted_avoids_repeated_quota_failure,"Seed candidate for validation; confirm account permission, liquidity, fees, and data availability before final use."
47,selected_to_reach_200,shard_03,512690.SS,CN_ETF,ETF,LIKELY_TRADABLE_NEEDS_ACCOUNT_PERMISSION_CHECK,CNY,Asia/Shanghai,moomoo_opend,SH.512690,512690.SS,not_attempted_in_batch81_140,not_attempted,122,adds_non_us_market_coverage;adds_etf_behavior_sample;not_yet_attempted_avoids_repeated_quota_failure,"Seed candidate for validation; confirm account permission, liquidity, fees, and data availability before final use."
48,selected_to_reach_200,shard_03,512760.SS,CN_ETF,ETF,LIKELY_TRADABLE_NEEDS_ACCOUNT_PERMISSION_CHECK,CNY,Asia/Shanghai,moomoo_opend,SH.512760,512760.SS,not_attempted_in_batch81_140,not_attempted,122,adds_non_us_market_coverage;adds_etf_behavior_sample;not_yet_attempted_avoids_repeated_quota_failure,"Seed candidate for validation; confirm account permission, liquidity, fees, and data availability before final use."
49,selected_to_reach_200,shard_03,512800.SS,CN_ETF,ETF,LIKELY_TRADABLE_NEEDS_ACCOUNT_PERMISSION_CHECK,CNY,Asia/Shanghai,moomoo_opend,SH.512800,512800.SS,not_attempted_in_batch81_140,not_attempted,122,adds_non_us_market_coverage;adds_etf_behavior_sample;not_yet_attempted_avoids_repeated_quota_failure,"Seed candidate for validation; confirm account permission, liquidity, fees, and data availability before final use."
50,selected_to_reach_200,shard_03,512880.SS,CN_ETF,ETF,LIKELY_TRADABLE_NEEDS_ACCOUNT_PERMISSION_CHECK,CNY,Asia/Shanghai,moomoo_opend,SH.512880,512880.SS,not_attempted_in_batch81_140,not_attempted,122,adds_non_us_market_coverage;adds_etf_behavior_sample;not_yet_attempted_avoids_repeated_quota_failure,"Seed candidate for validation; confirm account permission, liquidity, fees, and data availability before final use."
51,selected_to_reach_200,shard_03,513030.SS,CN_ETF,ETF,LIKELY_TRADABLE_NEEDS_ACCOUNT_PERMISSION_CHECK,CNY,Asia/Shanghai,moomoo_opend,SH.513030,513030.SS,not_attempted_in_batch81_140,not_attempted,122,adds_non_us_market_coverage;adds_etf_behavior_sample;not_yet_attempted_avoids_repeated_quota_failure,"Seed candidate for validation; confirm account permission, liquidity, fees, and data availability before final use."
52,selected_to_reach_200,shard_03,513050.SS,CN_ETF,ETF,LIKELY_TRADABLE_NEEDS_ACCOUNT_PERMISSION_CHECK,CNY,Asia/Shanghai,moomoo_opend,SH.513050,513050.SS,not_attempted_in_batch81_140,not_attempted,122,adds_non_us_market_coverage;adds_etf_behavior_sample;not_yet_attempted_avoids_repeated_quota_failure,"Seed candidate for validation; confirm account permission, liquidity, fees, and data availability before final use."
53,selected_to_reach_200,shard_03,513100.SS,CN_ETF,ETF,LIKELY_TRADABLE_NEEDS_ACCOUNT_PERMISSION_CHECK,CNY,Asia/Shanghai,moomoo_opend,SH.513100,513100.SS,not_attempted_in_batch81_140,not_attempted,122,adds_non_us_market_coverage;adds_etf_behavior_sample;not_yet_attempted_avoids_repeated_quota_failure,"Seed candidate for validation; confirm account permission, liquidity, fees, and data availability before final use."
54,selected_to_reach_200,shard_03,513180.SS,CN_ETF,ETF,LIKELY_TRADABLE_NEEDS_ACCOUNT_PERMISSION_CHECK,CNY,Asia/Shanghai,moomoo_opend,SH.513180,513180.SS,not_attempted_in_batch81_140,not_attempted,122,adds_non_us_market_coverage;adds_etf_behavior_sample;not_yet_attempted_avoids_repeated_quota_failure,"Seed candidate for validation; confirm account permission, liquidity, fees, and data availability before final use."
55,selected_to_reach_200,shard_03,513330.SS,CN_ETF,ETF,LIKELY_TRADABLE_NEEDS_ACCOUNT_PERMISSION_CHECK,CNY,Asia/Shanghai,moomoo_opend,SH.513330,513330.SS,not_attempted_in_batch81_140,not_attempted,122,adds_non_us_market_coverage;adds_etf_behavior_sample;not_yet_attempted_avoids_repeated_quota_failure,"Seed candidate for validation; confirm account permission, liquidity, fees, and data availability before final use."
56,selected_to_reach_200,shard_03,513500.SS,CN_ETF,ETF,LIKELY_TRADABLE_NEEDS_ACCOUNT_PERMISSION_CHECK,CNY,Asia/Shanghai,moomoo_opend,SH.513500,513500.SS,not_attempted_in_batch81_140,not_attempted,122,adds_non_us_market_coverage;adds_etf_behavior_sample;not_yet_attempted_avoids_repeated_quota_failure,"Seed candidate for validation; confirm account permission, liquidity, fees, and data availability before final use."
57,selected_to_reach_200,shard_03,515030.SS,CN_ETF,ETF,LIKELY_TRADABLE_NEEDS_ACCOUNT_PERMISSION_CHECK,CNY,Asia/Shanghai,moomoo_opend,SH.515030,515030.SS,not_attempted_in_batch81_140,not_attempted,122,adds_non_us_market_coverage;adds_etf_behavior_sample;not_yet_attempted_avoids_repeated_quota_failure,"Seed candidate for validation; confirm account permission, liquidity, fees, and data availability before final use."
58,selected_to_reach_200,shard_03,515050.SS,CN_ETF,ETF,LIKELY_TRADABLE_NEEDS_ACCOUNT_PERMISSION_CHECK,CNY,Asia/Shanghai,moomoo_opend,SH.515050,515050.SS,not_attempted_in_batch81_140,not_attempted,122,adds_non_us_market_coverage;adds_etf_behavior_sample;not_yet_attempted_avoids_repeated_quota_failure,"Seed candidate for validation; confirm account permission, liquidity, fees, and data availability before final use."
59,selected_to_reach_200,shard_03,515220.SS,CN_ETF,ETF,LIKELY_TRADABLE_NEEDS_ACCOUNT_PERMISSION_CHECK,CNY,Asia/Shanghai,moomoo_opend,SH.515220,515220.SS,not_attempted_in_batch81_140,not_attempted,122,adds_non_us_market_coverage;adds_etf_behavior_sample;not_yet_attempted_avoids_repeated_quota_failure,"Seed candidate for validation; confirm account permission, liquidity, fees, and data availability before final use."
60,selected_to_reach_200,shard_03,515700.SS,CN_ETF,ETF,LIKELY_TRADABLE_NEEDS_ACCOUNT_PERMISSION_CHECK,CNY,Asia/Shanghai,moomoo_opend,SH.515700,515700.SS,not_attempted_in_batch81_140,not_attempted,122,adds_non_us_market_coverage;adds_etf_behavior_sample;not_yet_attempted_avoids_repeated_quota_failure,"Seed candidate for validation; confirm account permission, liquidity, fees, and data availability before final use."
61,selected_to_reach_200,shard_04,515790.SS,CN_ETF,ETF,LIKELY_TRADABLE_NEEDS_ACCOUNT_PERMISSION_CHECK,CNY,Asia/Shanghai,moomoo_opend,SH.515790,515790.SS,not_attempted_in_batch81_140,not_attempted,122,adds_non_us_market_coverage;adds_etf_behavior_sample;not_yet_attempted_avoids_repeated_quota_failure,"Seed candidate for validation; confirm account permission, liquidity, fees, and data availability before final use."
62,selected_to_reach_200,shard_04,516160.SS,CN_ETF,ETF,LIKELY_TRADABLE_NEEDS_ACCOUNT_PERMISSION_CHECK,CNY,Asia/Shanghai,moomoo_opend,SH.516160,516160.SS,not_attempted_in_batch81_140,not_attempted,122,adds_non_us_market_coverage;adds_etf_behavior_sample;not_yet_attempted_avoids_repeated_quota_failure,"Seed candidate for validation; confirm account permission, liquidity, fees, and data availability before final use."
63,selected_to_reach_200,shard_04,588000.SS,CN_ETF,ETF,LIKELY_TRADABLE_NEEDS_ACCOUNT_PERMISSION_CHECK,CNY,Asia/Shanghai,moomoo_opend,SH.588000,588000.SS,not_attempted_in_batch81_140,not_attempted,122,adds_non_us_market_coverage;adds_etf_behavior_sample;not_yet_attempted_avoids_repeated_quota_failure,"Seed candidate for validation; confirm account permission, liquidity, fees, and data availability before final use."
64,selected_to_reach_200,shard_04,588080.SS,CN_ETF,ETF,LIKELY_TRADABLE_NEEDS_ACCOUNT_PERMISSION_CHECK,CNY,Asia/Shanghai,moomoo_opend,SH.588080,588080.SS,not_attempted_in_batch81_140,not_attempted,122,adds_non_us_market_coverage;adds_etf_behavior_sample;not_yet_attempted_avoids_repeated_quota_failure,"Seed candidate for validation; confirm account permission, liquidity, fees, and data availability before final use."
