seq,task_id,stage_id,stage_name,phase_id,phase_name,priority,size,title,objective,dependencies,deliverables,acceptance,value_metric,cost_metric,rollback,release_mode,status
11,ADP-S1-P01-T011,S1,Truth & Content Stabilization｜真相与内容止血,S1-P01,Deployment Manifest 单一生产事实,P0,S,由 Manifest 生成 Status/部署文档,消除 STATUS 同时声称 Cloud-native 与 Tunnel 的矛盾。,ADP-S1-P01-T009;ADP-S1-P01-T010,generated status、stale section archive、CI drift check。,手写旧架构不能覆盖 generated current；文档与 build endpoint 一致。,完成前后必须报告对应 Stage 的用户价值指标。,报告新增请求、D1 行读写、R2 字节/操作、模型调用、人工维护量；未知不得填 0。,恢复到任务前 commit/feature flag；不得改写既有生产数据。,NOT_DEPLOYED,NOT_STARTED
12,ADP-S1-P02-T012,S1,Truth & Content Stabilization｜真相与内容止血,S1-P02,Source Registry 单一来源事实,P0,S,定义统一 Source Registry Schema,覆盖现有五板块与中国 A0–A2，并区分 official evidence 与 discovery。,ADP-S0-P03-T008,schema、authority enum、source identity、enable/health/cursor fields。,A0/A1/A2 以外的中国官方等级验证失败；媒体不得标为官方证据。,完成前后必须报告对应 Stage 的用户价值指标。,报告新增请求、D1 行读写、R2 字节/操作、模型调用、人工维护量；未知不得填 0。,恢复到任务前 commit/feature flag；不得改写既有生产数据。,NOT_DEPLOYED,NOT_STARTED
13,ADP-S1-P02-T013,S1,Truth & Content Stabilization｜真相与内容止血,S1-P02,Source Registry 单一来源事实,P0,S,迁移现有全部来源到 Registry,不改变现有抓取行为，先消除 YAML、Worker、D1 和 UI 多份来源真相。,ADP-S1-P02-T012,migration mapping、registry rows、legacy exception list。,迁移前后 fixture 输出相同；每个线上 source_id 在 Registry 唯一。,完成前后必须报告对应 Stage 的用户价值指标。,报告新增请求、D1 行读写、R2 字节/操作、模型调用、人工维护量；未知不得填 0。,恢复到任务前 commit/feature flag；不得改写既有生产数据。,NOT_DEPLOYED,NOT_STARTED
14,ADP-S1-P02-T014,S1,Truth & Content Stabilization｜真相与内容止血,S1-P02,Source Registry 单一来源事实,P0,S,实现 Registry 编译器与确定性输出,由一个源生成 runtime、UI labels、D1 seed、health 和 backfill plan。,ADP-S1-P02-T013,compiler、validator、runtime JSON、UI JSON、seed SQL、registry hash。,连续两次编译字节一致；duplicate ID、非法 enabled、未知 authority 均失败。,完成前后必须报告对应 Stage 的用户价值指标。,报告新增请求、D1 行读写、R2 字节/操作、模型调用、人工维护量；未知不得填 0。,恢复到任务前 commit/feature flag；不得改写既有生产数据。,NOT_DEPLOYED,NOT_STARTED
15,ADP-S1-P02-T015,S1,Truth & Content Stabilization｜真相与内容止血,S1-P02,Source Registry 单一来源事实,P0,S,加入 Source Drift CI,阻断新手写 source array、UI 标签漂移和 D1 未注册来源。,ADP-S1-P02-T014,repo scanner、runtime/D1 comparison、approved exception file。,注入一个第二来源数组或错误标签会使 CI 失败；正常 build 无误报。,完成前后必须报告对应 Stage 的用户价值指标。,报告新增请求、D1 行读写、R2 字节/操作、模型调用、人工维护量；未知不得填 0。,恢复到任务前 commit/feature flag；不得改写既有生产数据。,NOT_DEPLOYED,NOT_STARTED
16,ADP-S1-P03-T016,S1,Truth & Content Stabilization｜真相与内容止血,S1-P03,Factsheet、人话版与质量门,P0,M,建立五板块 Factsheet Schema 与确定性抽取,先抽取稳定事实，再生成文字。,ADP-S1-P02-T014,common + board extensions、日期/文号/DOI/单位抽取器。,缺失字段为 null；200 个样本 P0 字段有人工基准。,完成前后必须报告对应 Stage 的用户价值指标。,报告新增请求、D1 行读写、R2 字节/操作、模型调用、人工维护量；未知不得填 0。,恢复到任务前 commit/feature flag；不得改写既有生产数据。,NOT_DEPLOYED,NOT_STARTED
17,ADP-S1-P03-T017,S1,Truth & Content Stabilization｜真相与内容止血,S1-P03,Factsheet、人话版与质量门,P0,S,建立当前 200 样本内容缺陷基线,量化英文直出、重复、模板、无证据、空栏目和板块污染。,ADP-S1-P03-T016,baseline dataset、defect labels、before report。,每条缺陷可回到 item_id/document_id/build_id；不以主观描述代替样本。,完成前后必须报告对应 Stage 的用户价值指标。,报告新增请求、D1 行读写、R2 字节/操作、模型调用、人工维护量；未知不得填 0。,恢复到任务前 commit/feature flag；不得改写既有生产数据。,NOT_DEPLOYED,NOT_STARTED
18,ADP-S1-P03-T018,S1,Truth & Content Stabilization｜真相与内容止血,S1-P03,Factsheet、人话版与质量门,P0,M,实现 L0–L3 分层人话内容与 Evidence Locator,输出 15 秒、2 分钟、深度和原始证据四层，并区分事实/解释/推断。,ADP-S1-P03-T016;ADP-S1-P03-T017,content contract、board prompts、claim locators、render payload。,中文 UI 无未解释大段英文；关键数字/日期/结果 100% 可定位证据。,完成前后必须报告对应 Stage 的用户价值指标。,报告新增请求、D1 行读写、R2 字节/操作、模型调用、人工维护量；未知不得填 0。,恢复到任务前 commit/feature flag；不得改写既有生产数据。,NOT_DEPLOYED,NOT_STARTED
19,ADP-S1-P03-T019,S1,Truth & Content Stabilization｜真相与内容止血,S1-P03,Factsheet、人话版与质量门,P0,S,实现确定性 QA、单次重试与 Factsheet 回退,生成失败时宁可少讲，也不发布模板垃圾。,ADP-S1-P03-T018,language/empty/duplicate/unsupported/template checks、quarantine/fallback。,故意注入模型超时、重复和缺字段时最多重试一次，之后只发事实卡/原文。,完成前后必须报告对应 Stage 的用户价值指标。,报告新增请求、D1 行读写、R2 字节/操作、模型调用、人工维护量；未知不得填 0。,恢复到任务前 commit/feature flag；不得改写既有生产数据。,NOT_DEPLOYED,NOT_STARTED
20,ADP-S1-P03-T020,S1,Truth & Content Stabilization｜真相与内容止血,S1-P03,Factsheet、人话版与质量门,P0,L,建立 500 条 Golden Set 与内容 Release Gate,将内容质量变成持续可验收的发布门。,ADP-S1-P03-T019,500 sample index、human rubric、CI gate、before/after report。,关键声明证据 100%；空章节/模板泄漏 0；P0 事实准确率 >=99%；失败只阻断内容 bundle。,完成前后必须报告对应 Stage 的用户价值指标。,报告新增请求、D1 行读写、R2 字节/操作、模型调用、人工维护量；未知不得填 0。,恢复到任务前 commit/feature flag；不得改写既有生产数据。,NOT_DEPLOYED,NOT_STARTED
21,ADP-S2-P01-T021,S2,Durable Evidence & Versioning｜原始证据、版本与恢复,S2-P01,R2 不可变原始证据双写,P0,S,定义 R2 RawArtifact Key、Hash、压缩与元数据,为不可变原始 HTML/PDF/附件建立稳定对象合同。,ADP-S1-P02-T015;ADP-S1-P03-T020,object key spec、sha256、mime、response metadata、compression policy。,同字节同 hash；不同 source/version 不覆盖；路径不含 secret/PII。,完成前后必须报告对应 Stage 的用户价值指标。,报告新增请求、D1 行读写、R2 字节/操作、模型调用、人工维护量；未知不得填 0。,恢复到任务前 commit/feature flag；不得改写既有生产数据。,NOT_DEPLOYED,NOT_STARTED
22,ADP-S2-P01-T022,S2,Durable Evidence & Versioning｜原始证据、版本与恢复,S2-P01,R2 不可变原始证据双写,P0,S,实现 Feature-flagged RawArtifact Dual-write,现有抓取成功后旁路保存原始字节，不改变发布主链。,ADP-S2-P01-T021,R2 writer、D1 artifact row、feature flag、retry/idempotency。,关闭 flag 时行为与基线相同；重试不产生重复对象。,完成前后必须报告对应 Stage 的用户价值指标。,报告新增请求、D1 行读写、R2 字节/操作、模型调用、人工维护量；未知不得填 0。,恢复到任务前 commit/feature flag；不得改写既有生产数据。,SHADOW,NOT_STARTED
23,ADP-S2-P01-T023,S2,Durable Evidence & Versioning｜原始证据、版本与恢复,S2-P01,R2 不可变原始证据双写,P0,M,运行 7 日/1000 Artifact Shadow 与成本性能报告,在扩历史前测量保存完整率、延迟和真实外推成本。,ADP-S2-P01-T022,shadow report、missing/hash report、p95 delta、cost extrapolation。,保存/hash/readback 100%；p95 增量在批准预算内；未通过不得进入版本迁移。,完成前后必须报告对应 Stage 的用户价值指标。,报告新增请求、D1 行读写、R2 字节/操作、模型调用、人工维护量；未知不得填 0。,恢复到任务前 commit/feature flag；不得改写既有生产数据。,SHADOW,NOT_STARTED
24,ADP-S2-P02-T024,S2,Durable Evidence & Versioning｜原始证据、版本与恢复,S2-P02,Canonical Document 与版本链,P0,S,定义 CanonicalDocument 身份、转载归并和去重规则,区分同一文档、转载、附件、修订和完全不同事件。,ADP-S2-P01-T023,identity spec、canonicalization fixtures、collision report。,同文重跑不增 document；转载归并但 artifact 保留；碰撞可解释。,完成前后必须报告对应 Stage 的用户价值指标。,报告新增请求、D1 行读写、R2 字节/操作、模型调用、人工维护量；未知不得填 0。,恢复到任务前 commit/feature flag；不得改写既有生产数据。,NOT_DEPLOYED,NOT_STARTED
25,ADP-S2-P02-T025,S2,Durable Evidence & Versioning｜原始证据、版本与恢复,S2-P02,Canonical Document 与版本链,P0,M,实施 DocumentVersion Schema、迁移与回滚,不覆盖历史，记录内容、附件、状态和日期变化。,ADP-S2-P02-T024,migration.sql、rollback.sql、indexes、schema version。,迁移前后行数/关系校验；回滚在隔离副本成功。,完成前后必须报告对应 Stage 的用户价值指标。,报告新增请求、D1 行读写、R2 字节/操作、模型调用、人工维护量；未知不得填 0。,恢复到任务前 commit/feature flag；不得改写既有生产数据。,NOT_DEPLOYED,NOT_STARTED
26,ADP-S2-P02-T026,S2,Durable Evidence & Versioning｜原始证据、版本与恢复,S2-P02,Canonical Document 与版本链,P0,S,实现版本 Diff、模板噪声过滤与 Replay 幂等,只对实质变化生成版本，任何任务可重放。,ADP-S2-P02-T025,diff engine、noise rules、replay CLI、fixtures。,正文/附件/状态实质变化增版本；页脚/导航变化不增；三次重放结果一致。,完成前后必须报告对应 Stage 的用户价值指标。,报告新增请求、D1 行读写、R2 字节/操作、模型调用、人工维护量；未知不得填 0。,恢复到任务前 commit/feature flag；不得改写既有生产数据。,NOT_DEPLOYED,NOT_STARTED
27,ADP-S2-P03-T027,S2,Durable Evidence & Versioning｜原始证据、版本与恢复,S2-P03,开放快照、恢复和编排成本,P0,M,生成 Monthly Parquet Snapshot 与 Manifest,为大规模历史分析、恢复和预测提供开放格式。,ADP-S2-P02-T026,partition writer、schema evolution、snapshot manifest、hash。,同一 logical snapshot 可重复生成；D1 抽样和 Parquet 行/关系一致。,完成前后必须报告对应 Stage 的用户价值指标。,报告新增请求、D1 行读写、R2 字节/操作、模型调用、人工维护量；未知不得填 0。,恢复到任务前 commit/feature flag；不得改写既有生产数据。,NOT_DEPLOYED,NOT_STARTED
28,ADP-S2-P03-T028,S2,Durable Evidence & Versioning｜原始证据、版本与恢复,S2-P03,开放快照、恢复和编排成本,P0,S,用 DuckDB 独立验证开放历史,避免恢复路径被单一 Cloudflare Beta 能力锁死。,ADP-S2-P03-T027,DuckDB checks、sample queries、rebuild report。,无 R2 SQL/Data Catalog 也能重建关键文档、版本、事件和信号计数。,完成前后必须报告对应 Stage 的用户价值指标。,报告新增请求、D1 行读写、R2 字节/操作、模型调用、人工维护量；未知不得填 0。,恢复到任务前 commit/feature flag；不得改写既有生产数据。,NOT_DEPLOYED,NOT_STARTED
29,ADP-S2-P03-T029,S2,Durable Evidence & Versioning｜原始证据、版本与恢复,S2-P03,开放快照、恢复和编排成本,P0,M,执行备份恢复与生命周期演练,证明 2016 月份、2020 月份和当前月份可恢复，明确永久与可再生数据。,ADP-S2-P03-T027;ADP-S2-P03-T028,restore runbook、isolation restore、retention matrix、result hashes。,随机正文、附件、关系、计数一致；原始官方证据和发布版本不得删除。,完成前后必须报告对应 Stage 的用户价值指标。,报告新增请求、D1 行读写、R2 字节/操作、模型调用、人工维护量；未知不得填 0。,恢复到任务前 commit/feature flag；不得改写既有生产数据。,NOT_DEPLOYED,NOT_STARTED
30,ADP-S2-P03-T030,S2,Durable Evidence & Versioning｜原始证据、版本与恢复,S2-P03,开放快照、恢复和编排成本,P0,M,Queue/Workflows 编排与成本决策实验,先比较 Cron+Queue 与 Workflows，再决定是否引入新增复杂度。,ADP-S2-P01-T023;ADP-S2-P02-T026,at-least-once envelope、DLQ、idempotency test、step/operation cost benchmark、ADR。,Workflows 只有在可靠性收益高于新增步骤费用和维护复杂度时采用；否则保持简单路径。,减少任务丢失和人工恢复，同时避免架构过度。,实际 Queue operations、Workflow steps/storage 和维护工作量。,恢复到任务前 commit/feature flag；不得改写既有生产数据。,NOT_DEPLOYED,NOT_STARTED
31,ADP-S3-P01-T031,S3,China A0 Official Pilot｜中国中央国家级官方源小规模替换,S3-P01,极简官方源 Connector Kernel,P0,S,实现最小 Official Connector Interface,只保留 discover/fetch/verify/normalize/attachments/cursor/health 必需能力。,ADP-S2-P03-T030,connector SDK、typed contract、adapter registry。,无业务 UI、图谱或新平台耦合；一个 mock connector 全链路通过。,完成前后必须报告对应 Stage 的用户价值指标。,报告新增请求、D1 行读写、R2 字节/操作、模型调用、人工维护量；未知不得填 0。,恢复到任务前 commit/feature flag；不得改写既有生产数据。,NOT_DEPLOYED,NOT_STARTED
32,ADP-S3-P01-T032,S3,China A0 Official Pilot｜中国中央国家级官方源小规模替换,S3-P01,极简官方源 Connector Kernel,P0,S,建立 Fixture 与 Contract Test Harness,网站模板变化时在 CI 发现，而不是上线后静默错抓。,ADP-S3-P01-T031,normal/attachment/pagination/changed fixtures、expected normalized JSON。,任一字段漂移、附件丢失或分页断裂会使相应 connector test 失败。,完成前后必须报告对应 Stage 的用户价值指标。,报告新增请求、D1 行读写、R2 字节/操作、模型调用、人工维护量；未知不得填 0。,恢复到任务前 commit/feature flag；不得改写既有生产数据。,NOT_DEPLOYED,NOT_STARTED
33,ADP-S3-P01-T033,S3,China A0 Official Pilot｜中国中央国家级官方源小规模替换,S3-P01,极简官方源 Connector Kernel,P0,S,实现官方身份验证与 A0 标记,使用官方域、主办单位、目录和可取得的网站标识码验证源。,ADP-S3-P01-T031,identity verifier、evidence fields、manual review state。,未验证 source 不能 enabled；搜索/媒体只能作为 discovery，不得获得 A0。,完成前后必须报告对应 Stage 的用户价值指标。,报告新增请求、D1 行读写、R2 字节/操作、模型调用、人工维护量；未知不得填 0。,恢复到任务前 commit/feature flag；不得改写既有生产数据。,NOT_DEPLOYED,NOT_STARTED
34,ADP-S3-P02-T034,S3,China A0 Official Pilot｜中国中央国家级官方源小规模替换,S3-P02,首批 A0 官方适配器,P0,M,接入国务院政策文件与国家法律法规入口,建立政策/法规原文、文号、日期、状态和附件的 A0 样板。,ADP-S3-P01-T032;ADP-S3-P01-T033,connectors、2016/2020/2024/current fixtures、cursor。,官方原文和附件可回放；日期类型不混淆；历史游标可恢复。,完成前后必须报告对应 Stage 的用户价值指标。,报告新增请求、D1 行读写、R2 字节/操作、模型调用、人工维护量；未知不得填 0。,恢复到任务前 commit/feature flag；不得改写既有生产数据。,NOT_DEPLOYED,NOT_STARTED
35,ADP-S3-P02-T035,S3,China A0 Official Pilot｜中国中央国家级官方源小规模替换,S3-P02,首批 A0 官方适配器,P0,M,接入国家统计与发改委官方入口,覆盖统计口径、指标、政策文件和公告。,ADP-S3-P01-T032;ADP-S3-P01-T033,connectors、unit/period/indicator extraction、fixtures。,统计 Claim 记录单位、期间、口径和修订；不从媒体数字形成事实。,完成前后必须报告对应 Stage 的用户价值指标。,报告新增请求、D1 行读写、R2 字节/操作、模型调用、人工维护量；未知不得填 0。,恢复到任务前 commit/feature flag；不得改写既有生产数据。,NOT_DEPLOYED,NOT_STARTED
36,ADP-S3-P02-T036,S3,China A0 Official Pilot｜中国中央国家级官方源小规模替换,S3-P02,首批 A0 官方适配器,P0,M,接入网信办与国家数据局官方入口,覆盖 AI、网络、数据治理和国家数据政策第一线内容。,ADP-S3-P01-T032;ADP-S3-P01-T033,connectors、attachments、consultation/status fixtures。,征求意见、正式文件、解读和新闻可区分；官方原文为 primary。,完成前后必须报告对应 Stage 的用户价值指标。,报告新增请求、D1 行读写、R2 字节/操作、模型调用、人工维护量；未知不得填 0。,恢复到任务前 commit/feature flag；不得改写既有生产数据。,NOT_DEPLOYED,NOT_STARTED
37,ADP-S3-P03-T037,S3,China A0 Official Pilot｜中国中央国家级官方源小规模替换,S3-P03,Board 3 准入、Shadow 与切换,P0,S,实现 Board 3 官方文档准入、类型和效力日期,在排序前排除新闻噪声并识别成文/发布/施行/失效。,ADP-S3-P02-T034;ADP-S3-P02-T035;ADP-S3-P02-T036,eligibility gate、document classifier、date/status extractors。,政策视图抽样 200 条污染率 <1%；关键日期准确率 >=99%。,完成前后必须报告对应 Stage 的用户价值指标。,报告新增请求、D1 行读写、R2 字节/操作、模型调用、人工维护量；未知不得填 0。,恢复到任务前 commit/feature flag；不得改写既有生产数据。,NOT_DEPLOYED,NOT_STARTED
38,ADP-S3-P03-T038,S3,China A0 Official Pilot｜中国中央国家级官方源小规模替换,S3-P03,Board 3 准入、Shadow 与切换,P0,S,实现媒体发现到官方原文解析与事件去重,允许媒体发现线索，但必须回到发布机关原文并合并转载。,ADP-S3-P03-T037,resolver、canonical event grouping、abstain path。,50 个媒体线索中有原文则绑定原文，无原文则 UNKNOWN/ABSTAIN；不冒充官方。,完成前后必须报告对应 Stage 的用户价值指标。,报告新增请求、D1 行读写、R2 字节/操作、模型调用、人工维护量；未知不得填 0。,恢复到任务前 commit/feature flag；不得改写既有生产数据。,NOT_DEPLOYED,NOT_STARTED
39,ADP-S3-P03-T039,S3,China A0 Official Pilot｜中国中央国家级官方源小规模替换,S3-P03,Board 3 准入、Shadow 与切换,P0,M,运行 A0 14 日 Shadow 与价值成本对比,对比现有媒体流和 A0 官方流的权威率、污染、及时、覆盖与成本。,ADP-S3-P03-T038,daily report、miss/false-positive analysis、cost per accepted item。,至少 14 个完整周期；不以单日样本决策；未达门槛继续 Shadow。,完成前后必须报告对应 Stage 的用户价值指标。,报告新增请求、D1 行读写、R2 字节/操作、模型调用、人工维护量；未知不得填 0。,恢复到任务前 commit/feature flag；不得改写既有生产数据。,SHADOW,NOT_STARTED
40,ADP-S3-P03-T040,S3,China A0 Official Pilot｜中国中央国家级官方源小规模替换,S3-P03,Board 3 准入、Shadow 与切换,P0,M,Board 3 官方视图 Canary 与可回滚切换,通过 Gate 后将媒体降为 discovery，官方原文成为默认证据。,ADP-S3-P03-T039,feature flag、canary cohort、rollback、manifest update。,切换后官方证据率 100%；出现 P0 解析/延迟回归可在一个部署内回滚。,完成前后必须报告对应 Stage 的用户价值指标。,报告新增请求、D1 行读写、R2 字节/操作、模型调用、人工维护量；未知不得填 0。,恢复到任务前 commit/feature flag；不得改写既有生产数据。,CANARY,NOT_STARTED
41,ADP-S4-P01-T041,S4,2016+ A0/A1/A2 Expansion｜历史回填与地域扩展,S4-P01,可暂停可恢复的 Backfill Engine,P1,S,实现年度/月度分片 Backfill Planner 与 Cursor,将 2016+ 回填拆成小分片、可重试、可恢复的任务。,ADP-S3-P03-T040,planner、cursor schema、checkpoint、resume CLI。,同分片执行三次无重复；中断后从最后确认点恢复。,完成前后必须报告对应 Stage 的用户价值指标。,报告新增请求、D1 行读写、R2 字节/操作、模型调用、人工维护量；未知不得填 0。,恢复到任务前 commit/feature flag；不得改写既有生产数据。,NOT_DEPLOYED,NOT_STARTED
42,ADP-S4-P01-T042,S4,2016+ A0/A1/A2 Expansion｜历史回填与地域扩展,S4-P01,可暂停可恢复的 Backfill Engine,P1,S,建立 Realtime/Catchup/Backfill 三车道与自动暂停,保证历史回填永远不能拖垮当前第一线数据。,ADP-S4-P01-T041,priority rules、queue quotas、backpressure、kill switch。,压力测试时 realtime freshness P95 <=基线+20%；超阈值自动暂停 backfill。,完成前后必须报告对应 Stage 的用户价值指标。,报告新增请求、D1 行读写、R2 字节/操作、模型调用、人工维护量；未知不得填 0。,恢复到任务前 commit/feature flag；不得改写既有生产数据。,NOT_DEPLOYED,NOT_STARTED
43,ADP-S4-P01-T043,S4,2016+ A0/A1/A2 Expansion｜历史回填与地域扩展,S4-P01,可暂停可恢复的 Backfill Engine,P1,S,实现 Source-Year-Month Gap Detector,把全面性从来源数量变为可见的时间覆盖和缺口。,ADP-S4-P01-T041,coverage table、gap reasons、alerts。,每个 enabled source/year/month 有 count 或解释；0 个静默未解释空洞。,完成前后必须报告对应 Stage 的用户价值指标。,报告新增请求、D1 行读写、R2 字节/操作、模型调用、人工维护量；未知不得填 0。,恢复到任务前 commit/feature flag；不得改写既有生产数据。,NOT_DEPLOYED,NOT_STARTED
44,ADP-S4-P01-T044,S4,2016+ A0/A1/A2 Expansion｜历史回填与地域扩展,S4-P01,可暂停可恢复的 Backfill Engine,P1,S,建立 Source-Year 单位成本与维护看板,在扩每个 cohort 前知道抓取、存储、AI、失败和人工维护成本。,ADP-S4-P01-T042;ADP-S4-P01-T043,cost facts、throughput、failure/manual intervention metrics。,未知成本不得用 0；可计算每千 artifact 和每个 accepted material event 成本。,完成前后必须报告对应 Stage 的用户价值指标。,报告新增请求、D1 行读写、R2 字节/操作、模型调用、人工维护量；未知不得填 0。,恢复到任务前 commit/feature flag；不得改写既有生产数据。,NOT_DEPLOYED,NOT_STARTED
45,ADP-S4-P02-T045,S4,2016+ A0/A1/A2 Expansion｜历史回填与地域扩展,S4-P02,A0 2016+ 历史 cohort,P1,S,按用户价值选择 A0 回填 Cohort,先覆盖高价值中央/国家级领域，不按 Registry 顺序盲目全开。,ADP-S4-P01-T044,priority model、cohort manifest、expected benefit。,每个 source 有权威角色、历史起点、预期文档类型和停止规则。,完成前后必须报告对应 Stage 的用户价值指标。,报告新增请求、D1 行读写、R2 字节/操作、模型调用、人工维护量；未知不得填 0。,恢复到任务前 commit/feature flag；不得改写既有生产数据。,NOT_DEPLOYED,NOT_STARTED
46,ADP-S4-P02-T046,S4,2016+ A0/A1/A2 Expansion｜历史回填与地域扩展,S4-P02,A0 2016+ 历史 cohort,P1,L,执行 A0 2016+ Wave 1,回填第一批已证明稳定的 A0 来源。,ADP-S4-P02-T045,backfill manifests、raw/version counts、gap/cost report。,实时无回归；幂等、附件、版本和月份覆盖通过。,完成前后必须报告对应 Stage 的用户价值指标。,报告新增请求、D1 行读写、R2 字节/操作、模型调用、人工维护量；未知不得填 0。,恢复到任务前 commit/feature flag；不得改写既有生产数据。,SHADOW,NOT_STARTED
