task_id,stage,phase,title,depends_on,requirement,acceptance,low_h,likely_h,high_h,pass_gate
T-S02-P01-01,S02,P01,实现｜官方平台与监管调研,T-S00-P04-03,REQ-S02-P01,AC-S02-P01,1.0,1.5,2.0,每个事实有URL、检索日期和来源等级。
T-S02-P01-02,S02,P01,验证｜官方平台与监管调研,T-S02-P01-01,REQ-S02-P01,AC-S02-P01,1.0,1.5,2.0,每个事实有URL、检索日期和来源等级。
T-S02-P01-03,S02,P01,证据与通过门｜官方平台与监管调研,T-S02-P01-02,REQ-S02-P01,AC-S02-P01,1.0,1.0,2.0,每个事实有URL、检索日期和来源等级。
T-S02-P02-01,S02,P02,实现｜模型与风险论文调研,T-S02-P01-03,REQ-S02-P02,AC-S02-P02,1.0,1.5,2.0,每个模型设计主张可回溯论文。
T-S02-P02-02,S02,P02,验证｜模型与风险论文调研,T-S02-P02-01,REQ-S02-P02,AC-S02-P02,1.0,1.5,2.0,每个模型设计主张可回溯论文。
T-S02-P02-03,S02,P02,证据与通过门｜模型与风险论文调研,T-S02-P02-02,REQ-S02-P02,AC-S02-P02,1.0,1.0,2.0,每个模型设计主张可回溯论文。
T-S02-P03-01,S02,P03,实现｜开源项目复用审计,T-S02-P02-03,REQ-S02-P03,AC-S02-P03,1.0,1.5,2.0,每个项目有采用/适配/拒绝和许可证裁定。
T-S02-P03-02,S02,P03,验证｜开源项目复用审计,T-S02-P03-01,REQ-S02-P03,AC-S02-P03,1.0,1.5,2.0,每个项目有采用/适配/拒绝和许可证裁定。
T-S02-P03-03,S02,P03,证据与通过门｜开源项目复用审计,T-S02-P03-02,REQ-S02-P03,AC-S02-P03,1.0,1.0,2.0,每个项目有采用/适配/拒绝和许可证裁定。
T-S02-P04-01,S02,P04,实现｜调研缺口与反证,T-S02-P03-03,REQ-S02-P04,AC-S02-P04,1.0,1.5,2.0,不宣称穷尽互联网；静默研究缺口为零。
T-S02-P04-02,S02,P04,验证｜调研缺口与反证,T-S02-P04-01,REQ-S02-P04,AC-S02-P04,1.0,1.5,2.0,不宣称穷尽互联网；静默研究缺口为零。
T-S02-P04-03,S02,P04,证据与通过门｜调研缺口与反证,T-S02-P04-02,REQ-S02-P04,AC-S02-P04,1.0,1.0,2.0,不宣称穷尽互联网；静默研究缺口为零。
T-S03-P01-01,S03,P01,实现｜中文术语字典,T-S00-P04-03;T-S01-P04-03,REQ-S03-P01,AC-S03-P01,1.0,1.5,2.0,日常界面不存在未解释缩写。
T-S03-P01-02,S03,P01,验证｜中文术语字典,T-S03-P01-01,REQ-S03-P01,AC-S03-P01,1.0,1.5,2.0,日常界面不存在未解释缩写。
T-S03-P01-03,S03,P01,证据与通过门｜中文术语字典,T-S03-P01-02,REQ-S03-P01,AC-S03-P01,1.0,1.0,2.0,日常界面不存在未解释缩写。
T-S03-P02-01,S03,P02,实现｜唯一建议卡,T-S03-P01-03,REQ-S03-P02,AC-S03-P02,1.0,1.5,2.0,用户10秒内知道做什么、在哪做、金额和最低赔率。
T-S03-P02-02,S03,P02,验证｜唯一建议卡,T-S03-P02-01,REQ-S03-P02,AC-S03-P02,1.0,1.5,2.0,用户10秒内知道做什么、在哪做、金额和最低赔率。
T-S03-P02-03,S03,P02,证据与通过门｜唯一建议卡,T-S03-P02-02,REQ-S03-P02,AC-S03-P02,1.0,1.0,2.0,用户10秒内知道做什么、在哪做、金额和最低赔率。
T-S03-P03-01,S03,P03,实现｜中文错误与下一步,T-S03-P02-03,REQ-S03-P03,AC-S03-P03,1.0,1.5,2.0,每个失败状态只有一个明确下一步。
T-S03-P03-02,S03,P03,验证｜中文错误与下一步,T-S03-P03-01,REQ-S03-P03,AC-S03-P03,1.0,1.5,2.0,每个失败状态只有一个明确下一步。
T-S03-P03-03,S03,P03,证据与通过门｜中文错误与下一步,T-S03-P03-02,REQ-S03-P03,AC-S03-P03,1.0,1.0,2.0,每个失败状态只有一个明确下一步。
T-S03-P04-01,S03,P04,实现｜可用性与无障碍,T-S03-P03-03,REQ-S03-P04,AC-S03-P04,1.0,1.5,2.0,核心操作中位数≤10分钟、95分位≤20分钟。
T-S03-P04-02,S03,P04,验证｜可用性与无障碍,T-S03-P04-01,REQ-S03-P04,AC-S03-P04,1.0,1.5,2.0,核心操作中位数≤10分钟、95分位≤20分钟。
T-S03-P04-03,S03,P04,证据与通过门｜可用性与无障碍,T-S03-P04-02,REQ-S03-P04,AC-S03-P04,1.0,1.0,2.0,核心操作中位数≤10分钟、95分位≤20分钟。
T-S04-P01-01,S04,P01,实现｜基础设施即代码,T-S00-P04-03;T-S01-P04-03,REQ-S04-P01,AC-S04-P01,1.0,1.5,2.0,一条命令可重建，秘密不进入仓库。
T-S04-P01-02,S04,P01,验证｜基础设施即代码,T-S04-P01-01,REQ-S04-P01,AC-S04-P01,1.0,1.5,2.0,一条命令可重建，秘密不进入仓库。
T-S04-P01-03,S04,P01,证据与通过门｜基础设施即代码,T-S04-P01-02,REQ-S04-P01,AC-S04-P01,1.0,1.0,2.0,一条命令可重建，秘密不进入仓库。
T-S04-P02-01,S04,P02,实现｜Cloudflare 全球入口,T-S04-P01-03,REQ-S04-P02,AC-S04-P02,1.0,1.5,2.0,OVH无需公开业务入站端口即可访问。
T-S04-P02-02,S04,P02,验证｜Cloudflare 全球入口,T-S04-P02-01,REQ-S04-P02,AC-S04-P02,1.0,1.5,2.0,OVH无需公开业务入站端口即可访问。
T-S04-P02-03,S04,P02,证据与通过门｜Cloudflare 全球入口,T-S04-P02-02,REQ-S04-P02,AC-S04-P02,1.0,1.0,2.0,OVH无需公开业务入站端口即可访问。
T-S04-P03-01,S04,P03,实现｜单机双环境发布,T-S04-P02-03,REQ-S04-P03,AC-S04-P03,1.0,1.5,2.0,发布不丢账本，失败在15分钟内回旧版。
T-S04-P03-02,S04,P03,验证｜单机双环境发布,T-S04-P03-01,REQ-S04-P03,AC-S04-P03,1.0,1.5,2.0,发布不丢账本，失败在15分钟内回旧版。
T-S04-P03-03,S04,P03,证据与通过门｜单机双环境发布,T-S04-P03-02,REQ-S04-P03,AC-S04-P03,1.0,1.0,2.0,发布不丢账本，失败在15分钟内回旧版。
T-S04-P04-01,S04,P04,实现｜容量与资源治理,T-S04-P03-03,REQ-S04-P04,AC-S04-P04,1.0,1.5,2.0,VPS-1在10倍预期负载下不触发失控交换或磁盘耗尽。
T-S04-P04-02,S04,P04,验证｜容量与资源治理,T-S04-P04-01,REQ-S04-P04,AC-S04-P04,1.0,1.5,2.0,VPS-1在10倍预期负载下不触发失控交换或磁盘耗尽。
T-S04-P04-03,S04,P04,证据与通过门｜容量与资源治理,T-S04-P04-02,REQ-S04-P04,AC-S04-P04,1.0,1.0,2.0,VPS-1在10倍预期负载下不触发失控交换或磁盘耗尽。
T-S05-P01-01,S05,P01,实现｜市场本体与范围清单,T-S02-P04-03;T-S04-P04-03,REQ-S05-P01,AC-S05-P01,1.0,1.5,2.0,所有发现对象都有唯一类型或明确未知状态。
T-S05-P01-02,S05,P01,验证｜市场本体与范围清单,T-S05-P01-01,REQ-S05-P01,AC-S05-P01,1.0,1.5,2.0,所有发现对象都有唯一类型或明确未知状态。
T-S05-P01-03,S05,P01,证据与通过门｜市场本体与范围清单,T-S05-P01-02,REQ-S05-P01,AC-S05-P01,1.0,1.0,2.0,所有发现对象都有唯一类型或明确未知状态。
T-S05-P02-01,S05,P02,实现｜来源能力合同,T-S05-P01-03,REQ-S05-P02,AC-S05-P02,1.0,1.5,2.0,任何采集能力必须先通过来源合同。
T-S05-P02-02,S05,P02,验证｜来源能力合同,T-S05-P02-01,REQ-S05-P02,AC-S05-P02,1.0,1.5,2.0,任何采集能力必须先通过来源合同。
T-S05-P02-03,S05,P02,证据与通过门｜来源能力合同,T-S05-P02-02,REQ-S05-P02,AC-S05-P02,1.0,1.0,2.0,任何采集能力必须先通过来源合同。
T-S05-P03-01,S05,P03,实现｜自适应采集调度,T-S05-P02-03,REQ-S05-P03,AC-S05-P03,1.0,1.5,2.0,固定时钟测试中刷新偏差≤2秒，过期数据不进入建议。
T-S05-P03-02,S05,P03,验证｜自适应采集调度,T-S05-P03-01,REQ-S05-P03,AC-S05-P03,1.0,1.5,2.0,固定时钟测试中刷新偏差≤2秒，过期数据不进入建议。
T-S05-P03-03,S05,P03,证据与通过门｜自适应采集调度,T-S05-P03-02,REQ-S05-P03,AC-S05-P03,1.0,1.0,2.0,固定时钟测试中刷新偏差≤2秒，过期数据不进入建议。
T-S05-P04-01,S05,P04,实现｜覆盖缺口可观测,T-S05-P03-03,REQ-S05-P04,AC-S05-P04,1.0,1.5,2.0,静默缺口=0；每个缺口都有原因和恢复动作。
T-S05-P04-02,S05,P04,验证｜覆盖缺口可观测,T-S05-P04-01,REQ-S05-P04,AC-S05-P04,1.0,1.5,2.0,静默缺口=0；每个缺口都有原因和恢复动作。
T-S05-P04-03,S05,P04,证据与通过门｜覆盖缺口可观测,T-S05-P04-02,REQ-S05-P04,AC-S05-P04,1.0,1.0,2.0,静默缺口=0；每个缺口都有原因和恢复动作。
T-S06-P01-01,S06,P01,实现｜最小权限授权与检索,T-S04-P04-03,REQ-S06-P01,AC-S06-P01,1.0,1.5,2.0,无授权不阻塞核心；有授权后重复扫描不重复归档。
T-S06-P01-02,S06,P01,验证｜最小权限授权与检索,T-S06-P01-01,REQ-S06-P01,AC-S06-P01,1.0,1.5,2.0,无授权不阻塞核心；有授权后重复扫描不重复归档。
T-S06-P01-03,S06,P01,证据与通过门｜最小权限授权与检索,T-S06-P01-02,REQ-S06-P01,AC-S06-P01,1.0,1.0,2.0,无授权不阻塞核心；有授权后重复扫描不重复归档。
T-S06-P02-01,S06,P02,实现｜原件与附件双阶段保存,T-S06-P01-03,REQ-S06-P02,AC-S06-P02,1.0,1.5,2.0,任何文件缺失或哈希不一致时邮件不删除。
T-S06-P02-02,S06,P02,验证｜原件与附件双阶段保存,T-S06-P02-01,REQ-S06-P02,AC-S06-P02,1.0,1.5,2.0,任何文件缺失或哈希不一致时邮件不删除。
T-S06-P02-03,S06,P02,证据与通过门｜原件与附件双阶段保存,T-S06-P02-02,REQ-S06-P02,AC-S06-P02,1.0,1.0,2.0,任何文件缺失或哈希不一致时邮件不删除。
T-S06-P03-01,S06,P03,实现｜附件安全与解析,T-S06-P02-03,REQ-S06-P03,AC-S06-P03,1.0,1.5,2.0,恶意、宏、脚本、公式注入或未知类型全部隔离。
T-S06-P03-02,S06,P03,验证｜附件安全与解析,T-S06-P03-01,REQ-S06-P03,AC-S06-P03,1.0,1.5,2.0,恶意、宏、脚本、公式注入或未知类型全部隔离。
T-S06-P03-03,S06,P03,证据与通过门｜附件安全与解析,T-S06-P03-02,REQ-S06-P03,AC-S06-P03,1.0,1.0,2.0,恶意、宏、脚本、公式注入或未知类型全部隔离。
T-S06-P04-01,S06,P04,实现｜删除、审计与恢复,T-S06-P03-03,REQ-S06-P04,AC-S06-P04,1.0,1.5,2.0,未知发件人或验证失败不删除；永久删除能力不存在。
T-S06-P04-02,S06,P04,验证｜删除、审计与恢复,T-S06-P04-01,REQ-S06-P04,AC-S06-P04,1.0,1.5,2.0,未知发件人或验证失败不删除；永久删除能力不存在。
T-S06-P04-03,S06,P04,证据与通过门｜删除、审计与恢复,T-S06-P04-02,REQ-S06-P04,AC-S06-P04,1.0,1.0,2.0,未知发件人或验证失败不删除；永久删除能力不存在。
T-S07-P01-01,S07,P01,实现｜赛事与盘口唯一身份,T-S04-P04-03;T-S05-P04-03;T-S06-P04-03,REQ-S07-P01,AC-S07-P01,1.0,1.5,2.0,身份置信度<99.5%时不建议。
T-S07-P01-02,S07,P01,验证｜赛事与盘口唯一身份,T-S07-P01-01,REQ-S07-P01,AC-S07-P01,1.0,1.5,2.0,身份置信度<99.5%时不建议。
T-S07-P01-03,S07,P01,证据与通过门｜赛事与盘口唯一身份,T-S07-P01-02,REQ-S07-P01,AC-S07-P01,1.0,1.0,2.0,身份置信度<99.5%时不建议。
T-S07-P02-01,S07,P02,实现｜时间血缘与防泄漏,T-S07-P01-03,REQ-S07-P02,AC-S07-P02,1.0,1.5,2.0,未来信息容忍度=0。
T-S07-P02-02,S07,P02,验证｜时间血缘与防泄漏,T-S07-P02-01,REQ-S07-P02,AC-S07-P02,1.0,1.5,2.0,未来信息容忍度=0。
T-S07-P02-03,S07,P02,证据与通过门｜时间血缘与防泄漏,T-S07-P02-02,REQ-S07-P02,AC-S07-P02,1.0,1.0,2.0,未来信息容忍度=0。
T-S07-P03-01,S07,P03,实现｜不可变建议与资金账本,T-S07-P02-03,REQ-S07-P03,AC-S07-P03,1.0,1.5,2.0,无成交证据时真实资金账本不变化。
T-S07-P03-02,S07,P03,验证｜不可变建议与资金账本,T-S07-P03-01,REQ-S07-P03,AC-S07-P03,1.0,1.5,2.0,无成交证据时真实资金账本不变化。
T-S07-P03-03,S07,P03,证据与通过门｜不可变建议与资金账本,T-S07-P03-02,REQ-S07-P03,AC-S07-P03,1.0,1.0,2.0,无成交证据时真实资金账本不变化。
T-S07-P04-01,S07,P04,实现｜连续证据索引,T-S07-P03-03,REQ-S07-P04,AC-S07-P04,1.0,1.5,2.0,需求→任务→测试→证据→制品无孤儿。
T-S07-P04-02,S07,P04,验证｜连续证据索引,T-S07-P04-01,REQ-S07-P04,AC-S07-P04,1.0,1.5,2.0,需求→任务→测试→证据→制品无孤儿。
T-S07-P04-03,S07,P04,证据与通过门｜连续证据索引,T-S07-P04-02,REQ-S07-P04,AC-S07-P04,1.0,1.0,2.0,需求→任务→测试→证据→制品无孤儿。
T-S08-P01-01,S08,P01,实现｜四种去水方法,T-S02-P04-03;T-S07-P04-03,REQ-S08-P01,AC-S08-P01,1.0,1.5,2.0,完整盘口概率和=1±1e-9，四种方法可重放。
T-S08-P01-02,S08,P01,验证｜四种去水方法,T-S08-P01-01,REQ-S08-P01,AC-S08-P01,1.0,1.5,2.0,完整盘口概率和=1±1e-9，四种方法可重放。
T-S08-P01-03,S08,P01,证据与通过门｜四种去水方法,T-S08-P01-02,REQ-S08-P01,AC-S08-P01,1.0,1.0,2.0,完整盘口概率和=1±1e-9，四种方法可重放。
T-S08-P02-01,S08,P02,实现｜来源独立性与权重,T-S08-P01-03,REQ-S08-P02,AC-S08-P02,1.0,1.5,2.0,同源复制不得被错误计为多条独立证据。
T-S08-P02-02,S08,P02,验证｜来源独立性与权重,T-S08-P02-01,REQ-S08-P02,AC-S08-P02,1.0,1.5,2.0,同源复制不得被错误计为多条独立证据。
T-S08-P02-03,S08,P02,证据与通过门｜来源独立性与权重,T-S08-P02-02,REQ-S08-P02,AC-S08-P02,1.0,1.0,2.0,同源复制不得被错误计为多条独立证据。
T-S08-P03-01,S08,P03,实现｜加权中位共识,T-S08-P02-03,REQ-S08-P03,AC-S08-P03,1.0,1.5,2.0,增加复制来源不改变共识；结果跨实现一致。
T-S08-P03-02,S08,P03,验证｜加权中位共识,T-S08-P03-01,REQ-S08-P03,AC-S08-P03,1.0,1.5,2.0,增加复制来源不改变共识；结果跨实现一致。
T-S08-P03-03,S08,P03,证据与通过门｜加权中位共识,T-S08-P03-02,REQ-S08-P03,AC-S08-P03,1.0,1.0,2.0,增加复制来源不改变共识；结果跨实现一致。
T-S08-P04-01,S08,P04,实现｜异常值与线动,T-S08-P03-03,REQ-S08-P04,AC-S08-P04,1.0,1.5,2.0,单一异常长赔率不能制造建议。
T-S08-P04-02,S08,P04,验证｜异常值与线动,T-S08-P04-01,REQ-S08-P04,AC-S08-P04,1.0,1.5,2.0,单一异常长赔率不能制造建议。
T-S08-P04-03,S08,P04,证据与通过门｜异常值与线动,T-S08-P04-02,REQ-S08-P04,AC-S08-P04,1.0,1.0,2.0,单一异常长赔率不能制造建议。
T-S09-P01-01,S09,P01,实现｜通用市场残差基线,T-S02-P04-03;T-S07-P04-03,REQ-S09-P01,AC-S09-P01,1.0,1.5,2.0,没有领域增量时残差权重自动为0。
T-S09-P01-02,S09,P01,验证｜通用市场残差基线,T-S09-P01-01,REQ-S09-P01,AC-S09-P01,1.0,1.5,2.0,没有领域增量时残差权重自动为0。
T-S09-P01-03,S09,P01,证据与通过门｜通用市场残差基线,T-S09-P01-02,REQ-S09-P01,AC-S09-P01,1.0,1.0,2.0,没有领域增量时残差权重自动为0。
T-S09-P02-01,S09,P02,实现｜网球与对抗项目模型,T-S09-P01-03,REQ-S09-P02,AC-S09-P02,1.0,1.5,2.0,只使用建议时已知信息，时间外推通过。
T-S09-P02-02,S09,P02,验证｜网球与对抗项目模型,T-S09-P02-01,REQ-S09-P02,AC-S09-P02,1.0,1.5,2.0,只使用建议时已知信息，时间外推通过。
T-S09-P02-03,S09,P02,证据与通过门｜网球与对抗项目模型,T-S09-P02-02,REQ-S09-P02,AC-S09-P02,1.0,1.0,2.0,只使用建议时已知信息，时间外推通过。
T-S09-P03-01,S09,P03,实现｜足球与得分项目模型,T-S09-P02-03,REQ-S09-P03,AC-S09-P03,1.0,1.5,2.0,概率质量、尾部和盘口映射通过。
T-S09-P03-02,S09,P03,验证｜足球与得分项目模型,T-S09-P03-01,REQ-S09-P03,AC-S09-P03,1.0,1.5,2.0,概率质量、尾部和盘口映射通过。
T-S09-P03-03,S09,P03,证据与通过门｜足球与得分项目模型,T-S09-P03-02,REQ-S09-P03,AC-S09-P03,1.0,1.0,2.0,概率质量、尾部和盘口映射通过。
T-S09-P04-01,S09,P04,实现｜赛马、篮球、棒球及小众回退,T-S09-P03-03,REQ-S09-P04,AC-S09-P04,1.0,1.5,2.0,未证明领域模型只能市场基线或不建议。
T-S09-P04-02,S09,P04,验证｜赛马、篮球、棒球及小众回退,T-S09-P04-01,REQ-S09-P04,AC-S09-P04,1.0,1.5,2.0,未证明领域模型只能市场基线或不建议。
T-S09-P04-03,S09,P04,证据与通过门｜赛马、篮球、棒球及小众回退,T-S09-P04-02,REQ-S09-P04,AC-S09-P04,1.0,1.0,2.0,未证明领域模型只能市场基线或不建议。
T-S10-P01-01,S10,P01,实现｜时间交叉验证与校准,T-S07-P04-03;T-S08-P04-03;T-S09-P04-03,REQ-S10-P01,AC-S10-P01,1.0,1.5,2.0,斜率0.90–1.10、截距绝对值≤0.02。
T-S10-P01-02,S10,P01,验证｜时间交叉验证与校准,T-S10-P01-01,REQ-S10-P01,AC-S10-P01,1.0,1.5,2.0,斜率0.90–1.10、截距绝对值≤0.02。
T-S10-P01-03,S10,P01,证据与通过门｜时间交叉验证与校准,T-S10-P01-02,REQ-S10-P01,AC-S10-P01,1.0,1.0,2.0,斜率0.90–1.10、截距绝对值≤0.02。
T-S10-P02-01,S10,P02,实现｜分块重采样与保守概率,T-S10-P01-03,REQ-S10-P02,AC-S10-P02,1.0,1.5,2.0,固定种子/输入可重放，保守概率单调。
T-S10-P02-02,S10,P02,验证｜分块重采样与保守概率,T-S10-P02-01,REQ-S10-P02,AC-S10-P02,1.0,1.5,2.0,固定种子/输入可重放，保守概率单调。
T-S10-P02-03,S10,P02,证据与通过门｜分块重采样与保守概率,T-S10-P02-02,REQ-S10-P02,AC-S10-P02,1.0,1.0,2.0,固定种子/输入可重放，保守概率单调。
T-S10-P03-01,S10,P03,实现｜十进制定点权威计算,T-S10-P02-03,REQ-S10-P03,AC-S10-P03,1.0,1.5,2.0,两套实现差≤1e-12且动作完全一致。
T-S10-P03-02,S10,P03,验证｜十进制定点权威计算,T-S10-P03-01,REQ-S10-P03,AC-S10-P03,1.0,1.5,2.0,两套实现差≤1e-12且动作完全一致。
T-S10-P03-03,S10,P03,证据与通过门｜十进制定点权威计算,T-S10-P03-02,REQ-S10-P03,AC-S10-P03,1.0,1.0,2.0,两套实现差≤1e-12且动作完全一致。
T-S10-P04-01,S10,P04,实现｜万分之一扰动门,T-S10-P03-03,REQ-S10-P04,AC-S10-P04,1.0,1.5,2.0,所有硬边界±0.0001用例100%符合预期。
T-S10-P04-02,S10,P04,验证｜万分之一扰动门,T-S10-P04-01,REQ-S10-P04,AC-S10-P04,1.0,1.5,2.0,所有硬边界±0.0001用例100%符合预期。
T-S10-P04-03,S10,P04,证据与通过门｜万分之一扰动门,T-S10-P04-02,REQ-S10-P04,AC-S10-P04,1.0,1.0,2.0,所有硬边界±0.0001用例100%符合预期。
T-S11-P01-01,S11,P01,实现｜摩擦与可执行净期望,T-S08-P04-03;T-S09-P04-03;T-S10-P04-03,REQ-S11-P01,AC-S11-P01,1.0,1.5,2.0,有效摩擦取默认与实测95分位较大者。
T-S11-P01-02,S11,P01,验证｜摩擦与可执行净期望,T-S11-P01-01,REQ-S11-P01,AC-S11-P01,1.0,1.5,2.0,有效摩擦取默认与实测95分位较大者。
T-S11-P01-03,S11,P01,证据与通过门｜摩擦与可执行净期望,T-S11-P01-02,REQ-S11-P01,AC-S11-P01,1.0,1.0,2.0,有效摩擦取默认与实测95分位较大者。
T-S11-P02-01,S11,P02,实现｜证据层与最低赔率,T-S11-P01-03,REQ-S11-P02,AC-S11-P02,1.0,1.5,2.0,所有阈值边界及万分之一扰动通过。
T-S11-P02-02,S11,P02,验证｜证据层与最低赔率,T-S11-P02-01,REQ-S11-P02,AC-S11-P02,1.0,1.5,2.0,所有阈值边界及万分之一扰动通过。
T-S11-P02-03,S11,P02,证据与通过门｜证据层与最低赔率,T-S11-P02-02,REQ-S11-P02,AC-S11-P02,1.0,1.0,2.0,所有阈值边界及万分之一扰动通过。
T-S11-P03-01,S11,P03,实现｜动态平台路由,T-S11-P02-03,REQ-S11-P03,AC-S11-P03,1.0,1.5,2.0,只显示一个最高分且全部门通过的平台。
T-S11-P03-02,S11,P03,验证｜动态平台路由,T-S11-P03-01,REQ-S11-P03,AC-S11-P03,1.0,1.5,2.0,只显示一个最高分且全部门通过的平台。
T-S11-P03-03,S11,P03,证据与通过门｜动态平台路由,T-S11-P03-02,REQ-S11-P03,AC-S11-P03,1.0,1.0,2.0,只显示一个最高分且全部门通过的平台。
T-S11-P04-01,S11,P04,实现｜受限凯利与相关组合,T-S11-P03-03,REQ-S11-P04,AC-S11-P04,1.0,1.5,2.0,任意属性测试不能越过风险上限。
T-S11-P04-02,S11,P04,验证｜受限凯利与相关组合,T-S11-P04-01,REQ-S11-P04,AC-S11-P04,1.0,1.5,2.0,任意属性测试不能越过风险上限。
T-S11-P04-03,S11,P04,证据与通过门｜受限凯利与相关组合,T-S11-P04-02,REQ-S11-P04,AC-S11-P04,1.0,1.0,2.0,任意属性测试不能越过风险上限。
T-S12-P01-01,S12,P01,实现｜目标曲线与现金流调整,T-S01-P04-03;T-S10-P04-03;T-S11-P04-03,REQ-S12-P01,AC-S12-P01,1.0,1.5,2.0,固定时钟下目标曲线与高精度参考一致。
T-S12-P01-02,S12,P01,验证｜目标曲线与现金流调整,T-S12-P01-01,REQ-S12-P01,AC-S12-P01,1.0,1.5,2.0,固定时钟下目标曲线与高精度参考一致。
T-S12-P01-03,S12,P01,证据与通过门｜目标曲线与现金流调整,T-S12-P01-02,REQ-S12-P01,AC-S12-P01,1.0,1.0,2.0,固定时钟下目标曲线与高精度参考一致。
T-S12-P02-01,S12,P02,实现｜机会容量与相关校正,T-S12-P01-03,REQ-S12-P02,AC-S12-P02,1.0,1.5,2.0,不把高度相关机会重复计入30%覆盖。
