requirement_id,acceptance_criteria_id,task_ids,test_ids,evidence_id,artifact_ids,stage_id,phase_id
REQ-S04-P02,AC-S04-P02,T-S04-P02-01;T-S04-P02-02;T-S04-P02-03,TEST-S04-P02;TEST-S04-P02-BOUNDARY;TEST-S04-P02-REPLAY,EVD-S04-P02,ART-S04-P02-01;ART-S04-P02-02;ART-S04-P02-03,S04,P02
REQ-S04-P03,AC-S04-P03,T-S04-P03-01;T-S04-P03-02;T-S04-P03-03,TEST-S04-P03;TEST-S04-P03-BOUNDARY;TEST-S04-P03-REPLAY,EVD-S04-P03,ART-S04-P03-01;ART-S04-P03-02;ART-S04-P03-03,S04,P03
REQ-S04-P04,AC-S04-P04,T-S04-P04-01;T-S04-P04-02;T-S04-P04-03,TEST-S04-P04;TEST-S04-P04-BOUNDARY;TEST-S04-P04-REPLAY,EVD-S04-P04,ART-S04-P04-01;ART-S04-P04-02;ART-S04-P04-03,S04,P04
REQ-S05-P01,AC-S05-P01,T-S05-P01-01;T-S05-P01-02;T-S05-P01-03,TEST-S05-P01;TEST-S05-P01-BOUNDARY;TEST-S05-P01-REPLAY,EVD-S05-P01,ART-S05-P01-01;ART-S05-P01-02,S05,P01
REQ-S05-P02,AC-S05-P02,T-S05-P02-01;T-S05-P02-02;T-S05-P02-03,TEST-S05-P02;TEST-S05-P02-BOUNDARY;TEST-S05-P02-REPLAY,EVD-S05-P02,ART-S05-P02-01;ART-S05-P02-02,S05,P02
REQ-S05-P03,AC-S05-P03,T-S05-P03-01;T-S05-P03-02;T-S05-P03-03,TEST-S05-P03;TEST-S05-P03-BOUNDARY;TEST-S05-P03-REPLAY,EVD-S05-P03,ART-S05-P03-01;ART-S05-P03-02;ART-S05-P03-03,S05,P03
REQ-S05-P04,AC-S05-P04,T-S05-P04-01;T-S05-P04-02;T-S05-P04-03,TEST-S05-P04;TEST-S05-P04-BOUNDARY;TEST-S05-P04-REPLAY,EVD-S05-P04,ART-S05-P04-01;ART-S05-P04-02,S05,P04
REQ-S06-P01,AC-S06-P01,T-S06-P01-01;T-S06-P01-02;T-S06-P01-03,TEST-S06-P01;TEST-S06-P01-BOUNDARY;TEST-S06-P01-REPLAY,EVD-S06-P01,ART-S06-P01-01;ART-S06-P01-02;ART-S06-P01-03,S06,P01
REQ-S06-P02,AC-S06-P02,T-S06-P02-01;T-S06-P02-02;T-S06-P02-03,TEST-S06-P02;TEST-S06-P02-BOUNDARY;TEST-S06-P02-REPLAY,EVD-S06-P02,ART-S06-P02-01;ART-S06-P02-02;ART-S06-P02-03,S06,P02
REQ-S06-P03,AC-S06-P03,T-S06-P03-01;T-S06-P03-02;T-S06-P03-03,TEST-S06-P03;TEST-S06-P03-BOUNDARY;TEST-S06-P03-REPLAY,EVD-S06-P03,ART-S06-P03-01;ART-S06-P03-02;ART-S06-P03-03,S06,P03
REQ-S06-P04,AC-S06-P04,T-S06-P04-01;T-S06-P04-02;T-S06-P04-03,TEST-S06-P04;TEST-S06-P04-BOUNDARY;TEST-S06-P04-REPLAY,EVD-S06-P04,ART-S06-P04-01;ART-S06-P04-02;ART-S06-P04-03,S06,P04
REQ-S07-P01,AC-S07-P01,T-S07-P01-01;T-S07-P01-02;T-S07-P01-03,TEST-S07-P01;TEST-S07-P01-BOUNDARY;TEST-S07-P01-REPLAY,EVD-S07-P01,ART-S07-P01-01;ART-S07-P01-02;ART-S07-P01-03,S07,P01
REQ-S07-P02,AC-S07-P02,T-S07-P02-01;T-S07-P02-02;T-S07-P02-03,TEST-S07-P02;TEST-S07-P02-BOUNDARY;TEST-S07-P02-REPLAY,EVD-S07-P02,ART-S07-P02-01;ART-S07-P02-02,S07,P02
REQ-S07-P03,AC-S07-P03,T-S07-P03-01;T-S07-P03-02;T-S07-P03-03,TEST-S07-P03;TEST-S07-P03-BOUNDARY;TEST-S07-P03-REPLAY,EVD-S07-P03,ART-S07-P03-01;ART-S07-P03-02;ART-S07-P03-03,S07,P03
REQ-S07-P04,AC-S07-P04,T-S07-P04-01;T-S07-P04-02;T-S07-P04-03,TEST-S07-P04;TEST-S07-P04-BOUNDARY;TEST-S07-P04-REPLAY,EVD-S07-P04,ART-S07-P04-01;ART-S07-P04-02;ART-S07-P04-03,S07,P04
REQ-S08-P01,AC-S08-P01,T-S08-P01-01;T-S08-P01-02;T-S08-P01-03,TEST-S08-P01;TEST-S08-P01-BOUNDARY;TEST-S08-P01-REPLAY,EVD-S08-P01,ART-S08-P01-01;ART-S08-P01-02;ART-S08-P01-03,S08,P01
REQ-S08-P02,AC-S08-P02,T-S08-P02-01;T-S08-P02-02;T-S08-P02-03,TEST-S08-P02;TEST-S08-P02-BOUNDARY;TEST-S08-P02-REPLAY,EVD-S08-P02,ART-S08-P02-01;ART-S08-P02-02,S08,P02
REQ-S08-P03,AC-S08-P03,T-S08-P03-01;T-S08-P03-02;T-S08-P03-03,TEST-S08-P03;TEST-S08-P03-BOUNDARY;TEST-S08-P03-REPLAY,EVD-S08-P03,ART-S08-P03-01;ART-S08-P03-02,S08,P03
REQ-S08-P04,AC-S08-P04,T-S08-P04-01;T-S08-P04-02;T-S08-P04-03,TEST-S08-P04;TEST-S08-P04-BOUNDARY;TEST-S08-P04-REPLAY,EVD-S08-P04,ART-S08-P04-01;ART-S08-P04-02;ART-S08-P04-03,S08,P04
REQ-S09-P01,AC-S09-P01,T-S09-P01-01;T-S09-P01-02;T-S09-P01-03,TEST-S09-P01;TEST-S09-P01-BOUNDARY;TEST-S09-P01-REPLAY,EVD-S09-P01,ART-S09-P01-01;ART-S09-P01-02,S09,P01
REQ-S09-P02,AC-S09-P02,T-S09-P02-01;T-S09-P02-02;T-S09-P02-03,TEST-S09-P02;TEST-S09-P02-BOUNDARY;TEST-S09-P02-REPLAY,EVD-S09-P02,ART-S09-P02-01;ART-S09-P02-02;ART-S09-P02-03,S09,P02
REQ-S09-P03,AC-S09-P03,T-S09-P03-01;T-S09-P03-02;T-S09-P03-03,TEST-S09-P03;TEST-S09-P03-BOUNDARY;TEST-S09-P03-REPLAY,EVD-S09-P03,ART-S09-P03-01;ART-S09-P03-02;ART-S09-P03-03,S09,P03
REQ-S09-P04,AC-S09-P04,T-S09-P04-01;T-S09-P04-02;T-S09-P04-03,TEST-S09-P04;TEST-S09-P04-BOUNDARY;TEST-S09-P04-REPLAY,EVD-S09-P04,ART-S09-P04-01;ART-S09-P04-02;ART-S09-P04-03;ART-S09-P04-04,S09,P04
REQ-S10-P01,AC-S10-P01,T-S10-P01-01;T-S10-P01-02;T-S10-P01-03,TEST-S10-P01;TEST-S10-P01-BOUNDARY;TEST-S10-P01-REPLAY,EVD-S10-P01,ART-S10-P01-01;ART-S10-P01-02;ART-S10-P01-03,S10,P01
REQ-S10-P02,AC-S10-P02,T-S10-P02-01;T-S10-P02-02;T-S10-P02-03,TEST-S10-P02;TEST-S10-P02-BOUNDARY;TEST-S10-P02-REPLAY,EVD-S10-P02,ART-S10-P02-01;ART-S10-P02-02,S10,P02
REQ-S10-P03,AC-S10-P03,T-S10-P03-01;T-S10-P03-02;T-S10-P03-03,TEST-S10-P03;TEST-S10-P03-BOUNDARY;TEST-S10-P03-REPLAY,EVD-S10-P03,ART-S10-P03-01;ART-S10-P03-02;ART-S10-P03-03,S10,P03
REQ-S10-P04,AC-S10-P04,T-S10-P04-01;T-S10-P04-02;T-S10-P04-03,TEST-S10-P04;TEST-S10-P04-BOUNDARY;TEST-S10-P04-REPLAY,EVD-S10-P04,ART-S10-P04-01;ART-S10-P04-02;ART-S10-P04-03,S10,P04
REQ-S11-P01,AC-S11-P01,T-S11-P01-01;T-S11-P01-02;T-S11-P01-03,TEST-S11-P01;TEST-S11-P01-BOUNDARY;TEST-S11-P01-REPLAY,EVD-S11-P01,ART-S11-P01-01;ART-S11-P01-02;ART-S11-P01-03,S11,P01
REQ-S11-P02,AC-S11-P02,T-S11-P02-01;T-S11-P02-02;T-S11-P02-03,TEST-S11-P02;TEST-S11-P02-BOUNDARY;TEST-S11-P02-REPLAY,EVD-S11-P02,ART-S11-P02-01;ART-S11-P02-02;ART-S11-P02-03,S11,P02
REQ-S11-P03,AC-S11-P03,T-S11-P03-01;T-S11-P03-02;T-S11-P03-03,TEST-S11-P03;TEST-S11-P03-BOUNDARY;TEST-S11-P03-REPLAY,EVD-S11-P03,ART-S11-P03-01;ART-S11-P03-02;ART-S11-P03-03,S11,P03
REQ-S11-P04,AC-S11-P04,T-S11-P04-01;T-S11-P04-02;T-S11-P04-03,TEST-S11-P04;TEST-S11-P04-BOUNDARY;TEST-S11-P04-REPLAY,EVD-S11-P04,ART-S11-P04-01;ART-S11-P04-02;ART-S11-P04-03,S11,P04
REQ-S12-P01,AC-S12-P01,T-S12-P01-01;T-S12-P01-02;T-S12-P01-03,TEST-S12-P01;TEST-S12-P01-BOUNDARY;TEST-S12-P01-REPLAY,EVD-S12-P01,ART-S12-P01-01;ART-S12-P01-02;ART-S12-P01-03,S12,P01
REQ-S12-P02,AC-S12-P02,T-S12-P02-01;T-S12-P02-02;T-S12-P02-03,TEST-S12-P02;TEST-S12-P02-BOUNDARY;TEST-S12-P02-REPLAY,EVD-S12-P02,ART-S12-P02-01;ART-S12-P02-02;ART-S12-P02-03,S12,P02
REQ-S12-P03,AC-S12-P03,T-S12-P03-01;T-S12-P03-02;T-S12-P03-03,TEST-S12-P03;TEST-S12-P03-BOUNDARY;TEST-S12-P03-REPLAY,EVD-S12-P03,ART-S12-P03-01;ART-S12-P03-02;ART-S12-P03-03,S12,P03
REQ-S12-P04,AC-S12-P04,T-S12-P04-01;T-S12-P04-02;T-S12-P04-03,TEST-S12-P04;TEST-S12-P04-BOUNDARY;TEST-S12-P04-REPLAY,EVD-S12-P04,ART-S12-P04-01;ART-S12-P04-02;ART-S12-P04-03,S12,P04
REQ-S13-P01,AC-S13-P01,T-S13-P01-01;T-S13-P01-02;T-S13-P01-03,TEST-S13-P01;TEST-S13-P01-BOUNDARY;TEST-S13-P01-REPLAY,EVD-S13-P01,ART-S13-P01-01;ART-S13-P01-02;ART-S13-P01-03,S13,P01
REQ-S13-P02,AC-S13-P02,T-S13-P02-01;T-S13-P02-02;T-S13-P02-03,TEST-S13-P02;TEST-S13-P02-BOUNDARY;TEST-S13-P02-REPLAY,EVD-S13-P02,ART-S13-P02-01;ART-S13-P02-02;ART-S13-P02-03,S13,P02
REQ-S13-P03,AC-S13-P03,T-S13-P03-01;T-S13-P03-02;T-S13-P03-03,TEST-S13-P03;TEST-S13-P03-BOUNDARY;TEST-S13-P03-REPLAY,EVD-S13-P03,ART-S13-P03-01;ART-S13-P03-02;ART-S13-P03-03,S13,P03
REQ-S13-P04,AC-S13-P04,T-S13-P04-01;T-S13-P04-02;T-S13-P04-03,TEST-S13-P04;TEST-S13-P04-BOUNDARY;TEST-S13-P04-REPLAY,EVD-S13-P04,ART-S13-P04-01;ART-S13-P04-02,S13,P04
REQ-S14-P01,AC-S14-P01,T-S14-P01-01;T-S14-P01-02;T-S14-P01-03,TEST-S14-P01;TEST-S14-P01-BOUNDARY;TEST-S14-P01-REPLAY,EVD-S14-P01,ART-S14-P01-01;ART-S14-P01-02;ART-S14-P01-03,S14,P01
REQ-S14-P02,AC-S14-P02,T-S14-P02-01;T-S14-P02-02;T-S14-P02-03,TEST-S14-P02;TEST-S14-P02-BOUNDARY;TEST-S14-P02-REPLAY,EVD-S14-P02,ART-S14-P02-01;ART-S14-P02-02;ART-S14-P02-03,S14,P02
REQ-S14-P03,AC-S14-P03,T-S14-P03-01;T-S14-P03-02;T-S14-P03-03,TEST-S14-P03;TEST-S14-P03-BOUNDARY;TEST-S14-P03-REPLAY,EVD-S14-P03,ART-S14-P03-01;ART-S14-P03-02;ART-S14-P03-03,S14,P03
REQ-S14-P04,AC-S14-P04,T-S14-P04-01;T-S14-P04-02;T-S14-P04-03,TEST-S14-P04;TEST-S14-P04-BOUNDARY;TEST-S14-P04-REPLAY,EVD-S14-P04,ART-S14-P04-01;ART-S14-P04-02;ART-S14-P04-03,S14,P04
REQ-S15-P01,AC-S15-P01,T-S15-P01-01;T-S15-P01-02;T-S15-P01-03,TEST-S15-P01;TEST-S15-P01-BOUNDARY;TEST-S15-P01-REPLAY,EVD-S15-P01,ART-S15-P01-01;ART-S15-P01-02;ART-S15-P01-03,S15,P01
REQ-S15-P02,AC-S15-P02,T-S15-P02-01;T-S15-P02-02;T-S15-P02-03,TEST-S15-P02;TEST-S15-P02-BOUNDARY;TEST-S15-P02-REPLAY,EVD-S15-P02,ART-S15-P02-01;ART-S15-P02-02;ART-S15-P02-03,S15,P02
REQ-S15-P03,AC-S15-P03,T-S15-P03-01;T-S15-P03-02;T-S15-P03-03,TEST-S15-P03;TEST-S15-P03-BOUNDARY;TEST-S15-P03-REPLAY,EVD-S15-P03,ART-S15-P03-01;ART-S15-P03-02;ART-S15-P03-03,S15,P03
REQ-S15-P04,AC-S15-P04,T-S15-P04-01;T-S15-P04-02;T-S15-P04-03,TEST-S15-P04;TEST-S15-P04-BOUNDARY;TEST-S15-P04-REPLAY,EVD-S15-P04,ART-S15-P04-01;ART-S15-P04-02,S15,P04
REQ-S16-P01,AC-S16-P01,T-S16-P01-01;T-S16-P01-02;T-S16-P01-03,TEST-S16-P01;TEST-S16-P01-BOUNDARY;TEST-S16-P01-REPLAY,EVD-S16-P01,ART-S16-P01-01;ART-S16-P01-02;ART-S16-P01-03,S16,P01
REQ-S16-P02,AC-S16-P02,T-S16-P02-01;T-S16-P02-02;T-S16-P02-03,TEST-S16-P02;TEST-S16-P02-BOUNDARY;TEST-S16-P02-REPLAY,EVD-S16-P02,ART-S16-P02-01;ART-S16-P02-02;ART-S16-P02-03,S16,P02
REQ-S16-P03,AC-S16-P03,T-S16-P03-01;T-S16-P03-02;T-S16-P03-03,TEST-S16-P03;TEST-S16-P03-BOUNDARY;TEST-S16-P03-REPLAY,EVD-S16-P03,ART-S16-P03-01;ART-S16-P03-02,S16,P03
REQ-S16-P04,AC-S16-P04,T-S16-P04-01;T-S16-P04-02;T-S16-P04-03,TEST-S16-P04;TEST-S16-P04-BOUNDARY;TEST-S16-P04-REPLAY,EVD-S16-P04,ART-S16-P04-01;ART-S16-P04-02,S16,P04
REQ-S17-P01,AC-S17-P01,T-S17-P01-01;T-S17-P01-02;T-S17-P01-03,TEST-S17-P01;TEST-S17-P01-BOUNDARY;TEST-S17-P01-REPLAY,EVD-S17-P01,ART-S17-P01-01;ART-S17-P01-02;ART-S17-P01-03,S17,P01
REQ-S17-P02,AC-S17-P02,T-S17-P02-01;T-S17-P02-02;T-S17-P02-03,TEST-S17-P02;TEST-S17-P02-BOUNDARY;TEST-S17-P02-REPLAY,EVD-S17-P02,ART-S17-P02-01;ART-S17-P02-02,S17,P02
REQ-S17-P03,AC-S17-P03,T-S17-P03-01;T-S17-P03-02;T-S17-P03-03,TEST-S17-P03;TEST-S17-P03-BOUNDARY;TEST-S17-P03-REPLAY,EVD-S17-P03,ART-S17-P03-01;ART-S17-P03-02,S17,P03
REQ-S17-P04,AC-S17-P04,T-S17-P04-01;T-S17-P04-02;T-S17-P04-03,TEST-S17-P04;TEST-S17-P04-BOUNDARY;TEST-S17-P04-REPLAY,EVD-S17-P04,ART-S17-P04-01;ART-S17-P04-02;ART-S17-P04-03,S17,P04
REQ-S18-P01,AC-S18-P01,T-S18-P01-01;T-S18-P01-02;T-S18-P01-03,TEST-S18-P01;TEST-S18-P01-BOUNDARY;TEST-S18-P01-REPLAY,EVD-S18-P01,ART-S18-P01-01;ART-S18-P01-02;ART-S18-P01-03,S18,P01
REQ-S18-P02,AC-S18-P02,T-S18-P02-01;T-S18-P02-02;T-S18-P02-03,TEST-S18-P02;TEST-S18-P02-BOUNDARY;TEST-S18-P02-REPLAY,EVD-S18-P02,ART-S18-P02-01;ART-S18-P02-02;ART-S18-P02-03,S18,P02
REQ-S18-P03,AC-S18-P03,T-S18-P03-01;T-S18-P03-02;T-S18-P03-03,TEST-S18-P03;TEST-S18-P03-BOUNDARY;TEST-S18-P03-REPLAY,EVD-S18-P03,ART-S18-P03-01;ART-S18-P03-02;ART-S18-P03-03,S18,P03
REQ-S18-P04,AC-S18-P04,T-S18-P04-01;T-S18-P04-02;T-S18-P04-03,TEST-S18-P04;TEST-S18-P04-BOUNDARY;TEST-S18-P04-REPLAY,EVD-S18-P04,ART-S18-P04-01;ART-S18-P04-02;ART-S18-P04-03,S18,P04
REQ-S19-P01,AC-S19-P01,T-S19-P01-01;T-S19-P01-02;T-S19-P01-03,TEST-S19-P01;TEST-S19-P01-BOUNDARY;TEST-S19-P01-REPLAY,EVD-S19-P01,ART-S19-P01-01;ART-S19-P01-02,S19,P01
REQ-S19-P02,AC-S19-P02,T-S19-P02-01;T-S19-P02-02;T-S19-P02-03,TEST-S19-P02;TEST-S19-P02-BOUNDARY;TEST-S19-P02-REPLAY,EVD-S19-P02,ART-S19-P02-01;ART-S19-P02-02,S19,P02
REQ-S19-P03,AC-S19-P03,T-S19-P03-01;T-S19-P03-02;T-S19-P03-03,TEST-S19-P03;TEST-S19-P03-BOUNDARY;TEST-S19-P03-REPLAY,EVD-S19-P03,ART-S19-P03-01;ART-S19-P03-02,S19,P03
REQ-S19-P04,AC-S19-P04,T-S19-P04-01;T-S19-P04-02;T-S19-P04-03,TEST-S19-P04;TEST-S19-P04-BOUNDARY;TEST-S19-P04-REPLAY,EVD-S19-P04,ART-S19-P04-01;ART-S19-P04-02;ART-S19-P04-03,S19,P04
