parameter_id,model_id,formula_id,symbol,name,category,data_type,unit,default_value,initial_or_prior_value,active_value,weight,weight_group,weight_group_target,weight_group_tolerance,min_value,max_value,formula_or_transform,source_or_rationale,calibration_method,sensitivity,code_ref,config_ref,test_ref,status,fact_level,unknown_task_ids,parameter_version,last_updated,source_selector,extracted_value,last_verified_commit,verified_at,evidence_hash,semantic_status,semantic_review_task_ids
PARAM-001,MOD-001,FORM-001,base_weight_0.92,Strategy base weight 0.92,strategy_weight,float,portfolio_weight,0.92,0.92,0.92,NOT_APPLICABLE,,,,0,1,See formula_registry.yaml,EXTRACTED from implementation default,UNKNOWN calibration/source evidence; see TASK-PFI-B-001,medium,PFI/大数据模拟器/qbvs/strategies.py:31,NOT_APPLICABLE,PFI/大数据模拟器/tests/test_core.py:61,active,EXTRACTED,TASK-PFI-B-001,param-profile-20260620,2026-06-20,python_ast_literal:PFI/大数据模拟器/qbvs/strategies.py:32:1,0.92,94478ef52caecb9d856bf4a0543719f8d50a9645,2026-06-21T12:19:34Z,sha256:1e80459087673a18e9c5583a6f1b6391958a288f428e9007290fe3d17d180c24,MACHINE_VERIFIED,
PARAM-012,MOD-001,FORM-001,sell_trigger_none,Sell trigger option none,rule_enum,string,enum,none,none,none,NOT_APPLICABLE,,,,NOT_APPLICABLE,NOT_APPLICABLE,See formula_registry.yaml,EXTRACTED from implementation default,UNKNOWN calibration/source evidence; see TASK-PFI-B-001,medium,PFI/大数据模拟器/qbvs/strategies.py:34,NOT_APPLICABLE,PFI/大数据模拟器/tests/test_core.py:61,active,EXTRACTED,TASK-PFI-B-001,param-profile-20260620,2026-06-20,python_ast_literal:PFI/大数据模拟器/qbvs/strategies.py:34:1,none,94478ef52caecb9d856bf4a0543719f8d50a9645,2026-06-21T12:19:34Z,sha256:5b89ad968932543993312da028a401f2ac58e1fdcd2d5b222e0d5003942642e3,MACHINE_VERIFIED,
PARAM-013,MOD-001,FORM-001,sell_trigger_rsi_high_trim,Sell trigger option rsi_high_trim,rule_enum,string,enum,rsi_high_trim,rsi_high_trim,rsi_high_trim,NOT_APPLICABLE,,,,NOT_APPLICABLE,NOT_APPLICABLE,See formula_registry.yaml,EXTRACTED from implementation default,UNKNOWN calibration/source evidence; see TASK-PFI-B-001,medium,PFI/大数据模拟器/qbvs/strategies.py:34,NOT_APPLICABLE,PFI/大数据模拟器/tests/test_core.py:61,active,EXTRACTED,TASK-PFI-B-001,param-profile-20260620,2026-06-20,python_ast_literal:PFI/大数据模拟器/qbvs/strategies.py:34:2,rsi_high_trim,94478ef52caecb9d856bf4a0543719f8d50a9645,2026-06-21T12:19:34Z,sha256:9bd6a6e3c3e024ea2cb41f97575e06fde78a3b03ee35299afb460258255eff85,MACHINE_VERIFIED,
PARAM-014,MOD-001,FORM-001,sell_trigger_boll_upper_trim,Sell trigger option boll_upper_trim,rule_enum,string,enum,boll_upper_trim,boll_upper_trim,boll_upper_trim,NOT_APPLICABLE,,,,NOT_APPLICABLE,NOT_APPLICABLE,See formula_registry.yaml,EXTRACTED from implementation default,UNKNOWN calibration/source evidence; see TASK-PFI-B-001,medium,PFI/大数据模拟器/qbvs/strategies.py:34,NOT_APPLICABLE,PFI/大数据模拟器/tests/test_core.py:61,active,EXTRACTED,TASK-PFI-B-001,param-profile-20260620,2026-06-20,python_ast_literal:PFI/大数据模拟器/qbvs/strategies.py:34:3,boll_upper_trim,94478ef52caecb9d856bf4a0543719f8d50a9645,2026-06-21T12:19:34Z,sha256:66cd1ca880049fa12952292e53ca243ee723aff41bb62e2d2d0c871c3e9f7598,MACHINE_VERIFIED,
PARAM-015,MOD-001,FORM-001,sell_trigger_weak_trend_trim,Sell trigger option weak_trend_trim,rule_enum,string,enum,weak_trend_trim,weak_trend_trim,weak_trend_trim,NOT_APPLICABLE,,,,NOT_APPLICABLE,NOT_APPLICABLE,See formula_registry.yaml,EXTRACTED from implementation default,UNKNOWN calibration/source evidence; see TASK-PFI-B-001,medium,PFI/大数据模拟器/qbvs/strategies.py:34,NOT_APPLICABLE,PFI/大数据模拟器/tests/test_core.py:61,active,EXTRACTED,TASK-PFI-B-001,param-profile-20260620,2026-06-20,python_ast_literal:PFI/大数据模拟器/qbvs/strategies.py:34:4,weak_trend_trim,94478ef52caecb9d856bf4a0543719f8d50a9645,2026-06-21T12:19:34Z,sha256:9e2b48f2a4f38a5396acb6126c3d424a1dabff8107d4aabcaf21290b42739f32,MACHINE_VERIFIED,
PARAM-016,MOD-001,FORM-001,trend_rule_none,Trend rule option none,rule_enum,string,enum,none,none,none,NOT_APPLICABLE,,,,NOT_APPLICABLE,NOT_APPLICABLE,See formula_registry.yaml,EXTRACTED from implementation default,UNKNOWN calibration/source evidence; see TASK-PFI-B-001,medium,PFI/大数据模拟器/qbvs/strategies.py:35,NOT_APPLICABLE,PFI/大数据模拟器/tests/test_core.py:61,active,EXTRACTED,TASK-PFI-B-001,param-profile-20260620,2026-06-20,python_ast_literal:PFI/大数据模拟器/qbvs/strategies.py:35:1,none,94478ef52caecb9d856bf4a0543719f8d50a9645,2026-06-21T12:19:34Z,sha256:b7e1864840f4d7fb5cb45144cfb162fe633df1ea012585758ae821c10ad10990,MACHINE_VERIFIED,
PARAM-017,MOD-001,FORM-001,trend_rule_strong_trend_full,Trend rule option strong_trend_full,rule_enum,string,enum,strong_trend_full,strong_trend_full,strong_trend_full,NOT_APPLICABLE,,,,NOT_APPLICABLE,NOT_APPLICABLE,See formula_registry.yaml,EXTRACTED from implementation default,UNKNOWN calibration/source evidence; see TASK-PFI-B-001,medium,PFI/大数据模拟器/qbvs/strategies.py:35,NOT_APPLICABLE,PFI/大数据模拟器/tests/test_core.py:61,active,EXTRACTED,TASK-PFI-B-001,param-profile-20260620,2026-06-20,python_ast_literal:PFI/大数据模拟器/qbvs/strategies.py:35:2,strong_trend_full,94478ef52caecb9d856bf4a0543719f8d50a9645,2026-06-21T12:19:34Z,sha256:2356238ab8e04f304da252eb5243fee53bc24699d995da181574c758c8763336,MACHINE_VERIFIED,
PARAM-018,MOD-001,FORM-001,trend_rule_ma_trend_full,Trend rule option ma_trend_full,rule_enum,string,enum,ma_trend_full,ma_trend_full,ma_trend_full,NOT_APPLICABLE,,,,NOT_APPLICABLE,NOT_APPLICABLE,See formula_registry.yaml,EXTRACTED from implementation default,UNKNOWN calibration/source evidence; see TASK-PFI-B-001,medium,PFI/大数据模拟器/qbvs/strategies.py:35,NOT_APPLICABLE,PFI/大数据模拟器/tests/test_core.py:61,active,EXTRACTED,TASK-PFI-B-001,param-profile-20260620,2026-06-20,python_ast_literal:PFI/大数据模拟器/qbvs/strategies.py:35:3,ma_trend_full,94478ef52caecb9d856bf4a0543719f8d50a9645,2026-06-21T12:19:34Z,sha256:c8c542150eb5e307b6deffdb31aad97faea16aa32dbd96f85f3c046096887fa1,MACHINE_VERIFIED,
PARAM-019,MOD-001,FORM-001,trend_rule_macd_trend_full,Trend rule option macd_trend_full,rule_enum,string,enum,macd_trend_full,macd_trend_full,macd_trend_full,NOT_APPLICABLE,,,,NOT_APPLICABLE,NOT_APPLICABLE,See formula_registry.yaml,EXTRACTED from implementation default,UNKNOWN calibration/source evidence; see TASK-PFI-B-001,medium,PFI/大数据模拟器/qbvs/strategies.py:35,NOT_APPLICABLE,PFI/大数据模拟器/tests/test_core.py:61,active,EXTRACTED,TASK-PFI-B-001,param-profile-20260620,2026-06-20,python_ast_literal:PFI/大数据模拟器/qbvs/strategies.py:35:4,macd_trend_full,94478ef52caecb9d856bf4a0543719f8d50a9645,2026-06-21T12:19:34Z,sha256:45bfa4e4be1613a0d228ed8b49c6dec7b7e2867257a1bf6f4bf90f899e99ccd4,MACHINE_VERIFIED,
PARAM-020,MOD-001,FORM-001,risk_rule_none,Risk rule option none,rule_enum,string,enum,none,none,none,NOT_APPLICABLE,,,,NOT_APPLICABLE,NOT_APPLICABLE,See formula_registry.yaml,EXTRACTED from implementation default,UNKNOWN calibration/source evidence; see TASK-PFI-B-001,medium,PFI/大数据模拟器/qbvs/strategies.py:36,NOT_APPLICABLE,PFI/大数据模拟器/tests/test_core.py:61,active,EXTRACTED,TASK-PFI-B-001,param-profile-20260620,2026-06-20,python_ast_literal:PFI/大数据模拟器/qbvs/strategies.py:36:1,none,94478ef52caecb9d856bf4a0543719f8d50a9645,2026-06-21T12:19:34Z,sha256:5d8a3c2869760e3faf8851e6addf7caa18db0b1c92f09a2e187e6961f50bd9f8,MACHINE_VERIFIED,
PARAM-021,MOD-001,FORM-001,risk_rule_atr_96,Risk rule option atr_96,rule_enum,string,enum,atr_96,atr_96,atr_96,NOT_APPLICABLE,,,,NOT_APPLICABLE,NOT_APPLICABLE,See formula_registry.yaml,EXTRACTED from implementation default,UNKNOWN calibration/source evidence; see TASK-PFI-B-001,medium,PFI/大数据模拟器/qbvs/strategies.py:36,NOT_APPLICABLE,PFI/大数据模拟器/tests/test_core.py:61,active,EXTRACTED,TASK-PFI-B-001,param-profile-20260620,2026-06-20,python_ast_literal:PFI/大数据模拟器/qbvs/strategies.py:36:2,atr_96,94478ef52caecb9d856bf4a0543719f8d50a9645,2026-06-21T12:19:34Z,sha256:3ad3286ea5eef29f7d096a2bd1d24fe4235ff7578dd3e18ae00637ad5524f865,MACHINE_VERIFIED,
PARAM-022,MOD-001,FORM-001,risk_rule_ma60_break_90,Risk rule option ma60_break_90,rule_enum,string,enum,ma60_break_90,ma60_break_90,ma60_break_90,NOT_APPLICABLE,,,,NOT_APPLICABLE,NOT_APPLICABLE,See formula_registry.yaml,EXTRACTED from implementation default,UNKNOWN calibration/source evidence; see TASK-PFI-B-001,medium,PFI/大数据模拟器/qbvs/strategies.py:36,NOT_APPLICABLE,PFI/大数据模拟器/tests/test_core.py:61,active,EXTRACTED,TASK-PFI-B-001,param-profile-20260620,2026-06-20,python_ast_literal:PFI/大数据模拟器/qbvs/strategies.py:36:3,ma60_break_90,94478ef52caecb9d856bf4a0543719f8d50a9645,2026-06-21T12:19:34Z,sha256:ba317fd4033f67c473dcb54a31eb575f94c38fa686f04b6186aa6b4445c13288,MACHINE_VERIFIED,
PARAM-023,MOD-001,FORM-001,risk_rule_drawdown_90,Risk rule option drawdown_90,rule_enum,string,enum,drawdown_90,drawdown_90,drawdown_90,NOT_APPLICABLE,,,,NOT_APPLICABLE,NOT_APPLICABLE,See formula_registry.yaml,EXTRACTED from implementation default,UNKNOWN calibration/source evidence; see TASK-PFI-B-001,medium,PFI/大数据模拟器/qbvs/strategies.py:36,NOT_APPLICABLE,PFI/大数据模拟器/tests/test_core.py:61,active,EXTRACTED,TASK-PFI-B-001,param-profile-20260620,2026-06-20,python_ast_literal:PFI/大数据模拟器/qbvs/strategies.py:36:4,drawdown_90,94478ef52caecb9d856bf4a0543719f8d50a9645,2026-06-21T12:19:34Z,sha256:0102890378a399a01352ca573f9ac8668112cb049ea241d53d23917e7714041f,MACHINE_VERIFIED,
PARAM-024,MOD-001,FORM-001,boll_std,Bollinger standard deviation multiplier,strategy_rule,float,ratio_or_days,2.2,2.2,2.2,NOT_APPLICABLE,,,,0,NOT_APPLICABLE,See formula_registry.yaml,EXTRACTED from implementation default,UNKNOWN calibration/source evidence; see TASK-PFI-B-001,medium,PFI/大数据模拟器/qbvs/strategies.py:20,NOT_APPLICABLE,PFI/大数据模拟器/tests/test_core.py:61,active,EXTRACTED,TASK-PFI-B-001,param-profile-20260620,2026-06-20,python_ast_attr:PFI/大数据模拟器/qbvs/strategies.py::BehaviorStrategySpec.boll_std,2.2,94478ef52caecb9d856bf4a0543719f8d50a9645,2026-06-21T12:19:34Z,sha256:ee7b8db7b366bc035d3f7957c0e58cd23e3ae051f8cc212bef9950208bd48463,MACHINE_VERIFIED,
PARAM-025,MOD-001,FORM-001,rsi_buy,RSI buy threshold,strategy_rule,integer,ratio_or_days,35,35,35,NOT_APPLICABLE,,,,0,100,See formula_registry.yaml,EXTRACTED from implementation default,UNKNOWN calibration/source evidence; see TASK-PFI-B-001,medium,PFI/大数据模拟器/qbvs/strategies.py:21,NOT_APPLICABLE,PFI/大数据模拟器/tests/test_core.py:61,active,EXTRACTED,TASK-PFI-B-001,param-profile-20260620,2026-06-20,python_ast_attr:PFI/大数据模拟器/qbvs/strategies.py::BehaviorStrategySpec.rsi_buy,35,94478ef52caecb9d856bf4a0543719f8d50a9645,2026-06-21T12:19:34Z,sha256:57f73b5fd0ba3172706951de4e8125a0349c53d05583451eed61f2c0b7a043c3,MACHINE_VERIFIED,
PARAM-026,MOD-001,FORM-001,rsi_sell,RSI sell threshold,strategy_rule,integer,ratio_or_days,75,75,75,NOT_APPLICABLE,,,,0,100,See formula_registry.yaml,EXTRACTED from implementation default,UNKNOWN calibration/source evidence; see TASK-PFI-B-001,medium,PFI/大数据模拟器/qbvs/strategies.py:22,NOT_APPLICABLE,PFI/大数据模拟器/tests/test_core.py:61,active,EXTRACTED,TASK-PFI-B-001,param-profile-20260620,2026-06-20,python_ast_attr:PFI/大数据模拟器/qbvs/strategies.py::BehaviorStrategySpec.rsi_sell,75,94478ef52caecb9d856bf4a0543719f8d50a9645,2026-06-21T12:19:34Z,sha256:47232aabfb6de1c3f05eff7ddc2c1ab12fd4e26f0fd130feb37b6312b3129a4a,MACHINE_VERIFIED,
PARAM-027,MOD-001,FORM-001,fast_ma,Fast moving average window,strategy_rule,integer,ratio_or_days,20,20,20,NOT_APPLICABLE,,,,1,NOT_APPLICABLE,See formula_registry.yaml,EXTRACTED from implementation default,UNKNOWN calibration/source evidence; see TASK-PFI-B-001,medium,PFI/大数据模拟器/qbvs/strategies.py:23,NOT_APPLICABLE,PFI/大数据模拟器/tests/test_core.py:61,active,EXTRACTED,TASK-PFI-B-001,param-profile-20260620,2026-06-20,python_ast_attr:PFI/大数据模拟器/qbvs/strategies.py::BehaviorStrategySpec.fast_ma,20,94478ef52caecb9d856bf4a0543719f8d50a9645,2026-06-21T12:19:34Z,sha256:5901313ae543770affdb90aacab79064165d0ab64acffe42675ee1571952218d,MACHINE_VERIFIED,
PARAM-028,MOD-001,FORM-001,slow_ma,Slow moving average window,strategy_rule,integer,ratio_or_days,60,60,60,NOT_APPLICABLE,,,,1,NOT_APPLICABLE,See formula_registry.yaml,EXTRACTED from implementation default,UNKNOWN calibration/source evidence; see TASK-PFI-B-001,medium,PFI/大数据模拟器/qbvs/strategies.py:24,NOT_APPLICABLE,PFI/大数据模拟器/tests/test_core.py:61,active,EXTRACTED,TASK-PFI-B-001,param-profile-20260620,2026-06-20,python_ast_attr:PFI/大数据模拟器/qbvs/strategies.py::BehaviorStrategySpec.slow_ma,60,94478ef52caecb9d856bf4a0543719f8d50a9645,2026-06-21T12:19:34Z,sha256:2a4aa84817da2f6a908d49fabfbf194a4a40772fa8b59e0b37fcc4184e5fd630,MACHINE_VERIFIED,
PARAM-029,MOD-001,FORM-001,atr_window,ATR window,strategy_rule,integer,ratio_or_days,14,14,14,NOT_APPLICABLE,,,,1,NOT_APPLICABLE,See formula_registry.yaml,EXTRACTED from implementation default,UNKNOWN calibration/source evidence; see TASK-PFI-B-001,medium,PFI/大数据模拟器/qbvs/strategies.py:25,NOT_APPLICABLE,PFI/大数据模拟器/tests/test_core.py:61,active,EXTRACTED,TASK-PFI-B-001,param-profile-20260620,2026-06-20,python_ast_attr:PFI/大数据模拟器/qbvs/strategies.py::BehaviorStrategySpec.atr_window,14,94478ef52caecb9d856bf4a0543719f8d50a9645,2026-06-21T12:19:34Z,sha256:28c31f59b4ad4753a621b53401d2ee8569b4a04b14e9302ea8fab034a7adbaa8,MACHINE_VERIFIED,
PARAM-030,MOD-001,FORM-001,sell_trim_multiplier,Sell trim multiplier,strategy_rule,float,ratio_or_days,0.85,0.85,0.85,NOT_APPLICABLE,,,,0,1,See formula_registry.yaml,EXTRACTED from implementation default,UNKNOWN calibration/source evidence; see TASK-PFI-B-001,medium,PFI/大数据模拟器/qbvs/strategies.py:162,NOT_APPLICABLE,PFI/大数据模拟器/tests/test_core.py:61,active,EXTRACTED,TASK-PFI-B-001,param-profile-20260620,2026-06-20,python_ast_literal:PFI/大数据模拟器/qbvs/strategies.py:164:4,0.85,94478ef52caecb9d856bf4a0543719f8d50a9645,2026-06-21T12:19:34Z,sha256:9106b185f7b4170cd95b5fe5bee23b5b793e75246f459586b29aeb1c060a3c96,MACHINE_VERIFIED,
PARAM-031,MOD-001,FORM-001,atr_cap,ATR risk cap,strategy_rule,float,ratio_or_days,0.96,0.96,0.96,NOT_APPLICABLE,,,,0,1,See formula_registry.yaml,EXTRACTED from implementation default,UNKNOWN calibration/source evidence; see TASK-PFI-B-001,medium,PFI/大数据模拟器/qbvs/strategies.py:176,NOT_APPLICABLE,PFI/大数据模拟器/tests/test_core.py:61,active,EXTRACTED,TASK-PFI-B-001,param-profile-20260620,2026-06-20,python_ast_literal:PFI/大数据模拟器/qbvs/strategies.py:179:2,0.96,94478ef52caecb9d856bf4a0543719f8d50a9645,2026-06-21T12:19:34Z,sha256:c567434c72ebafc5311c542d030a75a367dcf3a961f29e1aa8803dc93ce0e26f,MACHINE_VERIFIED,
PARAM-032,MOD-001,FORM-001,ma60_break_cap,MA60 break cap,strategy_rule,float,ratio_or_days,0.9,0.9,0.9,NOT_APPLICABLE,,,,0,1,See formula_registry.yaml,EXTRACTED from implementation default,UNKNOWN calibration/source evidence; see TASK-PFI-B-001,medium,PFI/大数据模拟器/qbvs/strategies.py:179,NOT_APPLICABLE,PFI/大数据模拟器/tests/test_core.py:61,active,EXTRACTED,TASK-PFI-B-001,param-profile-20260620,2026-06-20,python_ast_literal:PFI/大数据模拟器/qbvs/strategies.py:182:2,0.9,94478ef52caecb9d856bf4a0543719f8d50a9645,2026-06-21T12:19:34Z,sha256:02452b432fe8406fbb003dad0e1e757613a00cc446c4c6c1fb0ca1bfd4dcb1de,MACHINE_VERIFIED,
PARAM-033,MOD-001,FORM-001,drawdown_cap,Drawdown risk cap,strategy_rule,float,ratio_or_days,0.9,0.9,0.9,NOT_APPLICABLE,,,,0,1,See formula_registry.yaml,EXTRACTED from implementation default,UNKNOWN calibration/source evidence; see TASK-PFI-B-001,medium,PFI/大数据模拟器/qbvs/strategies.py:183,NOT_APPLICABLE,PFI/大数据模拟器/tests/test_core.py:61,active,EXTRACTED,TASK-PFI-B-001,param-profile-20260620,2026-06-20,python_ast_literal:PFI/大数据模拟器/qbvs/strategies.py:186:2,0.9,94478ef52caecb9d856bf4a0543719f8d50a9645,2026-06-21T12:19:34Z,sha256:ffbfa42d5e4b5c8a06d2d96febf4491fe5ac1f99516dae01a827c7b5879d7fc2,MACHINE_VERIFIED,
