symbol,market,source_symbol,original_symbol,asset_class,tradability,currency,timezone,source,notes
EFA,US_ETF,US.EFA,EFA,ETF,LIKELY_TRADABLE_NEEDS_ACCOUNT_PERMISSION_CHECK,USD,America/New_York,yahoo_public_chart,Public historical data fallback for validation only; not proof of account tradability.
EEM,US_ETF,US.EEM,EEM,ETF,LIKELY_TRADABLE_NEEDS_ACCOUNT_PERMISSION_CHECK,USD,America/New_York,yahoo_public_chart,Public historical data fallback for validation only; not proof of account tradability.
VEA,US_ETF,US.VEA,VEA,ETF,LIKELY_TRADABLE_NEEDS_ACCOUNT_PERMISSION_CHECK,USD,America/New_York,yahoo_public_chart,Public historical data fallback for validation only; not proof of account tradability.
VWO,US_ETF,US.VWO,VWO,ETF,LIKELY_TRADABLE_NEEDS_ACCOUNT_PERMISSION_CHECK,USD,America/New_York,yahoo_public_chart,Public historical data fallback for validation only; not proof of account tradability.
ACWI,US_ETF,US.ACWI,ACWI,ETF,LIKELY_TRADABLE_NEEDS_ACCOUNT_PERMISSION_CHECK,USD,America/New_York,yahoo_public_chart,Public historical data fallback for validation only; not proof of account tradability.
VT,US_ETF,US.VT,VT,ETF,LIKELY_TRADABLE_NEEDS_ACCOUNT_PERMISSION_CHECK,USD,America/New_York,yahoo_public_chart,Public historical data fallback for validation only; not proof of account tradability.
IEFA,US_ETF,US.IEFA,IEFA,ETF,LIKELY_TRADABLE_NEEDS_ACCOUNT_PERMISSION_CHECK,USD,America/New_York,yahoo_public_chart,Public historical data fallback for validation only; not proof of account tradability.
IEMG,US_ETF,US.IEMG,IEMG,ETF,LIKELY_TRADABLE_NEEDS_ACCOUNT_PERMISSION_CHECK,USD,America/New_York,yahoo_public_chart,Public historical data fallback for validation only; not proof of account tradability.
HYG,US_ETF,US.HYG,HYG,BOND,LIKELY_TRADABLE_NEEDS_ACCOUNT_PERMISSION_CHECK,USD,America/New_York,yahoo_public_chart,Public historical data fallback for validation only; not proof of account tradability.
LQD,US_ETF,US.LQD,LQD,BOND,LIKELY_TRADABLE_NEEDS_ACCOUNT_PERMISSION_CHECK,USD,America/New_York,yahoo_public_chart,Public historical data fallback for validation only; not proof of account tradability.
TLT,US_ETF,US.TLT,TLT,BOND,LIKELY_TRADABLE_NEEDS_ACCOUNT_PERMISSION_CHECK,USD,America/New_York,yahoo_public_chart,Public historical data fallback for validation only; not proof of account tradability.
IEF,US_ETF,US.IEF,IEF,BOND,LIKELY_TRADABLE_NEEDS_ACCOUNT_PERMISSION_CHECK,USD,America/New_York,yahoo_public_chart,Public historical data fallback for validation only; not proof of account tradability.
SHY,US_ETF,US.SHY,SHY,BOND,LIKELY_TRADABLE_NEEDS_ACCOUNT_PERMISSION_CHECK,USD,America/New_York,yahoo_public_chart,Public historical data fallback for validation only; not proof of account tradability.
BIL,US_ETF,US.BIL,BIL,BOND,LIKELY_TRADABLE_NEEDS_ACCOUNT_PERMISSION_CHECK,USD,America/New_York,yahoo_public_chart,Public historical data fallback for validation only; not proof of account tradability.
TIP,US_ETF,US.TIP,TIP,BOND,LIKELY_TRADABLE_NEEDS_ACCOUNT_PERMISSION_CHECK,USD,America/New_York,yahoo_public_chart,Public historical data fallback for validation only; not proof of account tradability.
MUB,US_ETF,US.MUB,MUB,BOND,LIKELY_TRADABLE_NEEDS_ACCOUNT_PERMISSION_CHECK,USD,America/New_York,yahoo_public_chart,Public historical data fallback for validation only; not proof of account tradability.
BND,US_ETF,US.BND,BND,BOND,LIKELY_TRADABLE_NEEDS_ACCOUNT_PERMISSION_CHECK,USD,America/New_York,yahoo_public_chart,Public historical data fallback for validation only; not proof of account tradability.
AGG,US_ETF,US.AGG,AGG,BOND,LIKELY_TRADABLE_NEEDS_ACCOUNT_PERMISSION_CHECK,USD,America/New_York,yahoo_public_chart,Public historical data fallback for validation only; not proof of account tradability.
VCIT,US_ETF,US.VCIT,VCIT,BOND,LIKELY_TRADABLE_NEEDS_ACCOUNT_PERMISSION_CHECK,USD,America/New_York,yahoo_public_chart,Public historical data fallback for validation only; not proof of account tradability.
VCSH,US_ETF,US.VCSH,VCSH,BOND,LIKELY_TRADABLE_NEEDS_ACCOUNT_PERMISSION_CHECK,USD,America/New_York,yahoo_public_chart,Public historical data fallback for validation only; not proof of account tradability.
VNQ,US_ETF,US.VNQ,VNQ,ETF,LIKELY_TRADABLE_NEEDS_ACCOUNT_PERMISSION_CHECK,USD,America/New_York,yahoo_public_chart,Public historical data fallback for validation only; not proof of account tradability.
XLK,US_ETF,US.XLK,XLK,ETF,LIKELY_TRADABLE_NEEDS_ACCOUNT_PERMISSION_CHECK,USD,America/New_York,yahoo_public_chart,Public historical data fallback for validation only; not proof of account tradability.
XLF,US_ETF,US.XLF,XLF,ETF,LIKELY_TRADABLE_NEEDS_ACCOUNT_PERMISSION_CHECK,USD,America/New_York,yahoo_public_chart,Public historical data fallback for validation only; not proof of account tradability.
XLE,US_ETF,US.XLE,XLE,ETF,LIKELY_TRADABLE_NEEDS_ACCOUNT_PERMISSION_CHECK,USD,America/New_York,yahoo_public_chart,Public historical data fallback for validation only; not proof of account tradability.
XLV,US_ETF,US.XLV,XLV,ETF,LIKELY_TRADABLE_NEEDS_ACCOUNT_PERMISSION_CHECK,USD,America/New_York,yahoo_public_chart,Public historical data fallback for validation only; not proof of account tradability.
XLI,US_ETF,US.XLI,XLI,ETF,LIKELY_TRADABLE_NEEDS_ACCOUNT_PERMISSION_CHECK,USD,America/New_York,yahoo_public_chart,Public historical data fallback for validation only; not proof of account tradability.
XLY,US_ETF,US.XLY,XLY,ETF,LIKELY_TRADABLE_NEEDS_ACCOUNT_PERMISSION_CHECK,USD,America/New_York,yahoo_public_chart,Public historical data fallback for validation only; not proof of account tradability.
XLP,US_ETF,US.XLP,XLP,ETF,LIKELY_TRADABLE_NEEDS_ACCOUNT_PERMISSION_CHECK,USD,America/New_York,yahoo_public_chart,Public historical data fallback for validation only; not proof of account tradability.
XLU,US_ETF,US.XLU,XLU,ETF,LIKELY_TRADABLE_NEEDS_ACCOUNT_PERMISSION_CHECK,USD,America/New_York,yahoo_public_chart,Public historical data fallback for validation only; not proof of account tradability.
XLB,US_ETF,US.XLB,XLB,ETF,LIKELY_TRADABLE_NEEDS_ACCOUNT_PERMISSION_CHECK,USD,America/New_York,yahoo_public_chart,Public historical data fallback for validation only; not proof of account tradability.
XLRE,US_ETF,US.XLRE,XLRE,ETF,LIKELY_TRADABLE_NEEDS_ACCOUNT_PERMISSION_CHECK,USD,America/New_York,yahoo_public_chart,Public historical data fallback for validation only; not proof of account tradability.
XLC,US_ETF,US.XLC,XLC,ETF,LIKELY_TRADABLE_NEEDS_ACCOUNT_PERMISSION_CHECK,USD,America/New_York,yahoo_public_chart,Public historical data fallback for validation only; not proof of account tradability.
SMH,US_ETF,US.SMH,SMH,ETF,LIKELY_TRADABLE_NEEDS_ACCOUNT_PERMISSION_CHECK,USD,America/New_York,yahoo_public_chart,Public historical data fallback for validation only; not proof of account tradability.
SOXX,US_ETF,US.SOXX,SOXX,ETF,LIKELY_TRADABLE_NEEDS_ACCOUNT_PERMISSION_CHECK,USD,America/New_York,yahoo_public_chart,Public historical data fallback for validation only; not proof of account tradability.
XBI,US_ETF,US.XBI,XBI,ETF,LIKELY_TRADABLE_NEEDS_ACCOUNT_PERMISSION_CHECK,USD,America/New_York,yahoo_public_chart,Public historical data fallback for validation only; not proof of account tradability.
IBB,US_ETF,US.IBB,IBB,ETF,LIKELY_TRADABLE_NEEDS_ACCOUNT_PERMISSION_CHECK,USD,America/New_York,yahoo_public_chart,Public historical data fallback for validation only; not proof of account tradability.
ARKK,US_ETF,US.ARKK,ARKK,ETF,LIKELY_TRADABLE_NEEDS_ACCOUNT_PERMISSION_CHECK,USD,America/New_York,yahoo_public_chart,Public historical data fallback for validation only; not proof of account tradability.
BOTZ,US_ETF,US.BOTZ,BOTZ,ETF,LIKELY_TRADABLE_NEEDS_ACCOUNT_PERMISSION_CHECK,USD,America/New_York,yahoo_public_chart,Public historical data fallback for validation only; not proof of account tradability.
ROBO,US_ETF,US.ROBO,ROBO,ETF,LIKELY_TRADABLE_NEEDS_ACCOUNT_PERMISSION_CHECK,USD,America/New_York,yahoo_public_chart,Public historical data fallback for validation only; not proof of account tradability.
HACK,US_ETF,US.HACK,HACK,ETF,LIKELY_TRADABLE_NEEDS_ACCOUNT_PERMISSION_CHECK,USD,America/New_York,yahoo_public_chart,Public historical data fallback for validation only; not proof of account tradability.
ICLN,US_ETF,US.ICLN,ICLN,ETF,LIKELY_TRADABLE_NEEDS_ACCOUNT_PERMISSION_CHECK,USD,America/New_York,yahoo_public_chart,Public historical data fallback for validation only; not proof of account tradability.
TAN,US_ETF,US.TAN,TAN,ETF,LIKELY_TRADABLE_NEEDS_ACCOUNT_PERMISSION_CHECK,USD,America/New_York,yahoo_public_chart,Public historical data fallback for validation only; not proof of account tradability.
PBW,US_ETF,US.PBW,PBW,ETF,LIKELY_TRADABLE_NEEDS_ACCOUNT_PERMISSION_CHECK,USD,America/New_York,yahoo_public_chart,Public historical data fallback for validation only; not proof of account tradability.
XME,US_ETF,US.XME,XME,ETF,LIKELY_TRADABLE_NEEDS_ACCOUNT_PERMISSION_CHECK,USD,America/New_York,yahoo_public_chart,Public historical data fallback for validation only; not proof of account tradability.
GDX,US_ETF,US.GDX,GDX,COMMODITY,LIKELY_TRADABLE_NEEDS_ACCOUNT_PERMISSION_CHECK,USD,America/New_York,yahoo_public_chart,Public historical data fallback for validation only; not proof of account tradability.
GDXJ,US_ETF,US.GDXJ,GDXJ,COMMODITY,LIKELY_TRADABLE_NEEDS_ACCOUNT_PERMISSION_CHECK,USD,America/New_York,yahoo_public_chart,Public historical data fallback for validation only; not proof of account tradability.
SLV,US_ETF,US.SLV,SLV,COMMODITY,LIKELY_TRADABLE_NEEDS_ACCOUNT_PERMISSION_CHECK,USD,America/New_York,yahoo_public_chart,Public historical data fallback for validation only; not proof of account tradability.
GLD,US_ETF,US.GLD,GLD,COMMODITY,LIKELY_TRADABLE_NEEDS_ACCOUNT_PERMISSION_CHECK,USD,America/New_York,yahoo_public_chart,Public historical data fallback for validation only; not proof of account tradability.
IAU,US_ETF,US.IAU,IAU,COMMODITY,LIKELY_TRADABLE_NEEDS_ACCOUNT_PERMISSION_CHECK,USD,America/New_York,yahoo_public_chart,Public historical data fallback for validation only; not proof of account tradability.
USO,US_ETF,US.USO,USO,COMMODITY,LIKELY_TRADABLE_NEEDS_ACCOUNT_PERMISSION_CHECK,USD,America/New_York,yahoo_public_chart,Public historical data fallback for validation only; not proof of account tradability.
UNG,US_ETF,US.UNG,UNG,COMMODITY,LIKELY_TRADABLE_NEEDS_ACCOUNT_PERMISSION_CHECK,USD,America/New_York,yahoo_public_chart,Public historical data fallback for validation only; not proof of account tradability.
DBA,US_ETF,US.DBA,DBA,COMMODITY,LIKELY_TRADABLE_NEEDS_ACCOUNT_PERMISSION_CHECK,USD,America/New_York,yahoo_public_chart,Public historical data fallback for validation only; not proof of account tradability.
DBC,US_ETF,US.DBC,DBC,COMMODITY,LIKELY_TRADABLE_NEEDS_ACCOUNT_PERMISSION_CHECK,USD,America/New_York,yahoo_public_chart,Public historical data fallback for validation only; not proof of account tradability.
PDBC,US_ETF,US.PDBC,PDBC,COMMODITY,LIKELY_TRADABLE_NEEDS_ACCOUNT_PERMISSION_CHECK,USD,America/New_York,yahoo_public_chart,Public historical data fallback for validation only; not proof of account tradability.
UUP,US_ETF,US.UUP,UUP,FX,LIKELY_TRADABLE_NEEDS_ACCOUNT_PERMISSION_CHECK,USD,America/New_York,yahoo_public_chart,Public historical data fallback for validation only; not proof of account tradability.
FXE,US_ETF,US.FXE,FXE,FX,LIKELY_TRADABLE_NEEDS_ACCOUNT_PERMISSION_CHECK,USD,America/New_York,yahoo_public_chart,Public historical data fallback for validation only; not proof of account tradability.
FXY,US_ETF,US.FXY,FXY,FX,LIKELY_TRADABLE_NEEDS_ACCOUNT_PERMISSION_CHECK,USD,America/New_York,yahoo_public_chart,Public historical data fallback for validation only; not proof of account tradability.
FXI,US_ETF,US.FXI,FXI,ETF,LIKELY_TRADABLE_NEEDS_ACCOUNT_PERMISSION_CHECK,USD,America/New_York,yahoo_public_chart,Public historical data fallback for validation only; not proof of account tradability.
KWEB,US_ETF,US.KWEB,KWEB,ETF,LIKELY_TRADABLE_NEEDS_ACCOUNT_PERMISSION_CHECK,USD,America/New_York,yahoo_public_chart,Public historical data fallback for validation only; not proof of account tradability.
MCHI,US_ETF,US.MCHI,MCHI,ETF,LIKELY_TRADABLE_NEEDS_ACCOUNT_PERMISSION_CHECK,USD,America/New_York,yahoo_public_chart,Public historical data fallback for validation only; not proof of account tradability.
ASHR,US_ETF,US.ASHR,ASHR,ETF,LIKELY_TRADABLE_NEEDS_ACCOUNT_PERMISSION_CHECK,USD,America/New_York,yahoo_public_chart,Public historical data fallback for validation only; not proof of account tradability.
CQQQ,US_ETF,US.CQQQ,CQQQ,ETF,LIKELY_TRADABLE_NEEDS_ACCOUNT_PERMISSION_CHECK,USD,America/New_York,yahoo_public_chart,Public historical data fallback for validation only; not proof of account tradability.
AAPL,US_STOCK,US.AAPL,AAPL,STOCK,LIKELY_TRADABLE_NEEDS_ACCOUNT_PERMISSION_CHECK,USD,America/New_York,yahoo_public_chart,Public historical data fallback for validation only; not proof of account tradability.
MSFT,US_STOCK,US.MSFT,MSFT,STOCK,LIKELY_TRADABLE_NEEDS_ACCOUNT_PERMISSION_CHECK,USD,America/New_York,yahoo_public_chart,Public historical data fallback for validation only; not proof of account tradability.
NVDA,US_STOCK,US.NVDA,NVDA,STOCK,LIKELY_TRADABLE_NEEDS_ACCOUNT_PERMISSION_CHECK,USD,America/New_York,yahoo_public_chart,Public historical data fallback for validation only; not proof of account tradability.
AMZN,US_STOCK,US.AMZN,AMZN,STOCK,LIKELY_TRADABLE_NEEDS_ACCOUNT_PERMISSION_CHECK,USD,America/New_York,yahoo_public_chart,Public historical data fallback for validation only; not proof of account tradability.
META,US_STOCK,US.META,META,STOCK,LIKELY_TRADABLE_NEEDS_ACCOUNT_PERMISSION_CHECK,USD,America/New_York,yahoo_public_chart,Public historical data fallback for validation only; not proof of account tradability.
GOOGL,US_STOCK,US.GOOGL,GOOGL,STOCK,LIKELY_TRADABLE_NEEDS_ACCOUNT_PERMISSION_CHECK,USD,America/New_York,yahoo_public_chart,Public historical data fallback for validation only; not proof of account tradability.
GOOG,US_STOCK,US.GOOG,GOOG,STOCK,LIKELY_TRADABLE_NEEDS_ACCOUNT_PERMISSION_CHECK,USD,America/New_York,yahoo_public_chart,Public historical data fallback for validation only; not proof of account tradability.
TSLA,US_STOCK,US.TSLA,TSLA,STOCK,LIKELY_TRADABLE_NEEDS_ACCOUNT_PERMISSION_CHECK,USD,America/New_York,yahoo_public_chart,Public historical data fallback for validation only; not proof of account tradability.
BRK-B,US_STOCK,US.BRK-B,BRK-B,STOCK,LIKELY_TRADABLE_NEEDS_ACCOUNT_PERMISSION_CHECK,USD,America/New_York,yahoo_public_chart,Public historical data fallback for validation only; not proof of account tradability.
JPM,US_STOCK,US.JPM,JPM,STOCK,LIKELY_TRADABLE_NEEDS_ACCOUNT_PERMISSION_CHECK,USD,America/New_York,yahoo_public_chart,Public historical data fallback for validation only; not proof of account tradability.
V,US_STOCK,US.V,V,STOCK,LIKELY_TRADABLE_NEEDS_ACCOUNT_PERMISSION_CHECK,USD,America/New_York,yahoo_public_chart,Public historical data fallback for validation only; not proof of account tradability.
MA,US_STOCK,US.MA,MA,STOCK,LIKELY_TRADABLE_NEEDS_ACCOUNT_PERMISSION_CHECK,USD,America/New_York,yahoo_public_chart,Public historical data fallback for validation only; not proof of account tradability.
UNH,US_STOCK,US.UNH,UNH,STOCK,LIKELY_TRADABLE_NEEDS_ACCOUNT_PERMISSION_CHECK,USD,America/New_York,yahoo_public_chart,Public historical data fallback for validation only; not proof of account tradability.
HD,US_STOCK,US.HD,HD,STOCK,LIKELY_TRADABLE_NEEDS_ACCOUNT_PERMISSION_CHECK,USD,America/New_York,yahoo_public_chart,Public historical data fallback for validation only; not proof of account tradability.
PG,US_STOCK,US.PG,PG,STOCK,LIKELY_TRADABLE_NEEDS_ACCOUNT_PERMISSION_CHECK,USD,America/New_York,yahoo_public_chart,Public historical data fallback for validation only; not proof of account tradability.
COST,US_STOCK,US.COST,COST,STOCK,LIKELY_TRADABLE_NEEDS_ACCOUNT_PERMISSION_CHECK,USD,America/New_York,yahoo_public_chart,Public historical data fallback for validation only; not proof of account tradability.
NFLX,US_STOCK,US.NFLX,NFLX,STOCK,LIKELY_TRADABLE_NEEDS_ACCOUNT_PERMISSION_CHECK,USD,America/New_York,yahoo_public_chart,Public historical data fallback for validation only; not proof of account tradability.
ADBE,US_STOCK,US.ADBE,ADBE,STOCK,LIKELY_TRADABLE_NEEDS_ACCOUNT_PERMISSION_CHECK,USD,America/New_York,yahoo_public_chart,Public historical data fallback for validation only; not proof of account tradability.
CRM,US_STOCK,US.CRM,CRM,STOCK,LIKELY_TRADABLE_NEEDS_ACCOUNT_PERMISSION_CHECK,USD,America/New_York,yahoo_public_chart,Public historical data fallback for validation only; not proof of account tradability.
ORCL,US_STOCK,US.ORCL,ORCL,STOCK,LIKELY_TRADABLE_NEEDS_ACCOUNT_PERMISSION_CHECK,USD,America/New_York,yahoo_public_chart,Public historical data fallback for validation only; not proof of account tradability.
CSCO,US_STOCK,US.CSCO,CSCO,STOCK,LIKELY_TRADABLE_NEEDS_ACCOUNT_PERMISSION_CHECK,USD,America/New_York,yahoo_public_chart,Public historical data fallback for validation only; not proof of account tradability.
AVGO,US_STOCK,US.AVGO,AVGO,STOCK,LIKELY_TRADABLE_NEEDS_ACCOUNT_PERMISSION_CHECK,USD,America/New_York,yahoo_public_chart,Public historical data fallback for validation only; not proof of account tradability.
AMD,US_STOCK,US.AMD,AMD,STOCK,LIKELY_TRADABLE_NEEDS_ACCOUNT_PERMISSION_CHECK,USD,America/New_York,yahoo_public_chart,Public historical data fallback for validation only; not proof of account tradability.
INTC,US_STOCK,US.INTC,INTC,STOCK,LIKELY_TRADABLE_NEEDS_ACCOUNT_PERMISSION_CHECK,USD,America/New_York,yahoo_public_chart,Public historical data fallback for validation only; not proof of account tradability.
QCOM,US_STOCK,US.QCOM,QCOM,STOCK,LIKELY_TRADABLE_NEEDS_ACCOUNT_PERMISSION_CHECK,USD,America/New_York,yahoo_public_chart,Public historical data fallback for validation only; not proof of account tradability.
TXN,US_STOCK,US.TXN,TXN,STOCK,LIKELY_TRADABLE_NEEDS_ACCOUNT_PERMISSION_CHECK,USD,America/New_York,yahoo_public_chart,Public historical data fallback for validation only; not proof of account tradability.
AMAT,US_STOCK,US.AMAT,AMAT,STOCK,LIKELY_TRADABLE_NEEDS_ACCOUNT_PERMISSION_CHECK,USD,America/New_York,yahoo_public_chart,Public historical data fallback for validation only; not proof of account tradability.
MU,US_STOCK,US.MU,MU,STOCK,LIKELY_TRADABLE_NEEDS_ACCOUNT_PERMISSION_CHECK,USD,America/New_York,yahoo_public_chart,Public historical data fallback for validation only; not proof of account tradability.
IBM,US_STOCK,US.IBM,IBM,STOCK,LIKELY_TRADABLE_NEEDS_ACCOUNT_PERMISSION_CHECK,USD,America/New_York,yahoo_public_chart,Public historical data fallback for validation only; not proof of account tradability.
NOW,US_STOCK,US.NOW,NOW,STOCK,LIKELY_TRADABLE_NEEDS_ACCOUNT_PERMISSION_CHECK,USD,America/New_York,yahoo_public_chart,Public historical data fallback for validation only; not proof of account tradability.
PANW,US_STOCK,US.PANW,PANW,STOCK,LIKELY_TRADABLE_NEEDS_ACCOUNT_PERMISSION_CHECK,USD,America/New_York,yahoo_public_chart,Public historical data fallback for validation only; not proof of account tradability.
SHOP,US_STOCK,US.SHOP,SHOP,STOCK,LIKELY_TRADABLE_NEEDS_ACCOUNT_PERMISSION_CHECK,USD,America/New_York,yahoo_public_chart,Public historical data fallback for validation only; not proof of account tradability.
PLTR,US_STOCK,US.PLTR,PLTR,STOCK,LIKELY_TRADABLE_NEEDS_ACCOUNT_PERMISSION_CHECK,USD,America/New_York,yahoo_public_chart,Public historical data fallback for validation only; not proof of account tradability.
SNOW,US_STOCK,US.SNOW,SNOW,STOCK,LIKELY_TRADABLE_NEEDS_ACCOUNT_PERMISSION_CHECK,USD,America/New_York,yahoo_public_chart,Public historical data fallback for validation only; not proof of account tradability.
UBER,US_STOCK,US.UBER,UBER,STOCK,LIKELY_TRADABLE_NEEDS_ACCOUNT_PERMISSION_CHECK,USD,America/New_York,yahoo_public_chart,Public historical data fallback for validation only; not proof of account tradability.
ABNB,US_STOCK,US.ABNB,ABNB,STOCK,LIKELY_TRADABLE_NEEDS_ACCOUNT_PERMISSION_CHECK,USD,America/New_York,yahoo_public_chart,Public historical data fallback for validation only; not proof of account tradability.
BKNG,US_STOCK,US.BKNG,BKNG,STOCK,LIKELY_TRADABLE_NEEDS_ACCOUNT_PERMISSION_CHECK,USD,America/New_York,yahoo_public_chart,Public historical data fallback for validation only; not proof of account tradability.
DIS,US_STOCK,US.DIS,DIS,STOCK,LIKELY_TRADABLE_NEEDS_ACCOUNT_PERMISSION_CHECK,USD,America/New_York,yahoo_public_chart,Public historical data fallback for validation only; not proof of account tradability.
CMCSA,US_STOCK,US.CMCSA,CMCSA,STOCK,LIKELY_TRADABLE_NEEDS_ACCOUNT_PERMISSION_CHECK,USD,America/New_York,yahoo_public_chart,Public historical data fallback for validation only; not proof of account tradability.
PEP,US_STOCK,US.PEP,PEP,STOCK,LIKELY_TRADABLE_NEEDS_ACCOUNT_PERMISSION_CHECK,USD,America/New_York,yahoo_public_chart,Public historical data fallback for validation only; not proof of account tradability.
KO,US_STOCK,US.KO,KO,STOCK,LIKELY_TRADABLE_NEEDS_ACCOUNT_PERMISSION_CHECK,USD,America/New_York,yahoo_public_chart,Public historical data fallback for validation only; not proof of account tradability.
MCD,US_STOCK,US.MCD,MCD,STOCK,LIKELY_TRADABLE_NEEDS_ACCOUNT_PERMISSION_CHECK,USD,America/New_York,yahoo_public_chart,Public historical data fallback for validation only; not proof of account tradability.
NKE,US_STOCK,US.NKE,NKE,STOCK,LIKELY_TRADABLE_NEEDS_ACCOUNT_PERMISSION_CHECK,USD,America/New_York,yahoo_public_chart,Public historical data fallback for validation only; not proof of account tradability.
SBUX,US_STOCK,US.SBUX,SBUX,STOCK,LIKELY_TRADABLE_NEEDS_ACCOUNT_PERMISSION_CHECK,USD,America/New_York,yahoo_public_chart,Public historical data fallback for validation only; not proof of account tradability.
WMT,US_STOCK,US.WMT,WMT,STOCK,LIKELY_TRADABLE_NEEDS_ACCOUNT_PERMISSION_CHECK,USD,America/New_York,yahoo_public_chart,Public historical data fallback for validation only; not proof of account tradability.
TGT,US_STOCK,US.TGT,TGT,STOCK,LIKELY_TRADABLE_NEEDS_ACCOUNT_PERMISSION_CHECK,USD,America/New_York,yahoo_public_chart,Public historical data fallback for validation only; not proof of account tradability.
LOW,US_STOCK,US.LOW,LOW,STOCK,LIKELY_TRADABLE_NEEDS_ACCOUNT_PERMISSION_CHECK,USD,America/New_York,yahoo_public_chart,Public historical data fallback for validation only; not proof of account tradability.
CAT,US_STOCK,US.CAT,CAT,STOCK,LIKELY_TRADABLE_NEEDS_ACCOUNT_PERMISSION_CHECK,USD,America/New_York,yahoo_public_chart,Public historical data fallback for validation only; not proof of account tradability.
