id,track,title,severity,merge_block,evidence_type,evidence,impact,fix,tests,task
A-011,A_安全代码并发,artifact_files.sha256 字段不是文件字节 SHA-256,P1,scope,dynamic_reproduced,Probe P15；stage1_b1_report.py:517-526,审计者按标准 SHA256 校验会失败，完整性字段语义错误。,使用 hashlib.sha256(path.read_bytes()) 或流式哈希；如保留 canonical content hash，改名 content_hash 并同时保存 file_sha256。,每个 artifact manifest SHA 与 sha256sum 完全相同,S2PMT02
A-012,A_安全代码并发,邮件原文链接未限制 URL scheme,P1,scope,dynamic_reproduced,Probe P17；stage1_b1_report.py:468,被污染的 canonical_url 可生成 javascript: 等危险链接。,urlsplit；仅允许 https（必要时 http）；拒绝 userinfo、控制字符、非 allowlist host；纯文本也标识来源域。,javascript/data/file/带凭据 URL 均拒绝或降级为无链接文本,S2PMT01
A-013,A_安全代码并发,调度模板路径未结构化转义，macOS plist 甚至不可解析,P1,scope,dynamic_reproduced,Probe P07/P07B；stage1_runtime.py:493-525,带空格/分号路径会破坏命令，可能命令注入；launchd XML 中 && 未转义导致安装失败。,不拼 shell 字符串；launchd ProgramArguments 每参数一个 string 且 XML 库生成；systemd 使用结构化 unit/EnvironmentFile；PowerShell 参数数组；路径验证。,空格、中文、分号、& 路径均安全；plistlib/systemd-analyze/PowerShell parser 通过,S2PMT04
A-014,A_安全代码并发,备份辅助文件同名时静默覆盖,P1,scope,dynamic_reproduced,Probe P06；stage1_runtime.py:266-272,两份不同配置/状态文件在备份中共享 files/same.txt，manifest 重复路径，恢复证据失真。,保存相对来源路径或 source_path_hash/filename；拒绝重复目标；manifest 路径唯一约束。,不同目录同名文件均可完整恢复，manifest path 无重复,S2PMT02
A-015,A_安全代码并发,未来时间戳被钳制为 age=0，时钟漂移可长期伪装新鲜,P1,scope,dynamic_reproduced,Probe P03；stage1_runtime.py:563-576,未来 heartbeat/lock 不会被识别为异常，可能阻塞恢复或错误显示健康。,允许小容差；超过 clock_skew_tolerance 直接 CLOCK-TIMEZONE-FAIL；内部租约使用单调时钟，持久审计使用 UTC。,未来 5 分钟以上 heartbeat 阻塞；DST 不影响 lease 计算,S2PMT05
A-016,A_安全代码并发,lesson_id 只依赖 claim_id，不依赖内容/证据/模型版本,P1,scope,dynamic_reproduced,Probe P13；lesson.py:40-43,Claim 文本或证据变更仍得到同一 lesson_id，缓存和审计可能返回旧内容。,区分 stable lesson_key 与 immutable lesson_revision_id；revision hash 包含 claim statement/evidence hash/analysis model/prompt contract/language。,任一证据或内容变更导致 revision 变化，stable key 不变,S2PMT03
A-017,A_安全代码并发,SMTP delivery_id 不含正文/内容版本，且缺标准 Message-ID,P1,scope,dynamic_reproduced,"Probe P11/P12；smtp_delivery.py:105-116,176-182",不同正文可共享同一 delivery_id；邮件客户端去重与系统修订追踪不明确。,"定义 mail_key(cycle_id, product_id, recipient) 与 immutable content_revision_id；Message-ID 由 mail_key+revision+受控域生成；重发策略明确。",同 revision 重试 Message-ID 不变；内容修订 revision 变化且需显式 supersede/resend,S2PMT03
A-018,A_安全代码并发,V7 要求展示 ROI，但旧邮件验证明确禁止 ROI,P1,scope,static_confirmed,stage1_b1_report.py:24-34,新产品合同与当前代码互相冲突，Stage1 回灌会被旧质量门阻断。,迁移为 Expected ROI / Actual ROI typed schema；禁止的是无假设保证收益，不是 ROI 字段本身；加入版本兼容测试。,V7.1 合法 ROI 可发布；无成本/概率/证据的收益声明被拒绝,S2PAT05
A-019,A_安全代码并发,零关键 Claim 时覆盖率被计算为 100%,P1,scope,static_confirmed,stage1_b1_report.py:289-305,没有任何关键 Claim 也会“100% 证据覆盖”，形成空集真值误导。,关键 Claim 数必须达到板块最低要求；0 项返回 not_applicable/blocked，不得显示 100%。,0 critical claim 不能通过关键证据门,S2PMT01
A-020,A_安全代码并发,依赖、CI Action、SBOM 与权限最小化未形成供应链基线,P1,scope,design_gap,V7.0 任务包无 supply-chain contract,依赖漂移、恶意包、未固定 Action 或过宽 token 权限可能破坏生产链。,锁定依赖 hash；生成 SBOM；pip-audit/OSV；GitHub Actions 固定 commit SHA；最小 permissions；制品 provenance；secret scanning。,CI 自动审计依赖和 Action 引用；高危漏洞按例外审批流程阻断,S2PMT01
A-021,A_安全代码并发,Roadmap 依赖为空、Stop Code 混用自由文本，机器门不可可靠执行,P1,global,static_confirmed,roadmap_v7.yaml 多个 dependencies: []，stop_conditions 含未注册中文短语,不同 agent 可跳过前置任务；CI 无法判定 Stop Gate；交接连续性不稳定。,V7.1 将 task_ids 数组化、依赖显式化、自由文本移入 stop_notes，stop_conditions 只允许注册代码。,任务图无缺失引用/环；所有 stop condition 均在 registry,S2PAT05
A-022,A_安全代码并发,SQLite 并发基础探针通过，但缺 busy_timeout、重试与高负载政策,P2,no,dynamic_reproduced,Probe P18 120 项/24 并发通过；storage.py:86-95 未配置 busy_timeout,简单探针通过不代表长事务、备份、FTS 和多进程下稳定，仍可能 database is locked。,显式 busy_timeout；短事务；写入队列或单 writer；锁等待指标；指数退避；WAL checkpoint 政策。,多进程写+备份+FTS soak；锁等待 P95/P99 指标满足预算,S2PMT05
B-001,B_压力运行生命周期,自动唤醒/安装/卸载当前只有 dry-run 模板，不是可验收功能,P0,global,static_confirmed,"stage1_runtime.py:371-417,420-447 明确 dry_run_only/applied=false",无法证明系统会在目标机器自动唤醒、自动运行、自动关闭并在重启后恢复。,提供受控 install/status/uninstall 三态；平台适配器；安装后验收实际触发一次；默认关闭副作用；Owner 明确启用。,隔离 VM/容器/测试账号上安装→触发→状态→卸载完整通过,S2PMT04
B-002,B_压力运行生命周期,缺少统一进程生命周期：STARTING/RUNNING/DRAINING/CHECKPOINTING/STOPPED,P1,scope,design_gap,当前 runtime 只有 tick/watchdog 文件，没有 drain/shutdown contract,收到 SIGTERM、系统睡眠、更新或超时时，无法安全停止新任务、完成/回滚在途工作。,实现 lifecycle state machine；信号处理；grace period；停止 claim；flush outbox/DB；checkpoint；release lease；退出码。,每个阶段注入 SIGTERM/SIGINT，重启后无丢失/重复不可控副作用,S2PMT04
B-003,B_压力运行生命周期,watchdog 只报告 stale lock，不执行可证明安全的恢复,P1,scope,static_confirmed,stage1_runtime.py:169-215,后台异常后可能永久停止，必须人工删除锁且有误删活进程风险。,PID/host/boot_id/lease/fencing 验证；只有租约过期且 owner 不存活才接管；记录 recovery event。,活进程慢任务不被误杀；死进程锁自动安全接管,S2PMT03
B-004,B_压力运行生命周期,启动时没有在途任务、outbox、临时文件和残锁 reconciliation,P1,scope,design_gap,V7.0 生命周期合同未定义 startup reconciliation,断电后 QUEUED/RUNNING/SENDING/WRITING 状态可能永久悬挂或重复执行。,启动固定顺序：preflight→lease→schema→reconcile temp/outbox/inflight→resume/requeue→run。,在每个持久状态断电后重启，状态最终收敛且计数守恒,S2PMT04
B-005,B_压力运行生命周期,无安全缓存分类、TTL、容量上限、清理与保留证据,P1,scope,design_gap,任务包未定义 cache housekeeping,磁盘可被全文/PDF/模型缓存耗尽；误清理可能删除原始证据或数据库。,区分 durable evidence / rebuildable cache / temp；按类别 TTL+max_bytes；先 dry-run；路径白名单；删除日志；最低可用磁盘水位。,路径穿越/符号链接不删；低磁盘自动降载；durable 目录永不清理,S2PMT04
B-006,B_压力运行生命周期,缺少正式负载、压力、峰值、浸泡和容量基线,P1,scope,not_verified,本轮仅执行 64 tick 和 120 SQLite 写入定向探针，非全系统压力测试,无法知道四源突发、全文下载、模型延迟、3+1 邮件截止水位下是否稳定。,建立 workload model 和 SLO；load→stress→spike→soak；记录 throughput、latency、queue age、memory、disk、error rate。,至少 24h soak；2x 峰值；队列有界且可恢复,S2PMT05
B-007,B_压力运行生命周期,没有双调度器/双 worker/重复触发的生产级竞态测试,P0,global,not_verified,现有定向 P08 仅验证同进程线程下简单 lock,GitHub/manual/local/重启补跑可能同时触发同一 cycle，导致重复报告和邮件。,定义 cycle_id、唯一约束、leader lease/fencing、outbox；用多进程/多主机模拟并发。,100 次重复 trigger 最终每个 M1-M4 只有一个 active revision 和一次受控投递,S2PMT05
B-008,B_压力运行生命周期,没有“SMTP 已接受但本地未提交”崩溃窗口测试,P0,global,not_verified,对应 A-003 外部副作用窗口,这是邮件重复最关键的故障窗口，未验证则不能生产启用。,可编程 fake SMTP 在 accept 后阻塞/kill；重启 reconciliation；检查 outbox 和 Message-ID。,每个发送阶段注入崩溃，重复率和最终状态符合明确合同,S2PMT05
B-009,B_压力运行生命周期,缺少磁盘满、只读目录、数据库锁死、损坏缓存/备份等故障注入,P1,scope,not_verified,现有测试矩阵未列出系统性 fault injection,最常见本地运行故障可能造成静默停机、半文件或数据丢失。,pyfakefs/配额目录/fault injection adapter；所有持久写入 fail-closed 和原子。,ENOSPC/EACCES/SQLITE_BUSY/corrupt JSON/PDF/backup 均有明确状态和恢复路径,S2PMT05
B-010,B_压力运行生命周期,缺少 Australia/Sydney DST、时钟跳变、漏跑和补跑政策测试,P1,scope,design_gap,schedule 以自由文本时间表示，无 misfire/catch-up/ambiguous-time policy,夏令时切换、机器休眠或网络恢复时可能漏发或重复发。,"结构化 schedule(timezone, local_time, misfire_grace, catch_up, max_runs, fold policy)；cycle 使用本地业务日+UTC instant。",DST forward/backward、NTP 前后跳、休眠 8h 后补跑均确定性,S2PMT05
B-011,B_压力运行生命周期,M4 水位线缺少 cycle_id、超时、迟到数据和降级策略,P1,scope,design_gap,product_contract_v7.yaml 只有 requires_terminal: M1-M3,M4 可能等待错日邮件、永久阻塞，或在迟到数据后无修订策略。,watermark keyed by cycle_id；终态枚举；deadline；degraded reason；late-arrival revision policy；M4 唯一键。,M2 失败/M3 超时/迟到/重跑/跨日均生成正确 M4 状态,S2PMT03
B-012,B_压力运行生命周期,没有覆盖 3+1 日报、周报、月报、复习、行动、ROI 的完整流程测试,P1,scope,not_verified,V7.0 测试矩阵为高层描述，无可执行 E2E 命令,单模块通过后仍可能在跨功能连接处丢数据、断链接或计数不守恒。,固定 35 日 fake clock 场景：每日四邮件、周报、月报、复习到期、行动、转化；核对全部 ledger。,一条命令生成可审计 run bundle，分项总数守恒、链接可达,S2PMT05
B-013,B_压力运行生命周期,结果有效性测试偏结构存在性，缺语义、证据和非模板化验收,P1,scope,static_confirmed,lesson/report 当前验证主要检查字段、中文字符、marker,“格式齐全但没有新知识”的内容仍可通过。,10 项金标双盲；claim entailment；引用定位；相似度/模板率；反证；个人行动可执行；回归阈值。,金标五维≥4/5；关键事实人工抽检；模板重复率上限,S2PHT05
B-014,B_压力运行生命周期,无背压、熔断、降级和负载丢弃优先级,P1,scope,design_gap,队列容量存在，但没有过载策略合同,来源突发或模型变慢时队列无限老化，错过邮件窗口或挤占高价值任务。,有界队列；priority aging；per-source quota；circuit breaker；降级到摘要级；deadline-aware shedding；告警。,2x/5x 峰值下高优先项 SLO，低优先项明确延后/丢弃原因,S2PMT05
B-015,B_压力运行生命周期,后台清理与数据保存没有事务边界和可观察完成信号,P1,scope,design_gap,heartbeat/checkpoint 分别直接写文件，无 durable shutdown receipt,系统看似自动关闭，但状态、缓存、数据库和邮件进度可能尚未落盘。,drain receipt：claimed/inflight/outbox/db checkpoint/cache cleanup/backup/lease release 每步状态；失败保持 RECOVERING。,关闭中每一步 kill，重启可从 receipt 精确恢复,S2PMT04
B-016,B_压力运行生命周期,缺少 fake clock、fake network、随机种子和资源隔离，测试易波动,P2,no,design_gap,generated_at 由调用者自由传入，网络/SMTP 测试合同未统一,时间、网络和并发测试可能 flaky，无法稳定复现。,Clock/Network/SMTP/FileSystem adapters；固定 seed；每测试独立临时目录与数据库；禁止共享全局环境。,同 seed 重跑完全一致；并行 pytest 无共享状态污染,S2PMT05
C-001,C_UI交互架构,当前仓库未落地唯一中文 00_用户中心首屏,P1,scope,static_confirmed,当前项目仍以 config/docs/governance 和英文 Owner 文档为主；V7.0 只是待合并合同,Owner 无法在一个入口确认状态、要求、功能、验收和下一步。,00_开始这里.md 作为唯一首屏，展示健康、当前 Task、阻塞、下一次运行、四个查看入口和只改这里。,从项目根两次点击内完成所有常用操作,S2PIT01
C-002,C_UI交互架构,总控台偏配置容量，缺真实排队/讲解/发送/复习/行动数量,P1,scope,static_confirmed,当前 Owner Console/Model And Queue 快照主要显示 max_active_items 等,无法判断系统真实工作量、积压和交付效果。,从数据库生成 real-time counts、oldest age、SLA breach、today delta；配置值和实际值分栏。,各分项与总数守恒；空/延迟/失败状态正确显示,S2PIT02
C-003,C_UI交互架构,四查视图缺统一 freshness、事实源与漂移状态,P1,scope,design_gap,V7.0 只定义文件名和字段方向,四页可能不同步，Owner 无法知道数据截至何时、是否陈旧。,每页显示 generated_at/data_as_of/source_revision/contract_hash/staleness；只从同一 query layer 生成。,故意制造漂移/过期时 CI 和页面同时报警,S2PIT05
C-004,C_UI交互架构,缺少一致的全局导航、面包屑、返回和关联跳转,P2,no,design_gap,任务包未定义 navigation contract,文件虽集中但仍需记路径，复杂状态之间无法自然追踪。,所有人类页面顶/底统一导航；每个对象链接到来源→Claim→报告→邮件→复习→行动→ROI。,自动链接检查无断链；核心旅程点击数达标,S2PMT06
C-005,C_UI交互架构,错误和阻塞信息缺少恢复动作、负责人和安全重试入口,P1,scope,design_gap,现有 blocking_reasons 多为纯文本,用户知道失败但不知道该改什么、是否可重试、会不会重复发送。,错误卡统一：code/severity/impact/owner/first_seen/last_seen/retry_safe/CTA/runbook/evidence。,每个 P0/P1 错误至少一个可执行恢复动作或明确人工门,S2PMT06
C-006,C_UI交互架构,修改配置缺少预览、diff、校验、影响分析和一键回滚,P1,scope,design_gap,“一改”仅定义编辑目录，没有交互保护合同,Owner 修改权重、时间或来源后可能直接破坏运行且难以定位。,Edit→Validate→Preview diff/impact→Apply→Audit→Rollback；配置编译产物不可手改。,非法配置无法应用；应用后可回滚到上个 revision,S2PMT06
C-007,C_UI交互架构,用户控制修改缺少 append-only 审计历史,P1,scope,design_gap,V7.0 未定义 config revision ledger,无法解释结果变化来自模型、数据还是配置修改。,"config_revision(id, actor, diff, reason, validated_at, applied_at, rollback_of, contract_hash)。",每次有效修改都有 revision；结果产物记录使用的 revision,S2PMT06
C-008,C_UI交互架构,队列和账本缺搜索、筛选、排序、导出与下钻规范,P2,no,design_gap,四查字段规范未覆盖操作能力,数据增长后 Markdown 全量平铺不可用，无法定位逾期或失败项。,按状态/板块/来源/日期/严重度筛选；CSV/JSON 导出；详情页；固定常用视图。,1万项队列下首屏仍只显示摘要和 Top 异常，导出完整准确,S2PMT06
C-009,C_UI交互架构,全量参数可见但缺渐进披露和变更影响解释,P2,no,design_gap,当前模型参数文件已有数百参数，用户容易过载,“全部可见”可能演变成不可操作的大表。,关键参数首屏；高级/工程参数折叠；每项显示影响、范围、默认、回滚值和关联测试。,关键参数≤20 项首屏；全部参数可检索且无遗漏,S2PIT03
C-010,C_UI交互架构,功能→Task→测试→运行证据在 UI 中没有可点击追踪链,P1,scope,design_gap,CSV 追踪矩阵存在，但尚未成为 GitHub 人类页面的一部分,Owner 无法直接判断某功能是否真的完成，而不是只写了文档。,功能清单每行加入 requirement/task/status/test/evidence/last_verified；开发记录反链；证据可点击。,每个 required feature 追踪覆盖 100%，无孤儿 Task/测试/证据,S2PAT05
C-011,C_UI交互架构,旧 B1–B5/五邮件/英文名称与新 3+1 合同并存,P1,global,static_confirmed,当前 stage1_b1_report.py 与 owner_controls 仍采用旧命名/禁止 ROI,不同 agent 会按不同产品模型开发，产生不可兼容接口。,单一 migration matrix；旧 ID 标 legacy_alias；用户界面只显示新中文名；CI 禁止新代码再引入旧合同。,全仓扫描旧标识仅允许在 archive/compat 列表出现,S2PAT05
C-012,C_UI交互架构,缺少手动重试、取消、重新排队、跳过和重新生成的安全交互,P1,scope,design_gap,控制面目前主要为只读 Markdown/配置,发生失败或误选时只能改数据库/文件，易制造重复副作用。,所有动作先 preview；显示幂等键与影响；危险动作二次确认；只允许状态机合法转换。,重复点击不重复发送；非法状态动作被禁用并解释原因,S2PMT06
C-013,C_UI交互架构,缺少无障碍、响应式和主流邮件客户端兼容验收,P2,no,not_verified,HTML 使用简单内嵌样式，未见 a11y/client matrix,移动端、暗色模式、屏幕阅读器或 Outlook 等可能难读/错位。,语义标题、alt、对比度、可触控尺寸、纯文本等价；Litmus 类矩阵或本地 snapshot。,WCAG 基础检查；Gmail/Apple Mail/Outlook 关键模板截图或结构测试,S2PMT06
C-014,C_UI交互架构,缺少 loading/empty/degraded/stale/partial-success 的完整反馈状态,P2,no,design_gap,页面规范偏“成功数据表”,数据为空或部分来源失败时，用户无法区分“尚未运行”“没有更新”“系统出错”。,五态设计；每态说明原因、数据截至、下一动作；M1-M4 部分成功可视化。,所有空态和降级态有 fixture/snapshot,S2PMT06
C-015,C_UI交互架构,用户反馈尚未形成可见的排序/画像/内容改进闭环,P2,no,design_gap,合同定义反馈按钮，但未定义反馈后状态与模型变更可解释性,用户点击“太浅/无关”后不知道系统是否学习，长期信任下降。,feedback event ledger；展示已采纳/待样本/不采纳原因；模型参数变更需最小样本与回滚。,反馈事件可追踪到后续排序/内容变化或明确无变化原因,S2PMT06
