code,name,information,engineering_limits,phase,official_entry,source_tier
A25,FFIEC National Information Center / FR Y-9C,银行控股结构和合并财务,专用于受监管金融机构；字段和报告口径专业,Phase 1.5,https://www.ffiec.gov/npw,A
A26,FDIC BankFind API,银行历史、并购、分支、财务和机构标识,银行子体与顶层控股公司需映射,Phase 1.5,https://api.fdic.gov/banks/docs,A
A27,FINRA TRACE / Fixed Income Data,公司债券参考数据、市场聚合和部分交易历史,部分数据需协议/认证或付费；不等同发行人现金流,Phase 2,https://www.finra.org/filing-reporting/trace,A
A28,州公司注册处 / UCC / 州级监管数据库,成立、存续、合并、担保权益和州级许可,各州格式、访问和许可差异大；先做人工研究队列,Phase 2,state-specific,A
B01,公司IR、官方新闻室、治理文件、投资者演示,战略、融资、合同、组织与产品发布,自述性来源，必须与监管/合同文件交叉核验,MVP必选,source-specific,B
B02,官方合作方公告与政府机构新闻稿,双边合作、合同、投资和审批,区分宣布、承诺、签署、交割和实际支出,MVP必选,source-specific,B
C01,Bloomberg / LSEG / FactSet / S&P Capital IQ,实体主数据、交易、资本结构、估值与市场数据,商业许可；不可成为开源MVP硬依赖,可选付费,licensed,C
C02,PitchBook / Preqin / Crunchbase,私募融资、基金、投资人与交易线索,私营公司数据可能估算或不完整；需原始文件复核,可选付费,licensed,C
C03,AlphaSense / Tegus等研究平台,文件检索、电话会与研究工作流,许可和再分发限制；仅作分析辅助,可选付费,licensed,C
D01,Reuters / FT / WSJ / Bloomberg News / The Information,事件发现、背景和未公开细节线索,不能单独支撑精确股权比例或法律事实；至少双源或回到原始文件,二级佐证,publisher-specific,D
