temporary_asset_code,asset_name,production_asset_code_to_confirm,fund_company_hint,special_rule_required,required_rule_fields,source_priority,preferred_sources,default_rule_assumption,alipay_query,official_query,source_evidence_to_attach,prior_as_of,prior_source_file
ALIPAY_NAME_南方纳斯达克100指数_QDII_A,南方纳斯达克100指数(QDII)A,REPLACE_WITH_OFFICIAL_FUND_CODE_OR_PLATFORM_ID,南方,true,subscription_status; redemption_status; cutoff_time; confirm_lag; redeem_lag; subscription_fee; redemption_fee; management_fee; custody_fee; sales_service_fee; min_purchase_amount; source_url; as_of,moomoo > alipay > official_platform > trade_snapshot > public_aggregation,Alipay fund rule/detail page; fund-company official page/prospectus/announcement,"Do not assume production rules from the generic 15:00/T+1 note; confirm the current product page. QDII/HK/global/special funds may have different confirmation, redemption, and holiday calendars.",南方纳斯达克100指数(QDII)A 支付宝 基金 申购 赎回 费率 交易规则,南方纳斯达克100指数(QDII)A 基金公司 申购赎回 费率 招募说明书,REPLACE_WITH_ALIPAY_OR_FUND_COMPANY_RULE_EVIDENCE,2026-06-05,external:ScreenRecording_06-05-2026 12-38-58_1.MP4
ALIPAY_NAME_华安纳斯达克100ETF联接_QDII_C,华安纳斯达克100ETF联接(QDII)C,REPLACE_WITH_OFFICIAL_FUND_CODE_OR_PLATFORM_ID,华安,true,subscription_status; redemption_status; cutoff_time; confirm_lag; redeem_lag; subscription_fee; redemption_fee; management_fee; custody_fee; sales_service_fee; min_purchase_amount; source_url; as_of,moomoo > alipay > official_platform > trade_snapshot > public_aggregation,Alipay fund rule/detail page; fund-company official page/prospectus/announcement,"Do not assume production rules from the generic 15:00/T+1 note; confirm the current product page. QDII/HK/global/special funds may have different confirmation, redemption, and holiday calendars.",华安纳斯达克100ETF联接(QDII)C 支付宝 基金 申购 赎回 费率 交易规则,华安纳斯达克100ETF联接(QDII)C 基金公司 申购赎回 费率 招募说明书,REPLACE_WITH_ALIPAY_OR_FUND_COMPANY_RULE_EVIDENCE,2026-06-05,external:ScreenRecording_06-05-2026 12-38-58_1.MP4
ALIPAY_NAME_华安纳斯达克100ETF联接_QDII_A,华安纳斯达克100ETF联接(QDII)A,REPLACE_WITH_OFFICIAL_FUND_CODE_OR_PLATFORM_ID,华安,true,subscription_status; redemption_status; cutoff_time; confirm_lag; redeem_lag; subscription_fee; redemption_fee; management_fee; custody_fee; sales_service_fee; min_purchase_amount; source_url; as_of,moomoo > alipay > official_platform > trade_snapshot > public_aggregation,Alipay fund rule/detail page; fund-company official page/prospectus/announcement,"Do not assume production rules from the generic 15:00/T+1 note; confirm the current product page. QDII/HK/global/special funds may have different confirmation, redemption, and holiday calendars.",华安纳斯达克100ETF联接(QDII)A 支付宝 基金 申购 赎回 费率 交易规则,华安纳斯达克100ETF联接(QDII)A 基金公司 申购赎回 费率 招募说明书,REPLACE_WITH_ALIPAY_OR_FUND_COMPANY_RULE_EVIDENCE,2026-06-05,external:ScreenRecording_06-05-2026 12-38-58_1.MP4
ALIPAY_NAME_富国蓝筹精选股票_QDII_,富国蓝筹精选股票(QDII),REPLACE_WITH_OFFICIAL_FUND_CODE_OR_PLATFORM_ID,富国,true,subscription_status; redemption_status; cutoff_time; confirm_lag; redeem_lag; subscription_fee; redemption_fee; management_fee; custody_fee; sales_service_fee; min_purchase_amount; source_url; as_of,moomoo > alipay > official_platform > trade_snapshot > public_aggregation,Alipay fund rule/detail page; fund-company official page/prospectus/announcement,"Do not assume production rules from the generic 15:00/T+1 note; confirm the current product page. QDII/HK/global/special funds may have different confirmation, redemption, and holiday calendars.",富国蓝筹精选股票(QDII) 支付宝 基金 申购 赎回 费率 交易规则,富国蓝筹精选股票(QDII) 基金公司 申购赎回 费率 招募说明书,REPLACE_WITH_ALIPAY_OR_FUND_COMPANY_RULE_EVIDENCE,2026-06-05,external:ScreenRecording_06-05-2026 12-38-58_1.MP4
ALIPAY_NAME_易方达红利低波ETF联接A,易方达红利低波ETF联接A,REPLACE_WITH_OFFICIAL_FUND_CODE_OR_PLATFORM_ID,易方达,false,subscription_status; redemption_status; cutoff_time; confirm_lag; redeem_lag; subscription_fee; redemption_fee; management_fee; custody_fee; sales_service_fee; min_purchase_amount; source_url; as_of,moomoo > alipay > official_platform > trade_snapshot > public_aggregation,Alipay fund rule/detail page; fund-company official page/prospectus/announcement,"Do not assume production rules from the generic 15:00/T+1 note; confirm the current product page. QDII/HK/global/special funds may have different confirmation, redemption, and holiday calendars.",易方达红利低波ETF联接A 支付宝 基金 申购 赎回 费率 交易规则,易方达红利低波ETF联接A 基金公司 申购赎回 费率 招募说明书,REPLACE_WITH_ALIPAY_OR_FUND_COMPANY_RULE_EVIDENCE,2026-06-05,external:ScreenRecording_06-05-2026 12-38-58_1.MP4
ALIPAY_NAME_华夏新锦绣灵活配置混合C,华夏新锦绣灵活配置混合C,REPLACE_WITH_OFFICIAL_FUND_CODE_OR_PLATFORM_ID,华夏,false,subscription_status; redemption_status; cutoff_time; confirm_lag; redeem_lag; subscription_fee; redemption_fee; management_fee; custody_fee; sales_service_fee; min_purchase_amount; source_url; as_of,moomoo > alipay > official_platform > trade_snapshot > public_aggregation,Alipay fund rule/detail page; fund-company official page/prospectus/announcement,"Do not assume production rules from the generic 15:00/T+1 note; confirm the current product page. QDII/HK/global/special funds may have different confirmation, redemption, and holiday calendars.",华夏新锦绣灵活配置混合C 支付宝 基金 申购 赎回 费率 交易规则,华夏新锦绣灵活配置混合C 基金公司 申购赎回 费率 招募说明书,REPLACE_WITH_ALIPAY_OR_FUND_COMPANY_RULE_EVIDENCE,2026-06-05,external:ScreenRecording_06-05-2026 12-38-58_1.MP4
ALIPAY_NAME_华夏新锦绣灵活配置混合A,华夏新锦绣灵活配置混合A,REPLACE_WITH_OFFICIAL_FUND_CODE_OR_PLATFORM_ID,华夏,false,subscription_status; redemption_status; cutoff_time; confirm_lag; redeem_lag; subscription_fee; redemption_fee; management_fee; custody_fee; sales_service_fee; min_purchase_amount; source_url; as_of,moomoo > alipay > official_platform > trade_snapshot > public_aggregation,Alipay fund rule/detail page; fund-company official page/prospectus/announcement,"Do not assume production rules from the generic 15:00/T+1 note; confirm the current product page. QDII/HK/global/special funds may have different confirmation, redemption, and holiday calendars.",华夏新锦绣灵活配置混合A 支付宝 基金 申购 赎回 费率 交易规则,华夏新锦绣灵活配置混合A 基金公司 申购赎回 费率 招募说明书,REPLACE_WITH_ALIPAY_OR_FUND_COMPANY_RULE_EVIDENCE,2026-06-05,external:ScreenRecording_06-05-2026 12-38-58_1.MP4
ALIPAY_NAME_天弘中证农业主题ETF联接C,天弘中证农业主题ETF联接C,REPLACE_WITH_OFFICIAL_FUND_CODE_OR_PLATFORM_ID,天弘,false,subscription_status; redemption_status; cutoff_time; confirm_lag; redeem_lag; subscription_fee; redemption_fee; management_fee; custody_fee; sales_service_fee; min_purchase_amount; source_url; as_of,moomoo > alipay > official_platform > trade_snapshot > public_aggregation,Alipay fund rule/detail page; fund-company official page/prospectus/announcement,"Do not assume production rules from the generic 15:00/T+1 note; confirm the current product page. QDII/HK/global/special funds may have different confirmation, redemption, and holiday calendars.",天弘中证农业主题ETF联接C 支付宝 基金 申购 赎回 费率 交易规则,天弘中证农业主题ETF联接C 基金公司 申购赎回 费率 招募说明书,REPLACE_WITH_ALIPAY_OR_FUND_COMPANY_RULE_EVIDENCE,2026-06-05,external:ScreenRecording_06-05-2026 12-38-58_1.MP4
ALIPAY_NAME_华泰柏瑞科创50联接A,华泰柏瑞科创50联接A,REPLACE_WITH_OFFICIAL_FUND_CODE_OR_PLATFORM_ID,华泰柏瑞,false,subscription_status; redemption_status; cutoff_time; confirm_lag; redeem_lag; subscription_fee; redemption_fee; management_fee; custody_fee; sales_service_fee; min_purchase_amount; source_url; as_of,moomoo > alipay > official_platform > trade_snapshot > public_aggregation,Alipay fund rule/detail page; fund-company official page/prospectus/announcement,"Do not assume production rules from the generic 15:00/T+1 note; confirm the current product page. QDII/HK/global/special funds may have different confirmation, redemption, and holiday calendars.",华泰柏瑞科创50联接A 支付宝 基金 申购 赎回 费率 交易规则,华泰柏瑞科创50联接A 基金公司 申购赎回 费率 招募说明书,REPLACE_WITH_ALIPAY_OR_FUND_COMPANY_RULE_EVIDENCE,2026-06-05,external:ScreenRecording_06-05-2026 12-38-58_1.MP4
ALIPAY_NAME_博时中证银行ETF联接_LOF_A,博时中证银行ETF联接(LOF)A,REPLACE_WITH_OFFICIAL_FUND_CODE_OR_PLATFORM_ID,博时,false,subscription_status; redemption_status; cutoff_time; confirm_lag; redeem_lag; subscription_fee; redemption_fee; management_fee; custody_fee; sales_service_fee; min_purchase_amount; source_url; as_of,moomoo > alipay > official_platform > trade_snapshot > public_aggregation,Alipay fund rule/detail page; fund-company official page/prospectus/announcement,"Do not assume production rules from the generic 15:00/T+1 note; confirm the current product page. QDII/HK/global/special funds may have different confirmation, redemption, and holiday calendars.",博时中证银行ETF联接(LOF)A 支付宝 基金 申购 赎回 费率 交易规则,博时中证银行ETF联接(LOF)A 基金公司 申购赎回 费率 招募说明书,REPLACE_WITH_ALIPAY_OR_FUND_COMPANY_RULE_EVIDENCE,2026-06-05,external:ScreenRecording_06-05-2026 12-38-58_1.MP4
ALIPAY_NAME_博时恒生科技ETF联接_QDII_A,博时恒生科技ETF联接(QDII)A,REPLACE_WITH_OFFICIAL_FUND_CODE_OR_PLATFORM_ID,博时,true,subscription_status; redemption_status; cutoff_time; confirm_lag; redeem_lag; subscription_fee; redemption_fee; management_fee; custody_fee; sales_service_fee; min_purchase_amount; source_url; as_of,moomoo > alipay > official_platform > trade_snapshot > public_aggregation,Alipay fund rule/detail page; fund-company official page/prospectus/announcement,"Do not assume production rules from the generic 15:00/T+1 note; confirm the current product page. QDII/HK/global/special funds may have different confirmation, redemption, and holiday calendars.",博时恒生科技ETF联接(QDII)A 支付宝 基金 申购 赎回 费率 交易规则,博时恒生科技ETF联接(QDII)A 基金公司 申购赎回 费率 招募说明书,REPLACE_WITH_ALIPAY_OR_FUND_COMPANY_RULE_EVIDENCE,2026-06-05,external:ScreenRecording_06-05-2026 12-38-58_1.MP4
ALIPAY_NAME_广发量化多因子灵活配置混合A,广发量化多因子灵活配置混合A,REPLACE_WITH_OFFICIAL_FUND_CODE_OR_PLATFORM_ID,广发,false,subscription_status; redemption_status; cutoff_time; confirm_lag; redeem_lag; subscription_fee; redemption_fee; management_fee; custody_fee; sales_service_fee; min_purchase_amount; source_url; as_of,moomoo > alipay > official_platform > trade_snapshot > public_aggregation,Alipay fund rule/detail page; fund-company official page/prospectus/announcement,"Do not assume production rules from the generic 15:00/T+1 note; confirm the current product page. QDII/HK/global/special funds may have different confirmation, redemption, and holiday calendars.",广发量化多因子灵活配置混合A 支付宝 基金 申购 赎回 费率 交易规则,广发量化多因子灵活配置混合A 基金公司 申购赎回 费率 招募说明书,REPLACE_WITH_ALIPAY_OR_FUND_COMPANY_RULE_EVIDENCE,2026-06-05,external:ScreenRecording_06-05-2026 12-38-58_1.MP4
ALIPAY_NAME_华夏国证自由现金流ETF联接A,华夏国证自由现金流ETF联接A,REPLACE_WITH_OFFICIAL_FUND_CODE_OR_PLATFORM_ID,华夏,false,subscription_status; redemption_status; cutoff_time; confirm_lag; redeem_lag; subscription_fee; redemption_fee; management_fee; custody_fee; sales_service_fee; min_purchase_amount; source_url; as_of,moomoo > alipay > official_platform > trade_snapshot > public_aggregation,Alipay fund rule/detail page; fund-company official page/prospectus/announcement,"Do not assume production rules from the generic 15:00/T+1 note; confirm the current product page. QDII/HK/global/special funds may have different confirmation, redemption, and holiday calendars.",华夏国证自由现金流ETF联接A 支付宝 基金 申购 赎回 费率 交易规则,华夏国证自由现金流ETF联接A 基金公司 申购赎回 费率 招募说明书,REPLACE_WITH_ALIPAY_OR_FUND_COMPANY_RULE_EVIDENCE,2026-06-05,external:ScreenRecording_06-05-2026 12-38-58_1.MP4
ALIPAY_NAME_华夏中证AH经济蓝筹股票指数A,华夏中证AH经济蓝筹股票指数A,REPLACE_WITH_OFFICIAL_FUND_CODE_OR_PLATFORM_ID,华夏,false,subscription_status; redemption_status; cutoff_time; confirm_lag; redeem_lag; subscription_fee; redemption_fee; management_fee; custody_fee; sales_service_fee; min_purchase_amount; source_url; as_of,moomoo > alipay > official_platform > trade_snapshot > public_aggregation,Alipay fund rule/detail page; fund-company official page/prospectus/announcement,"Do not assume production rules from the generic 15:00/T+1 note; confirm the current product page. QDII/HK/global/special funds may have different confirmation, redemption, and holiday calendars.",华夏中证AH经济蓝筹股票指数A 支付宝 基金 申购 赎回 费率 交易规则,华夏中证AH经济蓝筹股票指数A 基金公司 申购赎回 费率 招募说明书,REPLACE_WITH_ALIPAY_OR_FUND_COMPANY_RULE_EVIDENCE,2026-06-05,external:ScreenRecording_06-05-2026 12-38-58_1.MP4
ALIPAY_NAME_国泰黄金ETF联接A,国泰黄金ETF联接A,REPLACE_WITH_OFFICIAL_FUND_CODE_OR_PLATFORM_ID,国泰,false,subscription_status; redemption_status; cutoff_time; confirm_lag; redeem_lag; subscription_fee; redemption_fee; management_fee; custody_fee; sales_service_fee; min_purchase_amount; source_url; as_of,moomoo > alipay > official_platform > trade_snapshot > public_aggregation,Alipay fund rule/detail page; fund-company official page/prospectus/announcement,"Do not assume production rules from the generic 15:00/T+1 note; confirm the current product page. QDII/HK/global/special funds may have different confirmation, redemption, and holiday calendars.",国泰黄金ETF联接A 支付宝 基金 申购 赎回 费率 交易规则,国泰黄金ETF联接A 基金公司 申购赎回 费率 招募说明书,REPLACE_WITH_ALIPAY_OR_FUND_COMPANY_RULE_EVIDENCE,2026-06-05,external:ScreenRecording_06-05-2026 12-38-58_1.MP4
ALIPAY_NAME_博时中证机器人指数A,博时中证机器人指数A,REPLACE_WITH_OFFICIAL_FUND_CODE_OR_PLATFORM_ID,博时,false,subscription_status; redemption_status; cutoff_time; confirm_lag; redeem_lag; subscription_fee; redemption_fee; management_fee; custody_fee; sales_service_fee; min_purchase_amount; source_url; as_of,moomoo > alipay > official_platform > trade_snapshot > public_aggregation,Alipay fund rule/detail page; fund-company official page/prospectus/announcement,"Do not assume production rules from the generic 15:00/T+1 note; confirm the current product page. QDII/HK/global/special funds may have different confirmation, redemption, and holiday calendars.",博时中证机器人指数A 支付宝 基金 申购 赎回 费率 交易规则,博时中证机器人指数A 基金公司 申购赎回 费率 招募说明书,REPLACE_WITH_ALIPAY_OR_FUND_COMPANY_RULE_EVIDENCE,2026-06-05,external:ScreenRecording_06-05-2026 12-38-58_1.MP4
ALIPAY_NAME_易方达石油化工ETF联接A,易方达石油化工ETF联接A,REPLACE_WITH_OFFICIAL_FUND_CODE_OR_PLATFORM_ID,易方达,false,subscription_status; redemption_status; cutoff_time; confirm_lag; redeem_lag; subscription_fee; redemption_fee; management_fee; custody_fee; sales_service_fee; min_purchase_amount; source_url; as_of,moomoo > alipay > official_platform > trade_snapshot > public_aggregation,Alipay fund rule/detail page; fund-company official page/prospectus/announcement,"Do not assume production rules from the generic 15:00/T+1 note; confirm the current product page. QDII/HK/global/special funds may have different confirmation, redemption, and holiday calendars.",易方达石油化工ETF联接A 支付宝 基金 申购 赎回 费率 交易规则,易方达石油化工ETF联接A 基金公司 申购赎回 费率 招募说明书,REPLACE_WITH_ALIPAY_OR_FUND_COMPANY_RULE_EVIDENCE,2026-06-05,external:ScreenRecording_06-05-2026 12-38-58_1.MP4
ALIPAY_NAME_诺安多策略混合C,诺安多策略混合C,REPLACE_WITH_OFFICIAL_FUND_CODE_OR_PLATFORM_ID,诺安,false,subscription_status; redemption_status; cutoff_time; confirm_lag; redeem_lag; subscription_fee; redemption_fee; management_fee; custody_fee; sales_service_fee; min_purchase_amount; source_url; as_of,moomoo > alipay > official_platform > trade_snapshot > public_aggregation,Alipay fund rule/detail page; fund-company official page/prospectus/announcement,"Do not assume production rules from the generic 15:00/T+1 note; confirm the current product page. QDII/HK/global/special funds may have different confirmation, redemption, and holiday calendars.",诺安多策略混合C 支付宝 基金 申购 赎回 费率 交易规则,诺安多策略混合C 基金公司 申购赎回 费率 招募说明书,REPLACE_WITH_ALIPAY_OR_FUND_COMPANY_RULE_EVIDENCE,2026-06-05,external:ScreenRecording_06-05-2026 12-38-58_1.MP4
