item_id,area,requirement,status,severity,proof,evidence_path,next_action
source_evidence_audit_manifest,Evidence,Source evidence references must be exportable as an audit manifest with URL/local-file status and local-file hashes.,pass,info,"md_exists=True, csv_exists=True, json_exists=True, rows=17, status=pass, invalid_count=0, local_hashed_count=3",/Users/linzezhang/Documents/Codex/2026-06-12/codex-dev-automation-using-model-5/outputs/preflight/source_evidence_audit_latest.md,None
production_unblock_matrix,Production Gate,Remaining production blockers or warning-level evidence items must be mapped to field-level requirements and exact refresh/unlock commands.,pass,info,"md_exists=True, csv_exists=True, json_exists=True, rows=6, production_ready=True, has_locked_language=False",/Users/linzezhang/Documents/Codex/2026-06-12/codex-dev-automation-using-model-5/outputs/preflight/PRODUCTION_UNBLOCK_EVIDENCE_MATRIX.md,None
production_unlock_workflow,Production Gate,"A fail-closed production unlock workflow must verify pack evidence, dry-run promotion, preflight, and completion audit without sending mail or placing trades.",pass,info,"status=blocked, stages=['source_evidence_audit_pack', 'promote_intake_pack_dry_run', 'preflight', 'completion_audit'], production_ready=False, stop_reason=pack source evidence audit failed",/Users/linzezhang/Documents/Codex/2026-06-12/codex-dev-automation-using-model-5/outputs/preflight/production_unlock_check_latest.md,None
production_action_queue,Production Gate,"Remaining production blockers must have a prioritized No-New-Order action queue with target files, fields, evidence requirements, and unlock commands.",pass,info,"rows=4, blockers={'benchmark_source_priority': 2, 'benchmark_history': 2}, priority_counts={'P2': 4}",/Users/linzezhang/Documents/Codex/2026-06-12/codex-dev-automation-using-model-5/outputs/preflight/production_action_queue_latest.md,None
production_data_request_contract,Production Gate,"Production blockers must have a concise input contract for baseline generation, fund rules, candidate sources, evidence rules, and unlock commands.",pass,info,input contract ready,/Users/linzezhang/Documents/Codex/2026-06-12/codex-dev-automation-using-model-5/outputs/preflight/PRODUCTION_DATA_REQUEST.md,None
alipay_position_normalizer,Data Quality,Current Alipay holdings/OCR CSVs must have a safe normalizer into intake-pack format without touching production files by default.,pass,info,CLI `normalize-alipay-positions` is available with candidate-output default and explicit `--write-pack` option,/Users/linzezhang/Documents/Codex/2026-06-12/codex-dev-automation-using-model-5/app/core/alipay_position_normalizer.py,None
fund_rule_normalizer,Data Quality,Current Alipay/fund-company rule OCR CSVs must have a safe normalizer into intake-pack fund-rule format without touching production files by default.,pass,info,CLI `normalize-fund-rules` is available with candidate-output default and explicit `--write-pack` option,/Users/linzezhang/Documents/Codex/2026-06-12/codex-dev-automation-using-model-5/app/core/fund_rule_normalizer.py,None
candidate_normalizer,Data Quality,Current candidate/source-chain OCR CSVs must have a safe normalizer into intake-pack candidate-universe format without touching production files by default.,pass,info,CLI `normalize-candidates` is available with candidate-output default and explicit `--write-pack` option,/Users/linzezhang/Documents/Codex/2026-06-12/codex-dev-automation-using-model-5/app/core/candidate_normalizer.py,None
intake_bundle_normalizer,Data Quality,"Holdings, fund-rule, and candidate normalizers must be available as a single staged intake-pack workflow that audits evidence and dry-runs promotion without touching production files.",pass,info,"CLI `normalize-intake-bundle` is available with staged pack write, source-evidence audit, promotion dry-run, and no production copy",/Users/linzezhang/Documents/Codex/2026-06-12/codex-dev-automation-using-model-5/app/core/intake_bundle_normalizer.py,None
final_zip_integrity,Deliverables,Final ZIP package must exist and pass archive integrity verification.,pass,info,364 members,/Users/linzezhang/Documents/Codex/2026-06-12/codex-dev-automation-using-model-5/outputs/package/serenity_daily_analysis_delivery.zip,None
final_zip_private_evidence_exclusion,Deliverables,Final ZIP must exclude private evidence directories unless explicitly requested.,pass,info,no private evidence members found,/Users/linzezhang/Documents/Codex/2026-06-12/codex-dev-automation-using-model-5/outputs/package/serenity_daily_analysis_delivery.zip,None
readiness_report_package_consistency,Deliverables,Formal readiness report must match the latest package manifest member count and private-evidence status.,pass,info,"report matches package member_count=364, private_members=0",/Users/linzezhang/Documents/Codex/2026-06-12/codex-dev-automation-using-model-5/outputs/preflight/PRODUCTION_READINESS_REPORT.md,None
readiness_report_benchmark_consistency,Deliverables,"Formal readiness report benchmark row counts, dates, and 1m/3m/10d returns must match current benchmark history.",pass,info,"000001.SH: rows=71, latest=2026-06-12; SPX: rows=73, latest=2026-06-12",/Users/linzezhang/Documents/Codex/2026-06-12/codex-dev-automation-using-model-5/outputs/preflight/PRODUCTION_READINESS_REPORT.md,None
production_preflight,Production Gate,"Production execution must only unlock when baseline candidate universe, fund rules, benchmark sources, scheduler, Mail, and MooMoo gates pass; Alipay holdings are optional overlay data.",pass,info,production_ready=True; blockers=[],/Users/linzezhang/Documents/Codex/2026-06-12/codex-dev-automation-using-model-5/outputs/preflight/preflight_latest.json,None
readiness_report_preflight_consistency,Deliverables,Formal readiness report production-ready/blocked status must match the latest production preflight result.,pass,info,report production-ready language matches preflight production_ready=True,/Users/linzezhang/Documents/Codex/2026-06-12/codex-dev-automation-using-model-5/outputs/preflight/PRODUCTION_READINESS_REPORT.md,None
shadow_ready_gate,Production Gate,"When production data is incomplete, system must remain runnable in shadow mode only.",warn,warn,"shadow_ready=True, production_ready=True",/Users/linzezhang/Documents/Codex/2026-06-12/codex-dev-automation-using-model-5/outputs/preflight/preflight_latest.json,None
mail_send_config_gate,Notification,Production alert delivery must have real Apple Mail sending enabled before rebalance or urgent risk alerts can claim readiness.,pass,info,"{'mail_send_enabled': True, 'recipient_email': 'linzezhang35@gmail.com', 'env_var': 'SERENITY_MAIL_SEND_ENABLED'}",/Users/linzezhang/Documents/Codex/2026-06-12/codex-dev-automation-using-model-5/outputs/preflight/preflight_latest.json,None
moomoo_opend_gate,Data Source,MooMoo/OpenD socket and SDK must be available; OpenD lifecycle must respect user-opened process ownership.,pass,info,OpenD socket reachable at 127.0.0.1:11111; Python import `moomoo` is available; installed distribution version=10.6.6608,/Users/linzezhang/Documents/Codex/2026-06-12/codex-dev-automation-using-model-5/outputs/preflight/preflight_latest.json,None
benchmark_gate,Benchmark,"Shanghai Composite and S&P 500 must have 1m, 3m, and recent 10 trading day comparison data.",pass,info,"{'production_ready_by_benchmark': {'S&P 500': True, 'Shanghai Composite': True}, 'proxy_available': {'S&P 500': True, 'Shanghai Composite': False}, 'json_path': '/Users/linzezhang/Documents/Codex/2026-06-12/codex-dev-automation-using-model-5/outputs/preflight/benchmark_smoke_latest.json', 'markdown_path': '/Users/linzezhang/Documents/Codex/2026-06-12/codex-dev-automation-using-model-5/outputs/preflight/benchmark_smoke_latest.md'}",/Users/linzezhang/Documents/Codex/2026-06-12/codex-dev-automation-using-model-5/outputs/preflight/preflight_latest.json,None
intake_pack_user_facing_path_redaction,Safety,Production intake-pack user-facing Markdown/CSV helpers must not expose absolute local paths or user-home identifiers.,pass,info,no intake-pack user-facing local path markers found,/Users/linzezhang/Documents/Codex/2026-06-12/codex-dev-automation-using-model-5/outputs/intake_pack,None
intake_validation,Data Quality,"NAV/holding freshness, fees, redemption status, official source count, conflicts, and aggregated fallback must be validated and timestamped.",pass,warn,"block_count=0, warn_count=6, block_areas=[]",/Users/linzezhang/Documents/Codex/2026-06-12/codex-dev-automation-using-model-5/outputs/preflight/intake_validation_latest.json,None
intake_promotion_safety,Data Quality,Filled intake pack must be blocked when placeholders remain and backed up before production copy.,pass,info,"applied=False, placeholder_blocked=True, production_ready=False",/Users/linzezhang/Documents/Codex/2026-06-12/codex-dev-automation-using-model-5/outputs/intake_pack/promotion_latest.json,None
holdings_review_matrix,Data Quality,Discovered local holding candidates must be triaged into a review matrix before manual promotion.,pass,info,"review_rows=28, matrix_exists=True, row_production_candidate_count=0, stale_or_missing_date_count=28, special_rule_count=12",/Users/linzezhang/Documents/Codex/2026-06-12/codex-dev-automation-using-model-5/outputs/preflight/holdings_discovery_latest.json,None
holdings_discovery_markdown_redaction,Safety,Holdings discovery Markdown must not expose absolute local paths or user-home identifiers.,pass,info,no absolute local path markers found,/Users/linzezhang/Documents/Codex/2026-06-12/codex-dev-automation-using-model-5/outputs/preflight/holdings_discovery_latest.md,None
intake_review_prefill,Data Quality,Production intake pack should include review-matrix assisted holding prefill and special-fund checklist files.,pass,info,"review_prefill_rows=28, special_checklist_rows=12, helper_ready=True",/Users/linzezhang/Documents/Codex/2026-06-12/codex-dev-automation-using-model-5/outputs/intake_pack,None
intake_fund_rule_review_helper,Data Quality,Production intake pack should include per-holding fund-rule source queries and required execution fields.,pass,info,"fund_rule_helper_rows=28, helper_ready=True",/Users/linzezhang/Documents/Codex/2026-06-12/codex-dev-automation-using-model-5/outputs/intake_pack/08_fund_rules_from_review_checklist.csv,None
intake_candidate_source_helper,Data Quality,Production intake pack should include per-holding candidate source-chain queries for filling candidate universe evidence.,pass,info,"candidate_helper_rows=28, helper_ready=True",/Users/linzezhang/Documents/Codex/2026-06-12/codex-dev-automation-using-model-5/outputs/intake_pack/09_candidate_source_review_prefill.csv,None
sqlite_schema,Archive,SQLite DB must include run/source/score/recommendation/comparison/notification/missing/manual-review/decision audit tables.,pass,info,missing_tables=[],/Users/linzezhang/Documents/Codex/2026-06-12/codex-dev-automation-using-model-5/data/serenity_daily.sqlite,None
history_integrity_append_only,Archive,"Previously observed historical rows and artifacts must remain append-only: no edits, deletes, overwrites, or rerendered past facts.",pass,info,"baseline=/Users/linzezhang/Documents/Codex/2026-06-12/codex-dev-automation-using-model-5/outputs/audit/history_integrity_baseline.json, violations=0, latest_manifest=/Users/linzezhang/Documents/Codex/2026-06-12/codex-dev-automation-using-model-5/outputs/audit/history_integrity_latest.json",/Users/linzezhang/Documents/Codex/2026-06-12/codex-dev-automation-using-model-5/outputs/audit/history_integrity_latest.json,None
latest_strategy_report,Reporting,Latest strategy run must have Markdown and offline HTML reports.,pass,info,"run_id=sda_20260613T094539Z_r7_31fb1cc3, status=success, data_quality_status=pass, markdown=True, html=True",/Users/linzezhang/Documents/Codex/2026-06-12/codex-dev-automation-using-model-5/data/reports/sda_20260613T094539Z_r7_31fb1cc3_report.md,None
production_slot_backfill_verified,Automation,Latest production verification must be a non-dry-run Beijing business-day slot with data-quality pass and sent Mail/local notification evidence.,pass,info,"run_id=sda_20260613T094539Z_r7_31fb1cc3, run_time_bj=2026-06-15T14:30:00+08:00, verification_kind=future_controlled_backfill, tick_action=ran, dry_run=0, sent_notifications=1",/Users/linzezhang/Documents/Codex/2026-06-12/codex-dev-automation-using-model-5/data/serenity_daily.sqlite,None
offline_web_index_updates_latest,Web,Offline web report index must update to include the latest production verification run.,pass,info,"index=/Users/linzezhang/Documents/Codex/2026-06-12/codex-dev-automation-using-model-5/data/reports/index.html, latest_html=sda_20260613T094539Z_r7_31fb1cc3_report.html, linked=True",/Users/linzezhang/Documents/Codex/2026-06-12/codex-dev-automation-using-model-5/data/reports/index.html,None
source_traceability,Evidence,Every run must persist source traceability records.,pass,info,"run_id=sda_20260613T094539Z_r7_31fb1cc3, source_log_rows=16",/Users/linzezhang/Documents/Codex/2026-06-12/codex-dev-automation-using-model-5/data/serenity_daily.sqlite,None
top5_weights,Recommendation,All-market mixed Top5 candidate pool and target weights must be produced.,pass,info,"run_id=sda_20260613T094539Z_r7_31fb1cc3, top5_weight_rows=5",/Users/linzezhang/Documents/Codex/2026-06-12/codex-dev-automation-using-model-5/data/serenity_daily.sqlite,None
score_grade_mapping,Scoring,"Scoring must map candidates to Action-Ready, Watch, Manual Review, or Block bands.",pass,info,"run_id=sda_20260613T094539Z_r7_31fb1cc3, distinct_grade_count=3",/Users/linzezhang/Documents/Codex/2026-06-12/codex-dev-automation-using-model-5/data/serenity_daily.sqlite,None
conservative_exclusion,Filtering,Bond/money/Yuebao/conservative assets must be excluded from aggressive candidate pool.,pass,info,excluded_bond_like_assets=1,/Users/linzezhang/Documents/Codex/2026-06-12/codex-dev-automation-using-model-5/data/serenity_daily.sqlite,None
hard_risk_gate_evidence,Risk,MDD >=40% and recovery >=365 days must create Block/Manual Review evidence.,pass,info,"run_id=sda_20260613T094539Z_r7_31fb1cc3, hard_gate_review_rows=0, regression_status=pass, passed_cases=['max_drawdown_block', 'recovery_time_block']",/Users/linzezhang/Documents/Codex/2026-06-12/codex-dev-automation-using-model-5/outputs/tests/risk_gate_regression_latest.json,None
same_day_and_period_comparisons,Comparison,Reports must compare same-day slots and previous day/week/month snapshots.,pass,info,"run_id=sda_20260613T094539Z_r7_31fb1cc3, comparison_types=['previous_day', 'previous_month', 'previous_week', 'same_day_previous']",/Users/linzezhang/Documents/Codex/2026-06-12/codex-dev-automation-using-model-5/data/serenity_daily.sqlite,None
discipline_actions,Discipline,Serenity baseline reference vs target weights must produce Maintain/Reduce/Increase/Pause/Clear discipline labels; rebalance events are required only when thresholds fire.,pass,info,"run_id=sda_20260613T094539Z_r7_31fb1cc3, decision_rows=5, rebalance_events=1",/Users/linzezhang/Documents/Codex/2026-06-12/codex-dev-automation-using-model-5/data/serenity_daily.sqlite,None
notification_drafts,Notification,Triggering rebalance/risk/watch conditions must create Mail-ready and local-notification artifacts.,pass,info,"run_id=sda_20260613T094539Z_r7_31fb1cc3, notification_rows=3",/Users/linzezhang/Documents/Codex/2026-06-12/codex-dev-automation-using-model-5/data/serenity_daily.sqlite,None
execution_lock_zero_order,Safety,"When latest strategy run is not data-quality pass, reports and notifications must force No-New-Order with suggested amount 0.00 and suggested units 0.",pass,info,"data_quality_status=pass, report_locked=False, notification_locked=False",/Users/linzezhang/Documents/Codex/2026-06-12/codex-dev-automation-using-model-5/data/reports/sda_20260613T094539Z_r7_31fb1cc3_report.md,None
moomoo_kline_archive,Data Source,Read-only MooMoo K-line collection must persist K-line rows and source evidence.,pass,info,moomoo_kline_rows=253,/Users/linzezhang/Documents/Codex/2026-06-12/codex-dev-automation-using-model-5/data/serenity_daily.sqlite,None
source_evidence_sqlite_archive,Evidence,Source evidence audit rows must be persisted in SQLite for future comparison and review.,pass,info,"source_evidence_rows=316, audit_runs=16",/Users/linzezhang/Documents/Codex/2026-06-12/codex-dev-automation-using-model-5/data/serenity_daily.sqlite,None
test_evidence,Testing,Validation summary must record current test pass evidence.,pass,info,found `101 passed`,/Users/linzezhang/Documents/Codex/2026-06-12/codex-dev-automation-using-model-5/outputs/tests/VALIDATION_SUMMARY.md,None
benchmark_language_boundary,Safety,System may target benchmark outperformance but must not guarantee future outperformance.,pass,info,readiness report includes no-guarantee language,/Users/linzezhang/Documents/Codex/2026-06-12/codex-dev-automation-using-model-5/outputs/preflight/PRODUCTION_READINESS_REPORT.md,None
formal_report_path_redaction,Safety,Formal user-facing readiness report must not expose absolute local paths or user-home identifiers.,pass,info,no absolute local path markers found,/Users/linzezhang/Documents/Codex/2026-06-12/codex-dev-automation-using-model-5/outputs/preflight/PRODUCTION_READINESS_REPORT.md,None
auxiliary_markdown_path_redaction,Safety,Auxiliary user-facing Markdown reports must not expose absolute local paths or user-home directories.,pass,info,no auxiliary Markdown local path markers found,/Users/linzezhang/Documents/Codex/2026-06-12/codex-dev-automation-using-model-5/outputs/preflight,None
