finding_id,source_ids,history_item_ids,domain,summary,current_status,priority,fact_level,priority_basis,prior_evidence_refs,prior_evidence_as_of,current_evidence_refs,current_evidence_as_of,current_evidence_result,roadmap_resolution_tasks,blocks_phase_0_3_candidate,blocks_v025_production_acceptance,rationale
PFI-V025-FND-011,SUR-06,NOT_APPLICABLE,time_truth,temporal/timezone truth 未闭环,StillPresent,P1,EXTRACTED,AUDIT-P1-FORMULA,NOT_APPLICABLE,NOT_APPLICABLE,P03_TERM,2026-07-12T01:09:30.659834+10:00,required_production_proof_missing,S2-P2-T1;S2-P2-T2;S2-P2-T3,false,true,classification=StillPresent;priority_inherited_from=AUDIT-P1-FORMULA;current_predicate=required_production_proof_missing
PFI-V025-FND-012,SUR-12,NOT_APPLICABLE,fx_truth,frontend 仍硬编码旧 FX snapshot/rate,StillPresent,P0,VERIFIED,AUDIT-P0-METRIC,NOT_APPLICABLE,NOT_APPLICABLE,CURRENT_WEB;P03_TERM,2026-07-12T01:09:30.659834+10:00,reproduced,S2-P2-T2;S2-P2-T3;S5-P1-T3,false,true,classification=StillPresent;priority_inherited_from=AUDIT-P0-METRIC;current_predicate=reproduced
PFI-V025-FND-013,SUR-04,NOT_APPLICABLE,quality_model,单一 confidence 混合质量维度,StillPresent,P1,VERIFIED,AUDIT-P1-FORMULA,NOT_APPLICABLE,NOT_APPLICABLE,CURRENT_WEB;PFI/src/pfi_os/application/read_model_status.py;P03_TERM,2026-07-12T01:09:30.659834+10:00,reproduced,S5-P1-T4,false,true,classification=StillPresent;priority_inherited_from=AUDIT-P1-FORMULA;current_predicate=reproduced
PFI-V025-FND-014,R-03;SUR-05,NOT_APPLICABLE,ledger_lineage,dual-consumption gross activity/lineage 未 fresh 验证,StillPresent,P0,EXTRACTED,R-03,NOT_APPLICABLE,NOT_APPLICABLE,P03_TERM,2026-07-12T01:09:30.659834+10:00,required_production_proof_missing,S3-P2-T2;S3-P2-T3;S5-P2-T1,false,true,classification=StillPresent;priority_inherited_from=R-03;current_predicate=required_production_proof_missing
PFI-V025-FND-015,AUD-07,HIST-NAV-COUNT-06;HIST-NAV-COUNT-08;HIST-NAV-COUNT-09;HIST-NAV-COUNT-15;HIST-NAV-COUNT-16;HIST-MARKET-PRIMARY-BAN;HIST-ALIASES-AS-PRIMARY,navigation,static source primary labels 已固定为 10,Fixed,P0,VERIFIED,AUDIT-P0-ROUTE,NOT_APPLICABLE,NOT_APPLICABLE,CURRENT_WEB;P02_ACTIVE;P03_TERM,2026-07-12T01:09:30.659834+10:00,fixed_within_static_source_scope,S6-P1-T1;S12-P1-T1,false,false,scope_limit=static_source_scope;priority_inherited_from=AUDIT-P0-ROUTE;production_acceptance_not_implied
PFI-V025-FND-016,AUD-08;R-04;SUR-07,NOT_APPLICABLE,ui_accessibility,rendered DOM/a11y/no-JS 无 no-16-stack evidence,StillPresent,P0,EXTRACTED,R-04,NOT_APPLICABLE,NOT_APPLICABLE,P01_EVID;P03_TERM,2026-07-12T01:09:30.659834+10:00,required_production_proof_missing,S6-P1-T4;S6-P2-T4;S6-P3-T3,false,true,classification=StillPresent;priority_inherited_from=R-04;current_predicate=required_production_proof_missing
PFI-V025-FND-017,PFI-V025-CONFLICT-STALE-ROUTE-MARKERS;PFI-V025-CONFLICT-ROUTE-TARGET-GAP,NOT_APPLICABLE,routing,target routes/current aliases 与旧 markers 不一致,StillPresent,P0,VERIFIED,AUDIT-P0-ROUTE,NOT_APPLICABLE,NOT_APPLICABLE,P02_ACTIVE;CURRENT_WEB;P03_TERM,2026-07-12T01:09:30.659834+10:00,reproduced,S1-P1-T1;S6-P1-T1;S6-P1-T2;S6-P1-T3;S12-P3-T1,false,true,classification=StillPresent;priority_inherited_from=AUDIT-P0-ROUTE;current_predicate=reproduced
PFI-V025-FND-018,AUD-09,NOT_APPLICABLE,routing_workflow,click/deep-link/history/back-forward 未 fresh 验证,StillPresent,P0,EXTRACTED,AUDIT-P0-ROUTE,NOT_APPLICABLE,NOT_APPLICABLE,P01_EVID;P03_TERM,2026-07-12T01:09:30.659834+10:00,required_production_proof_missing,S6-P3-T1;S6-P3-T2;S6-P3-T3;S12-P1-T1,false,true,classification=StillPresent;priority_inherited_from=AUDIT-P0-ROUTE;current_predicate=required_production_proof_missing
PFI-V025-FND-019,AUD-10;R-06,HIST-DARK-AI-CONSOLE;HIST-TASKPACK-LONGPAGE-PHONE-MOCKUP;HIST-SIDE-REVIEW-HTML;REF-APPROVED-HTML-DIRECTION,ui_content,mechanical shell/template text 仍存在,StillPresent,P0,VERIFIED,R-06,NOT_APPLICABLE,NOT_APPLICABLE,CURRENT_WEB;P03_TERM,2026-07-12T01:09:30.659834+10:00,reproduced,S6-P2-T1;S6-P2-T2;S8-P1-T2;S12-P1-T4,false,true,classification=StillPresent;priority_inherited_from=R-06;current_predicate=reproduced
PFI-V025-FND-020,R-05,NOT_APPLICABLE,persistence,localStorage/toast 可能冒充 persistence,StillPresent,P0,VERIFIED,R-05,NOT_APPLICABLE,NOT_APPLICABLE,CURRENT_WEB;P03_TERM,2026-07-12T01:09:30.659834+10:00,reproduced,S7-P2-T1;S7-P2-T2;S7-P2-T3;S7-P2-T4,false,true,classification=StillPresent;priority_inherited_from=R-05;current_predicate=reproduced
PFI-V025-FND-021,R-07,NOT_APPLICABLE,reporting,report source 已有 formula/parameter/sample/source fields,Fixed,P0,VERIFIED,R-07,NOT_APPLICABLE,NOT_APPLICABLE,PFI/web/app/pages/reports.js;CURRENT_WEB;P03_TERM,2026-07-12T01:09:30.659834+10:00,fixed_within_static_structure_scope,S9-P1-T1;S9-P1-T2;S9-P1-T3;S9-P1-T4;S9-P2-T1;S9-P2-T2;S9-P2-T3;S9-P2-T4,false,false,scope_limit=static_structure_scope;priority_inherited_from=R-07;production_acceptance_not_implied
PFI-V025-FND-022,R-08,NOT_APPLICABLE,workflow_jobs,timer-driven fake progress path 仍存在,StillPresent,P1,VERIFIED,R-08,NOT_APPLICABLE,NOT_APPLICABLE,CURRENT_WEB;P03_TERM,2026-07-12T01:09:30.659834+10:00,reproduced,S8-P2-T2;S8-P2-T4;S10-P1-T4,false,true,classification=StillPresent;priority_inherited_from=R-08;current_predicate=reproduced
PFI-V025-FND-023,AUD-15;R-09;SUR-11,NOT_APPLICABLE,database,SQLite version/WAL/holding production gate 未完成,StillPresent,P0,EXTRACTED,R-09,NOT_APPLICABLE,NOT_APPLICABLE,P01_EVID;P01_REPO;P03_TERM,2026-07-12T01:09:30.659834+10:00,required_production_proof_missing,S11-P1-T1;S11-P1-T2,false,true,classification=StillPresent;priority_inherited_from=R-09;current_predicate=required_production_proof_missing
PFI-V025-FND-024,R-10,ARCH-DURABLE-OPS-BACKUP-RESTORE,operations,backup/restore/atomic rollback 无 fresh proof,StillPresent,P0,EXTRACTED,R-10,NOT_APPLICABLE,NOT_APPLICABLE,P01_EVID;P03_TERM,2026-07-12T01:09:30.659834+10:00,required_production_proof_missing,S11-P2-T1;S11-P2-T2;S11-P2-T3;S11-P2-T4;S12-P2-T3,false,true,classification=StillPresent;priority_inherited_from=R-10;current_predicate=required_production_proof_missing
PFI-V025-FND-025,AUD-13;R-11;SUR-08,HIST-PFI-OS-SECOND-ROOT;ARCH-SINGLE-UI-AND-REAL-RUNTIME,public_shell,public shell/PFI OS 非第二 UI 尚未 runtime 验证,StillPresent,P1,EXTRACTED,R-11,NOT_APPLICABLE,NOT_APPLICABLE,P01_EVID;P03_TERM,2026-07-12T01:09:30.659834+10:00,required_production_proof_missing,S11-P3-T1;S11-P3-T3,false,true,classification=StillPresent;priority_inherited_from=R-11;current_predicate=required_production_proof_missing
PFI-V025-FND-026,R-13;SUR-10,NOT_APPLICABLE,privacy,Phase 0.1/0.2 evidence privacy scan 为零,Fixed,P0,VERIFIED,R-13,NOT_APPLICABLE,NOT_APPLICABLE,P01_EVID;P02_EVID;P02_ATTEST;P03_TERM,2026-07-12T01:09:30.659834+10:00,fixed_within_stage0_evidence_scope,S2-P3-T2;S10-P3-T2;S11-P3-T3,false,false,scope_limit=stage0_evidence_scope;priority_inherited_from=R-13;production_acceptance_not_implied
PFI-V025-FND-027,R-14;SUR-09,NOT_APPLICABLE,owner_truth,旧 owner docs 仍用 bare `1` 作 acceptance source,StillPresent,P0,VERIFIED,R-14,NOT_APPLICABLE,NOT_APPLICABLE,CURRENT_OWNER;P03_TERM,2026-07-12T01:09:30.659834+10:00,reproduced,S0-P3-T1;S12-P3-T3;S12-P3-T4,false,true,classification=StillPresent;priority_inherited_from=R-14;current_predicate=reproduced
PFI-V025-FND-028,R-15,ARCH-DETERMINISTIC-CORE-NO-AUTOTRADE,scope,v0.2.5 LLM/advanced-model scope expansion 已被禁止,Fixed,P1,EXTRACTED,R-15,NOT_APPLICABLE,NOT_APPLICABLE,P02_ACTIVE;PFI/docs/pfi_v025/stage_0/scope_boundary.md,2026-07-11T22:04:51+10:00,fixed_within_scope_contract,S0-P2-T3,false,false,scope_limit=scope_contract;priority_inherited_from=R-15;production_acceptance_not_implied
PFI-V025-FND-029,P01-RISK-10,HIST-FAILURE-EVIDENCE;REF-FAST-DEEP-PATH,production_acceptance,full tests/browser/UAT 尚未运行,StillPresent,P0,EXTRACTED,AUDIT-P0-PRODUCTION,NOT_APPLICABLE,NOT_APPLICABLE,P01_EVID;P03_TERM,2026-07-12T01:09:30.659834+10:00,required_production_proof_missing,S12-P1-T1;S12-P1-T2;S12-P1-T3;S12-P1-T4;S12-P2-T4,false,true,classification=StillPresent;priority_inherited_from=AUDIT-P0-PRODUCTION;current_predicate=required_production_proof_missing
PFI-V025-FND-030,P01-RISK-03;P01-CONFLICT:FORMAL_UI_HOME_SOURCE_MISSING,NOT_APPLICABLE,formal_ui,`PFI/web/app/home.js` 是未被需求指定的 legacy path；正式首页源 `PFI/web/app/pages/home.js` 已存在并被加载,N/A,P1,VERIFIED,SUBFINDING-FND-003-P1,NOT_APPLICABLE,NOT_APPLICABLE,CURRENT_WEB;P03_CORRECTION,2026-07-12T04:32:58+10:00,superseded_or_non_applicable,S1-P1-T3;S6-P2-T1;S6-P2-T2,false,false,non_gap_reason=non_designated_legacy_home_path;formal_home_source=PFI/web/app/pages/home.js;legacy_path=PFI/web/app/home.js;priority_inherited_from=SUBFINDING-FND-003-P1
PFI-V025-FND-031,P01-RISK-09,NOT_APPLICABLE,read_model,read_model_hash 含 generated_at 导致跨调用不稳,New,P1,VERIFIED,AUDIT-P1-FORMULA,NOT_APPLICABLE,NOT_APPLICABLE,P01_RISK;PFI/src/pfi_os/application/read_model_status.py;P03_TERM,2026-07-12T01:09:30.659834+10:00,new_current_fact,S4-P3-T2,false,true,source_universe_non_match=no_same_predicate_prior_generated_at_hash_input_determinism_fact;priority_inherited_from=AUDIT-P1-FORMULA
PFI-V025-FND-032,AUD-14,NOT_APPLICABLE,syntax,shell.js syntax unknown 已消除,Fixed,P1,VERIFIED,SUBFINDING-FND-029-P1,NOT_APPLICABLE,NOT_APPLICABLE,P03_TERM,2026-07-12T01:09:30.659834+10:00,fixed_within_syntax_scope,S12-P1-T1,false,false,scope_limit=syntax_scope;priority_inherited_from=SUBFINDING-FND-029-P1;production_acceptance_not_implied
PFI-V025-FND-033,P02-RISK-02;PFI-V025-CONFLICT-GOVERNANCE-SCOPE,NOT_APPLICABLE,governance_lifecycle,Phase 0.2 governance override 已由 external attestation 解析,Fixed,P1,VERIFIED,PHASE-GATE-P1,P02_EVID,2026-07-11T22:04:51+10:00,P02_ATTEST,2026-07-11T22:05:36.224481+10:00,fixed_within_phase02_scope,S0-P3-T1;S0-P3-T3,false,false,scope_limit=phase02_scope;priority_inherited_from=PHASE-GATE-P1;production_acceptance_not_implied
PFI-V025-FND-034,P02-LIFECYCLE-COMPARISON,NOT_APPLICABLE,governance_lifecycle,tracked precommit pending 与 external final resolved 是设计分层,N/A,P0,EXTRACTED,PHASE-GATE-P0,NOT_APPLICABLE,NOT_APPLICABLE,P02_EVID;P02_ATTEST,2026-07-11T22:05:36.224481+10:00,superseded_or_non_applicable,S0-P3-T3,false,false,non_gap_reason=tracked_precommit_and_external_final_are_intentional_lifecycle_layers;priority_inherited_from=PHASE-GATE-P0
PFI-V025-FND-035,P02-RISK-03,NOT_APPLICABLE,parameter_governance,legacy parameter owner consistency baseline 仍为 3 pass/5 fail,StillPresent,P0,VERIFIED,R-12,NOT_APPLICABLE,NOT_APPLICABLE,P02_EVID;P03_TERM,2026-07-12T01:09:30.659834+10:00,reproduced,S0-P3-T1;S12-P3-T1,false,true,classification=StillPresent;priority_inherited_from=R-12;current_predicate=reproduced
PFI-V025-FND-036,P01-RISK-01,NOT_APPLICABLE,legacy_tooling,v0.2.4 live verifier 不可重放,N/A,P2,EXTRACTED,DIAGNOSTIC-P2,NOT_APPLICABLE,NOT_APPLICABLE,P01_EVID,2026-07-11T08:52:55+10:00,superseded_or_non_applicable,S12-P3-T2;S12-P3-T4,false,false,non_gap_reason=v024_live_verifier_replay_is_not_required_by_current_v025_contract;priority_inherited_from=DIAGNOSTIC-P2
PFI-V025-FND-037,P02-RISK-04,NOT_APPLICABLE,tooling,PyYAML 缺失由 repository fallback 等价 gate处理,N/A,P2,EXTRACTED,DIAGNOSTIC-P2,NOT_APPLICABLE,NOT_APPLICABLE,P02_EVID,2026-07-11T22:04:51+10:00,superseded_or_non_applicable,S0-P3-T3,false,false,non_gap_reason=repository_fallback_is_the_current_equivalent_yaml_gate;priority_inherited_from=DIAGNOSTIC-P2
PFI-V025-FND-038,P02-RISK-05,NOT_APPLICABLE,remote_attestation,Phase 0.2 remote movement由 no-ref-mutation attestation处理,Fixed,P1,VERIFIED,PHASE-GATE-P1,P02_EVID,2026-07-11T22:04:51+10:00,P02_ATTEST,2026-07-11T22:05:36.224481+10:00,fixed_within_phase02_remote_scope,S12-P3-T4,false,false,scope_limit=phase02_remote_scope;priority_inherited_from=PHASE-GATE-P1;production_acceptance_not_implied
