source_family,source_id,source_title,source_status,disposition,disposition_reason,current_evidence,v1_2_task_ids,v1_2_acceptance_ids,source_ref
V0_1_TASK,ADP-S1-P01-T011,由 Manifest 生成 Status/部署文档,NOT_STARTED_DEAD_CONFIG_PRESERVED,INHERITED_PROVEN,迁移闭合验收已证明当前仓位、live/build、治理或机器事实；v1.2 只做回归保护。,arxiv-daily-push/docs/HANDOFF.md;arxiv-daily-push/docs/archive/taskpacks/2026-07-20/ADP_META_MIGRATION_e1af471c_2026-07-20_acceptance_review_taskpack.zip,ADP-V12-S0-T001;ADP-V12-S6-T001,ACC-V12-S0-004;ACC-V12-S6-001,INPUT-V01!ADP_V0.1_FINAL_EXECUTION_TASK_PACKAGE_2026-07-15/06_TASK_INDEX.csv#task_id=ADP-S1-P01-T011
V0_1_TASK,ADP-S1-P02-T012,定义统一 Source Registry Schema,NOT_STARTED_DEAD_CONFIG_PRESERVED,V1_2_ACTIVE,该历史能力仍影响 v1.2，但以更小、可验证的当前 Task 和 Oracle 重述。,arxiv-daily-push/docs/pursuing_goal/v1_2/TECHNICAL_DESIGN.md,ADP-V12-S1-T001;ADP-V12-S2-T001;ADP-V12-S3-T001,ACC-V12-S1-005;ACC-V12-S2-001;ACC-V12-S3-001,INPUT-V01!ADP_V0.1_FINAL_EXECUTION_TASK_PACKAGE_2026-07-15/06_TASK_INDEX.csv#task_id=ADP-S1-P02-T012
V0_1_TASK,ADP-S1-P02-T013,迁移现有全部来源到 Registry,NOT_STARTED_DEAD_CONFIG_PRESERVED,V1_2_ACTIVE,该历史能力仍影响 v1.2，但以更小、可验证的当前 Task 和 Oracle 重述。,arxiv-daily-push/docs/pursuing_goal/v1_2/TECHNICAL_DESIGN.md,ADP-V12-S1-T001;ADP-V12-S2-T001;ADP-V12-S3-T001,ACC-V12-S1-005;ACC-V12-S2-002;ACC-V12-S3-001,INPUT-V01!ADP_V0.1_FINAL_EXECUTION_TASK_PACKAGE_2026-07-15/06_TASK_INDEX.csv#task_id=ADP-S1-P02-T013
V0_1_TASK,ADP-S1-P02-T014,实现 Registry 编译器与确定性输出,NOT_STARTED_DEAD_CONFIG_PRESERVED,V1_2_ACTIVE,该历史能力仍影响 v1.2，但以更小、可验证的当前 Task 和 Oracle 重述。,arxiv-daily-push/docs/pursuing_goal/v1_2/TECHNICAL_DESIGN.md,ADP-V12-S1-T001;ADP-V12-S2-T001;ADP-V12-S3-T001,ACC-V12-S1-005;ACC-V12-S2-001;ACC-V12-S3-001,INPUT-V01!ADP_V0.1_FINAL_EXECUTION_TASK_PACKAGE_2026-07-15/06_TASK_INDEX.csv#task_id=ADP-S1-P02-T014
V0_1_TASK,ADP-S1-P02-T015,加入 Source Drift CI,NOT_STARTED_DEAD_CONFIG_PRESERVED,V1_2_ACTIVE,该历史能力仍影响 v1.2，但以更小、可验证的当前 Task 和 Oracle 重述。,arxiv-daily-push/docs/pursuing_goal/v1_2/TECHNICAL_DESIGN.md,ADP-V12-S1-T001;ADP-V12-S2-T001;ADP-V12-S3-T001,ACC-V12-S1-005;ACC-V12-S2-001;ACC-V12-S3-001,INPUT-V01!ADP_V0.1_FINAL_EXECUTION_TASK_PACKAGE_2026-07-15/06_TASK_INDEX.csv#task_id=ADP-S1-P02-T015
V0_1_TASK,ADP-S1-P03-T016,建立五板块 Factsheet Schema 与确定性抽取,NOT_STARTED_DEAD_CONFIG_PRESERVED,V1_2_ACTIVE,该历史能力仍影响 v1.2，但以更小、可验证的当前 Task 和 Oracle 重述。,arxiv-daily-push/docs/pursuing_goal/v1_2/TECHNICAL_DESIGN.md,ADP-V12-S4-T001,ACC-V12-S4-001,INPUT-V01!ADP_V0.1_FINAL_EXECUTION_TASK_PACKAGE_2026-07-15/06_TASK_INDEX.csv#task_id=ADP-S1-P03-T016
V0_1_TASK,ADP-S1-P03-T017,建立当前 200 样本内容缺陷基线,NOT_STARTED_DEAD_CONFIG_PRESERVED,V1_2_ACTIVE,该历史能力仍影响 v1.2，但以更小、可验证的当前 Task 和 Oracle 重述。,arxiv-daily-push/docs/pursuing_goal/v1_2/TECHNICAL_DESIGN.md,ADP-V12-S4-T001,ACC-V12-S4-001,INPUT-V01!ADP_V0.1_FINAL_EXECUTION_TASK_PACKAGE_2026-07-15/06_TASK_INDEX.csv#task_id=ADP-S1-P03-T017
V0_1_TASK,ADP-S1-P03-T018,实现 L0–L3 分层人话内容与 Evidence Locator,NOT_STARTED_DEAD_CONFIG_PRESERVED,V1_2_ACTIVE,该历史能力仍影响 v1.2，但以更小、可验证的当前 Task 和 Oracle 重述。,arxiv-daily-push/docs/pursuing_goal/v1_2/TECHNICAL_DESIGN.md,ADP-V12-S4-T001,ACC-V12-S4-001;ACC-V12-S4-002,INPUT-V01!ADP_V0.1_FINAL_EXECUTION_TASK_PACKAGE_2026-07-15/06_TASK_INDEX.csv#task_id=ADP-S1-P03-T018
V0_1_TASK,ADP-S1-P03-T019,实现确定性 QA、单次重试与 Factsheet 回退,NOT_STARTED_DEAD_CONFIG_PRESERVED,V1_2_ACTIVE,该历史能力仍影响 v1.2，但以更小、可验证的当前 Task 和 Oracle 重述。,arxiv-daily-push/docs/pursuing_goal/v1_2/TECHNICAL_DESIGN.md,ADP-V12-S4-T001,ACC-V12-S4-002,INPUT-V01!ADP_V0.1_FINAL_EXECUTION_TASK_PACKAGE_2026-07-15/06_TASK_INDEX.csv#task_id=ADP-S1-P03-T019
V0_1_TASK,ADP-S1-P03-T020,建立 500 条 Golden Set 与内容 Release Gate,NOT_STARTED_DEAD_CONFIG_PRESERVED,V1_2_ACTIVE,该历史能力仍影响 v1.2，但以更小、可验证的当前 Task 和 Oracle 重述。,arxiv-daily-push/docs/pursuing_goal/v1_2/TECHNICAL_DESIGN.md,ADP-V12-S4-T001,ACC-V12-S4-001;ACC-V12-S4-002,INPUT-V01!ADP_V0.1_FINAL_EXECUTION_TASK_PACKAGE_2026-07-15/06_TASK_INDEX.csv#task_id=ADP-S1-P03-T020
V0_1_TASK,ADP-S2-P01-T021,定义 R2 RawArtifact Key、Hash、压缩与元数据,NOT_STARTED_DEAD_CONFIG_PRESERVED,SUPERSEDED_WITH_REASON,该历史实施步骤保留在 v0.1 谱系，但 v1.2 不重新声明其完成；既有行为只受当前回归门保护。,arxiv-daily-push/docs/pursuing_goal/v1_2/PRD.md;arxiv-daily-push/docs/pursuing_goal/v1_2/ACCEPTANCE_CONTRACT.yaml,ADP-V12-S0-T001;ADP-V12-S6-T001,ACC-V12-S0-003;ACC-V12-S6-001,INPUT-V01!ADP_V0.1_FINAL_EXECUTION_TASK_PACKAGE_2026-07-15/06_TASK_INDEX.csv#task_id=ADP-S2-P01-T021
V0_1_TASK,ADP-S2-P01-T022,实现 Feature-flagged RawArtifact Dual-write,NOT_STARTED_DEAD_CONFIG_PRESERVED,SUPERSEDED_WITH_REASON,该历史实施步骤保留在 v0.1 谱系，但 v1.2 不重新声明其完成；既有行为只受当前回归门保护。,arxiv-daily-push/docs/pursuing_goal/v1_2/PRD.md;arxiv-daily-push/docs/pursuing_goal/v1_2/ACCEPTANCE_CONTRACT.yaml,ADP-V12-S0-T001;ADP-V12-S6-T001,ACC-V12-S0-003;ACC-V12-S6-001,INPUT-V01!ADP_V0.1_FINAL_EXECUTION_TASK_PACKAGE_2026-07-15/06_TASK_INDEX.csv#task_id=ADP-S2-P01-T022
V0_1_TASK,ADP-S2-P01-T023,运行 7 日/1000 Artifact Shadow 与成本性能报告,NOT_STARTED_DEAD_CONFIG_PRESERVED,SUPERSEDED_WITH_REASON,该历史实施步骤保留在 v0.1 谱系，但 v1.2 不重新声明其完成；既有行为只受当前回归门保护。,arxiv-daily-push/docs/pursuing_goal/v1_2/PRD.md;arxiv-daily-push/docs/pursuing_goal/v1_2/ACCEPTANCE_CONTRACT.yaml,ADP-V12-S0-T001;ADP-V12-S6-T001,ACC-V12-S0-003;ACC-V12-S6-001,INPUT-V01!ADP_V0.1_FINAL_EXECUTION_TASK_PACKAGE_2026-07-15/06_TASK_INDEX.csv#task_id=ADP-S2-P01-T023
V0_1_TASK,ADP-S2-P02-T024,定义 CanonicalDocument 身份、转载归并和去重规则,NOT_STARTED_DEAD_CONFIG_PRESERVED,SUPERSEDED_WITH_REASON,该历史实施步骤保留在 v0.1 谱系，但 v1.2 不重新声明其完成；既有行为只受当前回归门保护。,arxiv-daily-push/docs/pursuing_goal/v1_2/PRD.md;arxiv-daily-push/docs/pursuing_goal/v1_2/ACCEPTANCE_CONTRACT.yaml,ADP-V12-S0-T001;ADP-V12-S6-T001,ACC-V12-S0-003;ACC-V12-S6-001,INPUT-V01!ADP_V0.1_FINAL_EXECUTION_TASK_PACKAGE_2026-07-15/06_TASK_INDEX.csv#task_id=ADP-S2-P02-T024
V0_1_TASK,ADP-S2-P02-T025,实施 DocumentVersion Schema、迁移与回滚,NOT_STARTED_DEAD_CONFIG_PRESERVED,SUPERSEDED_WITH_REASON,该历史实施步骤保留在 v0.1 谱系，但 v1.2 不重新声明其完成；既有行为只受当前回归门保护。,arxiv-daily-push/docs/pursuing_goal/v1_2/PRD.md;arxiv-daily-push/docs/pursuing_goal/v1_2/ACCEPTANCE_CONTRACT.yaml,ADP-V12-S0-T001;ADP-V12-S6-T001,ACC-V12-S0-003;ACC-V12-S6-001,INPUT-V01!ADP_V0.1_FINAL_EXECUTION_TASK_PACKAGE_2026-07-15/06_TASK_INDEX.csv#task_id=ADP-S2-P02-T025
V0_1_TASK,ADP-S2-P02-T026,实现版本 Diff、模板噪声过滤与 Replay 幂等,NOT_STARTED_DEAD_CONFIG_PRESERVED,SUPERSEDED_WITH_REASON,该历史实施步骤保留在 v0.1 谱系，但 v1.2 不重新声明其完成；既有行为只受当前回归门保护。,arxiv-daily-push/docs/pursuing_goal/v1_2/PRD.md;arxiv-daily-push/docs/pursuing_goal/v1_2/ACCEPTANCE_CONTRACT.yaml,ADP-V12-S0-T001;ADP-V12-S6-T001,ACC-V12-S0-003;ACC-V12-S6-001,INPUT-V01!ADP_V0.1_FINAL_EXECUTION_TASK_PACKAGE_2026-07-15/06_TASK_INDEX.csv#task_id=ADP-S2-P02-T026
V0_1_TASK,ADP-S2-P03-T027,生成 Monthly Parquet Snapshot 与 Manifest,NOT_STARTED_DEAD_CONFIG_PRESERVED,SUPERSEDED_WITH_REASON,该历史实施步骤保留在 v0.1 谱系，但 v1.2 不重新声明其完成；既有行为只受当前回归门保护。,arxiv-daily-push/docs/pursuing_goal/v1_2/PRD.md;arxiv-daily-push/docs/pursuing_goal/v1_2/ACCEPTANCE_CONTRACT.yaml,ADP-V12-S0-T001;ADP-V12-S6-T001,ACC-V12-S0-003;ACC-V12-S6-001,INPUT-V01!ADP_V0.1_FINAL_EXECUTION_TASK_PACKAGE_2026-07-15/06_TASK_INDEX.csv#task_id=ADP-S2-P03-T027
V0_1_TASK,ADP-S2-P03-T028,用 DuckDB 独立验证开放历史,NOT_STARTED_DEAD_CONFIG_PRESERVED,SUPERSEDED_WITH_REASON,该历史实施步骤保留在 v0.1 谱系，但 v1.2 不重新声明其完成；既有行为只受当前回归门保护。,arxiv-daily-push/docs/pursuing_goal/v1_2/PRD.md;arxiv-daily-push/docs/pursuing_goal/v1_2/ACCEPTANCE_CONTRACT.yaml,ADP-V12-S0-T001;ADP-V12-S6-T001,ACC-V12-S0-003;ACC-V12-S6-001,INPUT-V01!ADP_V0.1_FINAL_EXECUTION_TASK_PACKAGE_2026-07-15/06_TASK_INDEX.csv#task_id=ADP-S2-P03-T028
V0_1_TASK,ADP-S2-P03-T029,执行备份恢复与生命周期演练,NOT_STARTED_DEAD_CONFIG_PRESERVED,SUPERSEDED_WITH_REASON,该历史实施步骤保留在 v0.1 谱系，但 v1.2 不重新声明其完成；既有行为只受当前回归门保护。,arxiv-daily-push/docs/pursuing_goal/v1_2/PRD.md;arxiv-daily-push/docs/pursuing_goal/v1_2/ACCEPTANCE_CONTRACT.yaml,ADP-V12-S0-T001;ADP-V12-S6-T001,ACC-V12-S0-003;ACC-V12-S6-001,INPUT-V01!ADP_V0.1_FINAL_EXECUTION_TASK_PACKAGE_2026-07-15/06_TASK_INDEX.csv#task_id=ADP-S2-P03-T029
V0_1_TASK,ADP-S2-P03-T030,Queue/Workflows 编排与成本决策实验,NOT_STARTED_DEAD_CONFIG_PRESERVED,SUPERSEDED_WITH_REASON,该历史实施步骤保留在 v0.1 谱系，但 v1.2 不重新声明其完成；既有行为只受当前回归门保护。,arxiv-daily-push/docs/pursuing_goal/v1_2/PRD.md;arxiv-daily-push/docs/pursuing_goal/v1_2/ACCEPTANCE_CONTRACT.yaml,ADP-V12-S0-T001;ADP-V12-S6-T001,ACC-V12-S0-003;ACC-V12-S6-001,INPUT-V01!ADP_V0.1_FINAL_EXECUTION_TASK_PACKAGE_2026-07-15/06_TASK_INDEX.csv#task_id=ADP-S2-P03-T030
V0_1_TASK,ADP-S3-P01-T031,实现最小 Official Connector Interface,NOT_STARTED_DEAD_CONFIG_PRESERVED,V1_2_ACTIVE,该历史能力仍影响 v1.2，但以更小、可验证的当前 Task 和 Oracle 重述。,arxiv-daily-push/docs/pursuing_goal/v1_2/TECHNICAL_DESIGN.md,ADP-V12-S1-T001;ADP-V12-S2-T001;ADP-V12-S3-T001,ACC-V12-S1-001;ACC-V12-S1-002;ACC-V12-S1-003;ACC-V12-S2-001;ACC-V12-S3-001,INPUT-V01!ADP_V0.1_FINAL_EXECUTION_TASK_PACKAGE_2026-07-15/06_TASK_INDEX.csv#task_id=ADP-S3-P01-T031
V0_1_TASK,ADP-S3-P01-T032,建立 Fixture 与 Contract Test Harness,NOT_STARTED_DEAD_CONFIG_PRESERVED,V1_2_ACTIVE,该历史能力仍影响 v1.2，但以更小、可验证的当前 Task 和 Oracle 重述。,arxiv-daily-push/docs/pursuing_goal/v1_2/TECHNICAL_DESIGN.md,ADP-V12-S1-T001;ADP-V12-S2-T001;ADP-V12-S3-T001,ACC-V12-S1-001;ACC-V12-S2-001;ACC-V12-S3-002,INPUT-V01!ADP_V0.1_FINAL_EXECUTION_TASK_PACKAGE_2026-07-15/06_TASK_INDEX.csv#task_id=ADP-S3-P01-T032
V0_1_TASK,ADP-S3-P01-T033,实现官方身份验证与 A0 标记,NOT_STARTED_DEAD_CONFIG_PRESERVED,SUPERSEDED_WITH_REASON,该历史实施步骤保留在 v0.1 谱系，但 v1.2 不重新声明其完成；既有行为只受当前回归门保护。,arxiv-daily-push/docs/pursuing_goal/v1_2/PRD.md;arxiv-daily-push/docs/pursuing_goal/v1_2/ACCEPTANCE_CONTRACT.yaml,ADP-V12-S0-T001;ADP-V12-S6-T001,ACC-V12-S0-003;ACC-V12-S6-001,INPUT-V01!ADP_V0.1_FINAL_EXECUTION_TASK_PACKAGE_2026-07-15/06_TASK_INDEX.csv#task_id=ADP-S3-P01-T033
V0_1_TASK,ADP-S3-P02-T034,接入国务院政策文件与国家法律法规入口,NOT_STARTED_DEAD_CONFIG_PRESERVED,SUPERSEDED_WITH_REASON,该历史实施步骤保留在 v0.1 谱系，但 v1.2 不重新声明其完成；既有行为只受当前回归门保护。,arxiv-daily-push/docs/pursuing_goal/v1_2/PRD.md;arxiv-daily-push/docs/pursuing_goal/v1_2/ACCEPTANCE_CONTRACT.yaml,ADP-V12-S0-T001;ADP-V12-S6-T001,ACC-V12-S0-003;ACC-V12-S6-001,INPUT-V01!ADP_V0.1_FINAL_EXECUTION_TASK_PACKAGE_2026-07-15/06_TASK_INDEX.csv#task_id=ADP-S3-P02-T034
V0_1_TASK,ADP-S3-P02-T035,接入国家统计与发改委官方入口,NOT_STARTED_DEAD_CONFIG_PRESERVED,V1_2_ACTIVE,该历史能力仍影响 v1.2，但以更小、可验证的当前 Task 和 Oracle 重述。,arxiv-daily-push/docs/pursuing_goal/v1_2/TECHNICAL_DESIGN.md,ADP-V12-S2-T001,ACC-V12-S2-001;ACC-V12-S2-002,INPUT-V01!ADP_V0.1_FINAL_EXECUTION_TASK_PACKAGE_2026-07-15/06_TASK_INDEX.csv#task_id=ADP-S3-P02-T035
V0_1_TASK,ADP-S3-P02-T036,接入网信办与国家数据局官方入口,NOT_STARTED_DEAD_CONFIG_PRESERVED,SUPERSEDED_WITH_REASON,该历史实施步骤保留在 v0.1 谱系，但 v1.2 不重新声明其完成；既有行为只受当前回归门保护。,arxiv-daily-push/docs/pursuing_goal/v1_2/PRD.md;arxiv-daily-push/docs/pursuing_goal/v1_2/ACCEPTANCE_CONTRACT.yaml,ADP-V12-S0-T001;ADP-V12-S6-T001,ACC-V12-S0-003;ACC-V12-S6-001,INPUT-V01!ADP_V0.1_FINAL_EXECUTION_TASK_PACKAGE_2026-07-15/06_TASK_INDEX.csv#task_id=ADP-S3-P02-T036
V0_1_TASK,ADP-S3-P03-T037,实现 Board 3 官方文档准入、类型和效力日期,NOT_STARTED_DEAD_CONFIG_PRESERVED,SUPERSEDED_WITH_REASON,该历史实施步骤保留在 v0.1 谱系，但 v1.2 不重新声明其完成；既有行为只受当前回归门保护。,arxiv-daily-push/docs/pursuing_goal/v1_2/PRD.md;arxiv-daily-push/docs/pursuing_goal/v1_2/ACCEPTANCE_CONTRACT.yaml,ADP-V12-S0-T001;ADP-V12-S6-T001,ACC-V12-S0-003;ACC-V12-S6-001,INPUT-V01!ADP_V0.1_FINAL_EXECUTION_TASK_PACKAGE_2026-07-15/06_TASK_INDEX.csv#task_id=ADP-S3-P03-T037
V0_1_TASK,ADP-S3-P03-T038,实现媒体发现到官方原文解析与事件去重,NOT_STARTED_DEAD_CONFIG_PRESERVED,V1_2_ACTIVE,该历史能力仍影响 v1.2，但以更小、可验证的当前 Task 和 Oracle 重述。,arxiv-daily-push/docs/pursuing_goal/v1_2/TECHNICAL_DESIGN.md,ADP-V12-S1-T001,ACC-V12-S1-001;ACC-V12-S1-004,INPUT-V01!ADP_V0.1_FINAL_EXECUTION_TASK_PACKAGE_2026-07-15/06_TASK_INDEX.csv#task_id=ADP-S3-P03-T038
V0_1_TASK,ADP-S3-P03-T039,运行 A0 14 日 Shadow 与价值成本对比,NOT_STARTED_DEAD_CONFIG_PRESERVED,SUPERSEDED_WITH_REASON,该历史实施步骤保留在 v0.1 谱系，但 v1.2 不重新声明其完成；既有行为只受当前回归门保护。,arxiv-daily-push/docs/pursuing_goal/v1_2/PRD.md;arxiv-daily-push/docs/pursuing_goal/v1_2/ACCEPTANCE_CONTRACT.yaml,ADP-V12-S0-T001;ADP-V12-S6-T001,ACC-V12-S0-003;ACC-V12-S6-001,INPUT-V01!ADP_V0.1_FINAL_EXECUTION_TASK_PACKAGE_2026-07-15/06_TASK_INDEX.csv#task_id=ADP-S3-P03-T039
V0_1_TASK,ADP-S3-P03-T040,Board 3 官方视图 Canary 与可回滚切换,NOT_STARTED_DEAD_CONFIG_PRESERVED,SUPERSEDED_WITH_REASON,该历史实施步骤保留在 v0.1 谱系，但 v1.2 不重新声明其完成；既有行为只受当前回归门保护。,arxiv-daily-push/docs/pursuing_goal/v1_2/PRD.md;arxiv-daily-push/docs/pursuing_goal/v1_2/ACCEPTANCE_CONTRACT.yaml,ADP-V12-S0-T001;ADP-V12-S6-T001,ACC-V12-S0-003;ACC-V12-S6-001,INPUT-V01!ADP_V0.1_FINAL_EXECUTION_TASK_PACKAGE_2026-07-15/06_TASK_INDEX.csv#task_id=ADP-S3-P03-T040
V0_1_TASK,ADP-S4-P01-T041,实现年度/月度分片 Backfill Planner 与 Cursor,NOT_STARTED_DEAD_CONFIG_PRESERVED,SUPERSEDED_WITH_REASON,该历史实施步骤保留在 v0.1 谱系，但 v1.2 不重新声明其完成；既有行为只受当前回归门保护。,arxiv-daily-push/docs/pursuing_goal/v1_2/PRD.md;arxiv-daily-push/docs/pursuing_goal/v1_2/ACCEPTANCE_CONTRACT.yaml,ADP-V12-S0-T001;ADP-V12-S6-T001,ACC-V12-S0-003;ACC-V12-S6-001,INPUT-V01!ADP_V0.1_FINAL_EXECUTION_TASK_PACKAGE_2026-07-15/06_TASK_INDEX.csv#task_id=ADP-S4-P01-T041
V0_1_TASK,ADP-S4-P01-T042,建立 Realtime/Catchup/Backfill 三车道与自动暂停,NOT_STARTED_DEAD_CONFIG_PRESERVED,SUPERSEDED_WITH_REASON,该历史实施步骤保留在 v0.1 谱系，但 v1.2 不重新声明其完成；既有行为只受当前回归门保护。,arxiv-daily-push/docs/pursuing_goal/v1_2/PRD.md;arxiv-daily-push/docs/pursuing_goal/v1_2/ACCEPTANCE_CONTRACT.yaml,ADP-V12-S0-T001;ADP-V12-S6-T001,ACC-V12-S0-003;ACC-V12-S6-001,INPUT-V01!ADP_V0.1_FINAL_EXECUTION_TASK_PACKAGE_2026-07-15/06_TASK_INDEX.csv#task_id=ADP-S4-P01-T042
