item_id,item_type,workstream,name,spec_status,prototype_status,implementation_status,validation_status,resolved,unresolved,next_action,owner,source_file
FUN-SYS-02,function,系统治理,开发治理,DONE,DONE,PARTIAL,LOCAL_VALIDATED,开发状态导航页、六类状态分组、任务/风险/控制/验收证据链接、状态面板、全局版本一致性、Issue 表单、PR 模板、CODEOWNERS、branch protection 契约、发布清单、GitHub 治理验证器、release manifest/checksum、不可变发布操作证据、GitHub 治理一致性工作流、开发状态/追踪生成物、high-risk 控制映射和 clean-room Markdown/CSV/JSON/GitHub/原型/PDF/ZIP 验证已通过本地验证,A180/A181/A186/A199 尚未实现,T1123,Codex implementation,DEVELOPMENT_STATUS.md
MOD-001,model,模型,综合研究优先级,DONE,DONE,NOT_STARTED,CATALOG_VALIDATED,公式、输入输出、配置和阈值已定义（F-NP-001）,生产计算引擎、真实基准和回测尚未实现,"T1203,T1204,T1205,T1206",model owner,MODEL_MANAGEMENT.md
MOD-002,model,模型,证据质量,DONE,DONE,NOT_STARTED,CATALOG_VALIDATED,公式、输入输出、配置和阈值已定义（F-EQ-001）,生产计算引擎、真实基准和回测尚未实现,"T1203,T1204,T1205,T1206",model owner,MODEL_MANAGEMENT.md
MOD-003,model,模型,时间相关性,DONE,DONE,NOT_STARTED,CATALOG_VALIDATED,公式、输入输出、配置和阈值已定义（F-RF-001）,生产计算引擎、真实基准和回测尚未实现,"T1203,T1204,T1205,T1206",model owner,MODEL_MANAGEMENT.md
MOD-004,model,模型,关系重要性,DONE,DONE,NOT_STARTED,CATALOG_VALIDATED,公式、输入输出、配置和阈值已定义（F-EM-001）,生产计算引擎、真实基准和回测尚未实现,"T1203,T1204,T1205,T1206",model owner,MODEL_MANAGEMENT.md
MOD-005,model,模型,供应链关键性,DONE,PARTIAL,NOT_STARTED,CATALOG_VALIDATED,公式、输入输出、配置和阈值已定义（F-SC-001）,生产计算引擎、真实基准和回测尚未实现,"T1203,T1204,T1205,T1206",model owner,MODEL_MANAGEMENT.md
MOD-006,model,模型,控制影响,DONE,PARTIAL,NOT_STARTED,CATALOG_VALIDATED,公式、输入输出、配置和阈值已定义（F-CI-001）,生产计算引擎、真实基准和回测尚未实现,"T1203,T1204,T1205,T1206",model owner,MODEL_MANAGEMENT.md
MOD-007,model,模型,资本动量,DONE,PARTIAL,NOT_STARTED,CATALOG_VALIDATED,公式、输入输出、配置和阈值已定义（F-CM-001）,生产计算引擎、真实基准和回测尚未实现,"T1203,T1204,T1205,T1206",model owner,MODEL_MANAGEMENT.md
MOD-008,model,模型,政策暴露,DONE,PARTIAL,NOT_STARTED,CATALOG_VALIDATED,公式、输入输出、配置和阈值已定义（F-PE-001）,生产计算引擎、真实基准和回测尚未实现,"T1203,T1204,T1205,T1206",model owner,MODEL_MANAGEMENT.md
MOD-009,model,模型,战略信号,DONE,PARTIAL,NOT_STARTED,CATALOG_VALIDATED,公式、输入输出、配置和阈值已定义（F-SS-001）,生产计算引擎、真实基准和回测尚未实现,"T1203,T1204,T1205,T1206",model owner,MODEL_MANAGEMENT.md
MOD-010,model,模型,变化告警,DONE,PARTIAL,NOT_STARTED,CATALOG_VALIDATED,公式、输入输出、配置和阈值已定义（F-AS-001）,生产计算引擎、真实基准和回测尚未实现,"T1203,T1204,T1205,T1206",model owner,MODEL_MANAGEMENT.md
MOD-011,model,模型,依赖风险,DONE,PARTIAL,NOT_STARTED,CATALOG_VALIDATED,公式、输入输出、配置和阈值已定义（F-DR-001）,生产计算引擎、真实基准和回测尚未实现,"T1203,T1204,T1205,T1206",model owner,MODEL_MANAGEMENT.md
PKG-001,task_pack_artifact,Task Pack,功能清单与导航目录,DONE,DONE,N/A,VALIDATED,DONE,产品实现未开始,commit to GitHub and run G0,repository owner,GOVERNANCE_INDEX.md
PKG-002,task_pack_artifact,Task Pack,模型管理与公式参数目录,DONE,DONE,N/A,VALIDATED,DONE,生产计算未开始,commit to GitHub and run G0,repository owner,GOVERNANCE_INDEX.md
PKG-003,task_pack_artifact,Task Pack,关系/供应链/行业/业务/资本目录,DONE,DONE,N/A,VALIDATED,DONE,真实数据尚未导入,commit to GitHub and run G0,repository owner,GOVERNANCE_INDEX.md
PKG-004,task_pack_artifact,Task Pack,GitHub Issue/PR/CI 治理模板,DONE,DONE,N/A,VALIDATED,DONE,需要推送到实际仓库启用,commit to GitHub and run G0,repository owner,GOVERNANCE_INDEX.md
PKG-005,task_pack_artifact,Task Pack,UI 高保真交互原型,DONE,DONE,N/A,VALIDATED,DONE,原型 fixture 不是生产数据,commit to GitHub and run G0,repository owner,GOVERNANCE_INDEX.md
PKG-006,task_pack_artifact,Task Pack,数据库工作台与数据血缘原型,DONE,DONE,N/A,VALIDATED,DONE,真实数据库连接未建立,commit to GitHub and run G0,repository owner,GOVERNANCE_INDEX.md
PKG-007,task_pack_artifact,Task Pack,开发状态/风险/验收追踪,DONE,DONE,N/A,VALIDATED,DONE,任务证据需由 Build 阶段填充,commit to GitHub and run G0,repository owner,GOVERNANCE_INDEX.md
PKG-008,task_pack_artifact,Task Pack,PDF 治理蓝图,DONE,DONE,N/A,VALIDATED,DONE,后续发布需持续再生成,commit to GitHub and run G0,repository owner,GOVERNANCE_INDEX.md
V5-001,production_blocker,数据库,PostgreSQL 数据库和迁移,DONE,N/A,DONE,LOCAL_VALIDATED,T1300/A201 已实现生产 snapshot/fact version/evidence/time 层迁移、schema validator 和 integration rollback 合约,后续真实采集和发布切换仍由 T1301/T1303/T1304 覆盖,T1301,database owner,infra/db/migrations/0003_production_fact_version_layers/up.sql
V5-002,production_blocker,数据,真实数据采集实体解析和证据链,DONE,PARTIAL,PARTIAL,CI_VALIDATED,T1301/A202 已新增 NVIDIA/ASML 官方来源快照、raw snapshot、实体解析候选、Golden Vertical 关系事实候选、parser version、review queue、证据链、counter-evidence 合约，以及显式审核决策驱动的候选事实发布脚本，可事务性写入正式 relationships、relationship_evidence、data_snapshots、fact_versions 与 fact_version_evidence 并保持幂等；GitHub Actions run 27877209505 / job 82498609174 已验证 fixture reviewed-publication 路径；production owner sign-off 合同强制 fixture review 与 owner sign-off 分流、--allow-production-owner-signoff 门控、owner_actor/owner_role/authority_scope/signature 约束和 owner_signature_hash 落库断言，并由 GitHub Actions run 27880295243 / job 82506543351 验证；dry-run official-source full-text connector、source_health、retry_policy、attempt metadata、100% expected-token coverage 和 context-only evidence 已由 GitHub Actions run 27881361500 / job 82509391127 验证；operator-provided official source capture 合同和 0011 PostgreSQL 约束迁移已由 GitHub Actions run 27882366565 / job 82512011341 验证；本轮新增第二独立官方来源闭环，GV-FACT-001/GV-FACT-002 均绑定两条官方 source documents，independent_source_count=2 且 source_threshold_met=true，并去掉 source-threshold override 依赖；本轮新增 live official retrieval adapter，可在 `--capture-live --allow-live-network` 显式授权下抓取 HTML/PDF 官方源、抽取规范化文本、计算 source_text_sha256、校验 expected-token coverage 并记录 retry/source_health metadata；默认 CI 只生成 NETWORK_EVIDENCE_MISSING 合同且不提交官方全文、不发布关系事实、不代表法律清权；GitHub Actions run 27892494323 / job 82538366876 已验证该 adapter/contract 切片通过 Step 7-12；本轮新增 live capture PostgreSQL ingestion loader，将 live artifact 以 source_text_sha256、短 excerpt、source_health 和 retry metadata 幂等写入 source_documents、raw_source_snapshots、entity_resolution_candidates 与 ingestion_evidence_chain，fixture 必须显式 --allow-fixture-capture 且不存官方全文、不发布关系事实、不代表法律清权；本轮新增 selected-anchor 真实 live artifact，3 条 NVIDIA 官方源 capture 均 100% token coverage 且无 source_text，并已由 GitHub Actions run 27893872934 / job 82541974047 验证远端 PostgreSQL 非 fixture 入库、browser E2E 和 live FastAPI/PostgreSQL E2E；本轮新增 NVDA-ANCHOR-001 语义修订合同，将该官方来源限定为 discovery_context_only，不再强制 packaging/test，并把 anchor_scope 写入 dry-run/operator/live evidence-chain 结构化事实；本轮新增 A202 operator/legal review packet 契约，将 selected live official-source evidence 的 URL/text hash/excerpt/source_health/anchor_scope 与 A206 present gate 以及缺失的 source-license、passage-level、owner、legal、A209 closure gates 绑定，且强制 relationship publication 和 release_clearance 继续为 false；本轮新增 A202/A210 signed release decision bundle 合同，明确 source-license review、passage-level relationship review、production owner sign-off、legal release clearance/risk waiver、brand clearance/risk waiver 和独立 A209 24h soak 的签核输入，且 signed_decision_complete 不等于 release_ready；本轮新增 A026/A027 gold-quality evaluation 合同，记录实体解析与关系抽取 precision、recall、confusion counts 和 source coverage，并以 production_gold_set=false 的 repository fixture fail-closed 证明当前样本不能关闭生产质量门禁；本轮新增 signed release decision bundle publication binding，production owner sign-off 发布路径现在必须提供 --release-decision-bundle，模板 bundle fail-closed，合同测试 signed bundle 仅证明完整性且 release_ready=false；发布后将 release_decision_bundle_sha256、signed_decision_complete、legal_clearance_status、brand_decision、passage_review_signature_hash 和 owner_signoff_signature_hash 写入 data_snapshots、relationship qualifiers、relationship_evidence 与 fact_versions payload。；d009516c 远端 CI 已绑定：Project Governance run 27950933950 job 82707373153 PASS，EEI validation run 27950933933 job 82707372790 PASS，覆盖 signed-bundle publication binding。；本轮新增 A202 reviewed relationship publication operation-log audit，fixture-review 与 production-owner-signoff 合同路径会为每条 reviewed relationship publication 写入 action=a202_publish_reviewed_relationship_fact 的 deterministic request_id 审计行，记录 decision_set_key、release_decision_bundle_sha256、signed_decision_complete、A202/A209/release-manager 非闭合标记，并验证重复运行不重复写日志,真实 operator-supplied owner 决策、正式法律/生产清权和 A209 24h soak 尚未完成；operator capture fixture、no-network live contract、fixture_artifact、discovery_context_only anchor 和未清权 selected artifact 不等于生产批准；operator/legal review packet 仅是审查输入，不等于 source-license 审核、production owner sign-off、legal release clearance 或 A209 完成；A206 scheduler/retry/dead-letter 已单独完成；signed release decision bundle 当前仅有 fail-closed 模板和 contract-test signed fixture；真实签名、正式法律/品牌清权、生产关系发布批准、release-manager activation 和 A209 24h soak 仍未完成；A026 仍需至少 50 条生产人工标注实体解析 gold cases 且 precision >=95%；A027 仍需至少 100 条生产人工标注关系 gold cases 且 precision >=90%；每条样本 source coverage 仍需达到 1.0；operation_logs 审计行只能作为发布动作可追溯证据，不等于 source-license review、legal clearance、production owner approval、relationship publication approval、A209 24h soak 或 release-manager activation,"T904,T1301",data owner,infra/db/migrations/0011_operator_source_capture_constraints/up.sql;infra/db/migrations/0011_operator_source_capture_constraints/down.sql;scripts/load_curated_ingestion_anchors.py;scripts/fetch_official_source_full_text.py;scripts/load_operator_source_captures.py;scripts/load_live_official_captures.py;scripts/publish_reviewed_relationship_facts.py;tests/fixtures/official_source_full_text/nvidia_official_full_text_dry_run.json;tests/fixtures/operator_source_captures/nvidia_operator_source_captures.json;tests/fixtures/live_official_captures/nvidia_live_official_capture_fixture.json;tests/fixtures/golden_vertical_review_decisions.json;tests/fixtures/golden_vertical_owner_signoff_decisions.json;tests/unit/test_official_source_live_capture.py;artifacts/tests/a202/t1301_official_full_text_dry_run_contract.json;artifacts/tests/a202/t1301_operator_source_capture_contract.json;artifacts/tests/a202/t1301_live_official_retrieval_contract.json;artifacts/tests/a202/t1301_live_official_selected_capture_evidence.json;artifacts/tests/a202/t1301_live_capture_postgres_ingestion_contract.json;artifacts/tests/a202/t1301_context_anchor_semantic_revision_contract.json;scripts/validate_a202_operator_review_packet.py;artifacts/tests/a202/t1301_operator_review_packet_contract.json;scripts/validate_release_decision_bundle.py;tests/fixtures/release_decision_bundle/a202_a210_release_decision_bundle_template.json;tests/unit/test_release_decision_bundle.py;artifacts/tests/a202/t1301_a202_a210_release_decision_bundle_contract.json;scripts/validate_gold_quality_evaluation.py;tests/fixtures/gold_quality/golden_vertical_gold_labels_sample.json;tests/unit/test_gold_quality_evaluation.py;artifacts/tests/a026/t904_entity_resolution_gold_evaluation_contract.json;artifacts/tests/a027/t904_relationship_gold_evaluation_contract.json;tests/fixtures/release_decision_bundle/a202_a210_signed_decision_bundle_contract_test.json
V5-003,production_blocker,API,生产 API 递归图查询和评分服务,DONE,PARTIAL,PARTIAL,CI_VALIDATED,T1302/A203 已新增生产上下文、递归图/路径 publication policy、entity/theme/facility/event/industry/source_document/score_result/候选事实/published relationship 评分解释 API、event fixture PostgreSQL 加载、evidence detail/source snippets API、nullable evidence 字段标准化、production_context sample_candidates、集成测试合约、商业版图 /v1/explore API-first production_context hydration、server-returned graph rendering、/v1/catalogs inventory、score explanation 和 evidence detail hydration mock E2E；entity 评分切片已由 GitHub Actions run 27878398112 job 82501662399 验证 G2 PostgreSQL integration、browser E2E 与 live FastAPI/PostgreSQL E2E；event/industry 评分切片已由 GitHub Actions run 27879503435 job 82504489377 验证 G2 PostgreSQL integration、browser E2E 与 live FastAPI/PostgreSQL E2E；source_document/score_result 评分说明切片已由 GitHub Actions run 27883167817 job 82514084247 验证 G2 PostgreSQL integration、browser E2E 与 live FastAPI/PostgreSQL E2E；score_recompute 对 relationship_fact_candidate、relationship、entity、event、industry 和 source_document 六类 MVP 对象族的 score_results 落库合同已由 GitHub Actions run 27883953630 job 82516108840 验证 G2 PostgreSQL integration、browser E2E 与 live FastAPI/PostgreSQL E2E；theme/facility score explanation 和八类 score_results recompute 扩展已通过 focused py_compile/ruff/contract/unit 验证，并由 d009516c 的 EEI validation run 27950933933 job 82707372790 绑定远端 PostgreSQL/browser/live FastAPI CI 证据,theme/facility 切片远端 CI 已绑定但仍不代表生产批准；正式生产批准边、事务激活和 4h/24h soak 验证尚未完成,T1302,api owner,artifacts/tests/a203/t1302_production_api_graph_scoring_contract.json;scripts/job_scheduler.py
V5-004,production_blocker,模型,模型配置版本事务激活和原子全局刷新,DONE,PARTIAL,PARTIAL,CI_VALIDATED,T1303/A204-A205 已新增 active_analysis_contexts、transactional_outbox、全局 active profile 唯一约束、事务激活 API、dedicated rollback endpoint、online draft profile creation API、score recompute enqueue API、data snapshot refresh enqueue API、score_recompute worker execution、data_snapshot_refresh worker execution、operation log、refresh token、stale-client 409 合约、inactive supply-chain-v3 profile、前端 API-first active-context hydration、事务激活控件、rollback 控件、recompute 控件、stale refresh mock E2E、live FastAPI/PostgreSQL model activation harness 和 GitHub Actions run 27871752533 job 82484659437 PASS 证据；full MVP object-family score_recompute refresh-token 推进与 score_results 落库由 GitHub Actions run 27883953630 job 82516108840 验证；online draft profile creation public API、invalid-weight fail-closed、draft activation target handoff 和 active-context preservation 已由 GitHub Actions run 27885349105 job 82519730263 验证；d009516c 的 EEI validation run 27950933933 job 82707372790 对当前分支 Step 10/11/12 给出远端回归证据；本轮新增 apps.worker supervisor model_refresh_wake_contract 与 PostgreSQL integration CLI supervisor 断言，score_recompute 和 data_snapshot_refresh 的 supervised wake 路径绑定 A204/A205/A206/A209，且明确不关闭 A209；该切片已由 GitHub Actions run 27986420494 job 82828868875 的 Step 10/11/12 远端验证。,4h/24h refresh soak、release-manager activation、生产关系批准和法律/品牌清权仍未完成,T1303,model owner,artifacts/tests/a204/t1303_transactional_model_activation_contract.json;artifacts/tests/a205/t1303_atomic_refresh_context_contract.json
V5-005,production_blocker,调度,后台调度自动唤醒幂等重试和 dead-letter,DONE,N/A,DONE,CI_VALIDATED,T1304/A206 已新增 background_jobs/background_job_attempts/dead_letter_jobs 与 transactional_outbox 迁移、score_recompute 入队/执行合同、data_snapshot_refresh 入队/执行合同、curated_ingestion_refresh 执行合同、calibration_run 入队/执行合同、outbox dispatch、job_scheduler.py 状态机、apps.worker health/once/supervise supervisor CLI、PostgreSQL 集成合约、Docker Compose worker process-manager 绑定、worker supervisor CLI wake 集成合同，以及 official-source dry-run source_health/retry_policy/attempt metadata 记录；full MVP object-family score_recompute worker 执行已由 GitHub Actions run 27883953630 job 82516108840 验证；worker supervisor CLI wake 合同已由 GitHub Actions run 27886021414 job 82521454825 验证 G2 PostgreSQL integration、browser E2E 与 live FastAPI/PostgreSQL E2E；live official retrieval adapter 已定义 retry/source_health metadata 与 NETWORK_EVIDENCE_MISSING no-network 合同；live capture PostgreSQL ingestion contract 已将 source_health、attempts 和 retry_policy 以 context-only 形式落库；selected-anchor 真实 live artifact 已记录 3 条健康官方源与 retry/source_health metadata，并已由 GitHub Actions run 27893872934 / job 82541974047 验证远端 PostgreSQL 非 fixture 入库；本轮将 A206 功能验收与 A209 长时 soak 门禁解耦：T1304 调度、自动唤醒、幂等、heartbeat、重试上限、dead-letter、graceful shutdown、outbox dispatch、Docker Compose worker 绑定和 worker supervisor 路径已有集成测试与 GitHub Actions run 27934137278 / job 82651968987 Step 7-12 PASS 证据。,A209 24h operator soak 仍未关闭；该长时稳定性证据继续作为 T1307/A209 后台门禁，不阻塞 A206 功能验收；正式法律/品牌清权仍由 A210 覆盖。,T1307,platform owner,artifacts/tests/a202/t1301_official_full_text_dry_run_contract.json;artifacts/tests/a202/t1301_live_official_retrieval_contract.json;artifacts/tests/a202/t1301_live_official_selected_capture_evidence.json;artifacts/tests/a202/t1301_live_capture_postgres_ingestion_contract.json;artifacts/tests/a206/t1304_scheduler_retry_dead_letter_contract.json;artifacts/tests/a206/t1304_worker_deployment_binding_contract.json
V5-006,production_blocker,保存视图,服务端保存视图冲突控制和恢复,DONE,PARTIAL,DONE,CI_VALIDATED,T1305/A207 已新增 saved_views/saved_view_versions 迁移、operation_logs actor principal 迁移、/v1/saved-views API、乐观锁 409、版本历史、恢复集成合约、header namespace 隔离、跨 namespace 404、前端 API-first adapter、409 获取最新冲突恢复 UI、live FastAPI/PostgreSQL 多会话 E2E harness、trusted_gateway HMAC 身份绑定和 GitHub Actions run 27875473970 job 82494131119 PASS 证据,分享链接和导出属于 FUN-RM-03 后续增强，不阻断 A207,DONE,workspace owner,artifacts/tests/a207/t1305_server_saved_view_conflict_recovery_contract.json;artifacts/tests/a207/t1305_frontend_saved_view_api_adapter_contract.json;artifacts/tests/a207/t1305_live_saved_view_multisession_e2e_contract.json;artifacts/tests/a207/t1305_saved_view_trusted_gateway_contract.json
V5-007,production_blocker,规模测试,10k 100k 1m 关系规模测试,DONE,N/A,DONE,CI_VALIDATED,T1306/A208 已记录 10k/100k/1m operator_full 与 Chromium browser runtime 的 API/layout/render/memory/frame/long-task pass/fail 输出；本轮将 API projection 改为 bounded top-k scalar rank 选择并重新生成正式 A208 证据，1m operator_full 本地预算通过，并由 GitHub Actions run 27885349105 job 82519730263 重新验证,4h/24h soak 仍由 T1307/A209 覆盖；生产组件化前端仍由 T1308/A211 覆盖,T1307,performance owner,artifacts/tests/a208/t1306_scale_benchmark_operator_contract.json
V5-008,production_blocker,稳定性,4h 和 24h soak 测试,DONE,N/A,PARTIAL,CI_VALIDATED,T1307/A209 已新增 browser+worker soak smoke harness，记录 heap、DOM、listener、timer、CPU、retry 和 recovery 指标；worker supervisor CLI wake 合同覆盖真实 job/outbox 入口路径并由 GitHub Actions run 27886021414 job 82521454825 验证；resumable operator soak runner 已新增 checkpoint JSONL、窗口化执行、resume 命令、Docker Compose worker binding 引用和 3 秒 readiness artifact；本轮修复 child harness，使 browser 与 worker soak 在同一 operator 窗口并行测量，并让长时长证据校验器拒绝串行双倍 wall-clock 证据；runner 修复已由 GitHub Actions run 27894602887 job 82543882466 验证 Step 7-13 PASS，Project Governance run 27894602898 PASS；4h operator evidence 已本地完成：artifacts/tests/a209/t1307_operator_soak_4h.json 与 checkpoint 记录 48/48 窗口 PASS、completed 14400s、windows_failed 0，validator 状态为 PARTIAL_OPERATOR_EVIDENCE,24h operator soak 尚未执行，A209 不得标记 DONE；该任务按当前执行计划作为后台独立长跑证据任务继续，不阻塞其他 MVP 功能开发；CLI wake、CI smoke、3 秒 operator readiness、5 秒 parallel probe、CI runner 修复验证、4h PASS 和 PARTIAL_OPERATOR_EVIDENCE 校验都不是 24h long-duration soak 替代品,T1307,reliability owner,artifacts/tests/a209/t1307_soak_smoke.json;artifacts/tests/a209/t1307_operator_soak_readiness.json;artifacts/tests/a209/t1307_operator_soak_readiness.checkpoints.jsonl;artifacts/tests/a209/t1307_operator_soak_evidence_validation.json;artifacts/tests/a209/t1307_operator_soak_4h.json;artifacts/tests/a209/t1307_operator_soak_4h.checkpoints.jsonl;scripts/run_operator_soak.mjs;scripts/validate_operator_soak_evidence.py
