category,parameter_key,label_zh,scope,default_value,min_value,max_value,step,unit,online_control,file_source,live_preview,refresh_behavior,formula_id,validation,description
保存视图,saved_view.conflict_retry_limit,保存视图冲突重试上限,production,3,0,10,1,count,number,environment,False,saved_view,,schema range,T1305 optimistic concurrency 冲突重试上限
保存视图,saved_view.identity_mode,保存视图身份模式,production,trusted_gateway,local,trusted_gateway,0,enum,enum,environment,False,saved_view,,enum local|trusted_gateway,T1305 production defaults to trusted_gateway; local mode is limited to local development and explicit override
保存视图,saved_view.signature_ttl_seconds,可信网关签名 TTL,production,300,30,3600,30,seconds,number,environment,False,saved_view,,schema range,T1305 HMAC gateway signatures expire outside this clock-skew window
保存视图,saved_view.gateway_secret_required,可信网关 HMAC secret 必填,production,True,True,True,0,boolean,secret-environment,environment,False,saved_view,,must be configured when identity mode is trusted_gateway,T1305 stores only the requirement; real EEI_SAVED_VIEW_GATEWAY_SECRET values must never be committed
规模测试,benchmark.scale_10k_p95_ms,1 万关系 P95 预算,production,1000,250,5000,50,ms,number,threshold,False,benchmark,,schema range,T1306 10k 关系 API/布局/渲染预算
规模测试,benchmark.scale_100k_p95_ms,10 万关系 P95 预算,production,3000,500,15000,100,ms,number,threshold,False,benchmark,,schema range,T1306 100k 关系分层查询预算
规模测试,benchmark.scale_1m_p95_ms,100 万关系 P95 预算,production,10000,1000,60000,500,ms,number,threshold,False,benchmark,,schema range,T1306 1m 关系聚合/子图预算
Soak 测试,soak.short_duration_hours,短期 soak 时长,production,4,1,8,1,hours,number,release_gate,False,soak,,schema range,T1307 短期稳定性测试时长
Soak 测试,soak.long_duration_hours,长期 soak 时长,production,24,8,72,1,hours,number,release_gate,False,soak,,schema range,T1307 长期稳定性测试时长
Soak 测试,soak.operator_window_seconds,Operator soak 窗口时长,production,300,30,1800,30,seconds,number,release_gate,False,soak,,schema range,T1307 operator runner 每个 checkpoint 窗口时长
品牌清权,brand.clearance_required,公开发布前品牌清权,production,True,True,True,0,boolean,read-only,release_gate,False,brand,,must be true,T1309 EEI 公开发布前必须完成法律与市场清权或风险豁免
