metric_code,metric_name,definition_or_formula,primary_sources,research_question,default_enabled
S-02,高价值专利信号,被引、家族规模、权利要求和关键技术簇综合分,USPTO、商业专利库,技术壁垒,true
S-03,招聘/组织扩张代理,官方职位、员工数和职能分布变化,10-K、官方招聘；低置信度,资源投入的辅助信号,true
G-01,联邦合同义务额,obligation按recipient和agency汇总,USAspending,政府需求和政策关系,true
G-02,联邦合同潜在上限,current/potential award amount，单独展示,USAspending、合同文件,不能与已发生支出混同,true
G-03,游说支出,按客户、议题、季度/年度汇总,LDA,政策影响投入,true
G-04,政治资金暴露,企业PAC、高管和关联委员会分层汇总,FEC,政治关系；不得把个人捐款直接归因公司,true
G-05,监管/执法严重度,调查、投诉、诉讼、和解、禁令、罚款按阶段加权,FTC、DOJ、SEC、FCC等,法律与政策约束,true
G-06,反垄断交易状态,未申报/申报/二次请求/起诉/和解/放弃/完成,FTC、DOJ、公司文件,并购完成概率与结构性约束,true
N-01,加权度中心性,节点所有入边/出边权重之和,证据图,直接关系密度,true
N-02,介数中心性,最短路径中经过节点的比例,证据图,中介与瓶颈权力,true
N-03,PageRank / 特征向量中心性,由高影响节点连接加权,证据图,网络声望与系统重要性,true
N-04,共同所有权重叠,两个公司共享机构持有人权重的Jaccard/余弦相似度,13F、N-PORT,资本共同控制环境,true
N-05,依赖集中度,客户、供应商、云、能源等边权HHI,证据图,单点依赖风险,true
N-06,社群/集团归属,Louvain/Leiden社群 + 法律集团标签,证据图,发现隐性联盟和产业集群,true
N-07,到核心节点最短路径,目标到P0节点的最短可信路径,证据图,一家公司进入权力网络的路径,true
Q-01,事件速度,30/90日内新增重大事件数与加权分,事件表,战略变化加速,true
Q-02,战略信号分,资本开支、并购、融资、专利、招聘、合同和监管的可解释加权分,多源,用于假设排序，不作为价格预测结论,true
Q-03,证据置信度,来源级别、直接性、时效、交叉验证和解析质量综合0-100,provenance,区分事实、推断和线索,true
Q-04,新鲜度年龄,当前时间 - observed_at/filing_at,所有来源,提示数据过期,true
Q-05,披露滞后,filed_at - report_period_end / event_effective_at,所有来源,避免把迟报信息当实时,true
Q-06,冲突计数,同一事实存在的未解决矛盾数,provenance,暴露不确定性,true
Q-07,证据覆盖率,有一级证据的关键字段 / 应有关键字段,provenance,衡量研究完整性,true
